SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	METHODS	MUTATIONS	SAMPLES	QVALUE_COMBINATION	ROLE	CGC_GENE	CGC_CANCER_GENE	DOMAINS	2D_CLUSTERS	3D_CLUSTERS	EXCESS_MIS	EXCESS_NON	EXCESS_SPL
ABCC4	ENST00000645237	CBIOP_WXS_ANGS_UNTREAT_2020	ANGS	oncodriveclustl,hotmaps	4.0	4.0	0.0032277177211586	Act	False	False		1250:1250		0.9429973234301822	0.0	0.0
ABL1	ENST00000372348	TCGA_WXS_UCEC	UCEC	combination	13.0	10.0	0.0012189095365211	LoF	True	False				0.5521899341928876	0.7636754329031713	0.0
ABL2	ENST00000502732	TCGA_WXS_BRCA	BRCA	smregions	12.0	10.0	0.0060140190649531	Act	True	False	PF00017:173:248			0.5702341702492618	0.0	0.0
ABL2	ENST00000502732	TCGA_WXS_UCEC	UCEC	combination	13.0	12.0	0.3607300482522957	Act	True	False				0.2437220271025232	0.0	0.0
ACKR3	ENST00000272928	TCGA_WXS_OVT	OVT	combination	6.0	4.0	0.0630606151114436	Act	True	False				0.8600707320934328	0.0	0.0
ACSL3	ENST00000357430	TCGA_WXS_AML	AML	oncodriveclustl	3.0	3.0	1.0827560589624554e-05	Act	True	False		188:188		0.973398034814451	0.0	0.0
ACSL3	ENST00000357430	HARTWIG_WGS_CESC_2020	CESC	combination	3.0	2.0	0.0041891648765637	Act	True	False				0.9377570388066314	0.0	0.0
ACSL6	ENST00000651356	PCAWG_WGS_SKIN_MELANOMA	MEL	combination	7.0	7.0	0.0033294010606585	LoF	True	False				0.9428458242879963	0.958105224602754	0.0
ACSM3	ENST00000289416	CPTAC_WXS_GBM_2020	GBM	oncodriveclustl,dndscv,mutpanning,hotmaps	8.0	6.0	7.193713929627965e-08	Act	False	False		584:584		0.9966785712828778	0.0	0.0
ACVR1	ENST00000434821	PEDCBIOP_WXS_HGG_PRY	HGGNOS	oncodriveclustl,dndscv,cbase,mutpanning,hotmaps	12.0	12.0	5.672325269670609e-31	Act	True	True		328:328	258,328	0.9986161333867356	0.0	0.0
ACVR1	ENST00000434821	TCGA_WXS_HNSC	HNSC	combination	5.0	5.0	0.0933871187203161	Act	True	False				0.7588479000118669	0.0	0.0
ACVR1	ENST00000434821	TCGA_WXS_UCEC	UCEC	oncodrivefml,dndscv	23.0	21.0	1.0079717404773014e-14	Act	True	False		206:206		0.9037619856489024	0.8213102724310167	0.0
ACVR1B	ENST00000541224	ICGC_WGS_PAAD_PACA_AU_2019	PAAD	dndscv,cbase	4.0	4.0	1.7072007881281499e-09	LoF	False	False				0.9664993514022502	0.9963885280864448	0.0
ACVR2A	ENST00000241416	HARTWIG_WGS_COADREAD_2020	COADREAD	mutpanning	17.0	11.0	6.417137130578689e-06	LoF	True	True				0.6643876299538315	0.9178019284860108	0.0
