source	target	weight	p_value
Androgen	TMPRSS2	11.490631	0.0
Androgen	NKX3-1	10.622551	2.2e-44
Androgen	MBOAT2	10.472733	4.6e-44
Androgen	KLK2	10.176186	1.94441e-40
Androgen	SARG	11.386852	2.79021e-40
Androgen	SLC38A4	7.363805	1.253072e-39
Androgen	MTMR9	6.1306458	2.534403e-38
Androgen	ZBTB16	10.614437	1.5671525e-36
Androgen	KCNN2	9.473199	7.711872e-36
Androgen	OPRK1	-5.6260734	1.11424474e-35
Androgen	ADAM7	3.1117454	3.1144558e-32
Androgen	ABCC4	9.374285	2.0095212e-31
Androgen	MYBPC1	4.6085787	6.807278e-31
Androgen	EAF2	6.944907	7.8419645e-31
Androgen	KLK3	14.606841	9.196045e-31
Androgen	OTULINL	7.7082176	3.9372027e-30
Androgen	PEX10	5.74946	1.4105707e-29
Androgen	SI	-5.795003	3.986077e-29
Androgen	SNAI2	19.821508	8.1523886e-29
Androgen	CAMKK2	3.739544	2.59013e-28
Androgen	BMPR1B	4.6340847	6.182863e-28
Androgen	F5	6.087826	1.2047765e-27
Androgen	LIFR	8.6125145	1.1334487e-26
Androgen	MAK	5.313673	4.1768647e-26
Androgen	GNMT	5.6726384	9.326385e-25
Androgen	MPC2	5.8883133	1.2205344e-24
Androgen	CTNNA2	3.8691266	1.5381996e-24
Androgen	CLDN8	7.8261633	3.2981616e-24
Androgen	LRRFIP2	4.144187	1.8121048e-23
Androgen	LRRC31	-5.1810226	2.4785945e-23
Androgen	LPAR3	5.8482785	6.07584e-23
Androgen	SLC15A2	5.1399264	6.749757e-23
Androgen	ELL2	6.5675774	1.363369e-22
Androgen	IGF1R	5.011522	1.4527064e-21
Androgen	DNM1L	4.1886797	2.1356182e-21
Androgen	LRIG1	6.626072	3.9930896e-21
Androgen	SLITRK3	-3.3206437	1.5034623e-20
Androgen	KCNMA1	3.54242	2.3839983e-20
Androgen	NPPC	4.046116	7.793352e-20
Androgen	ELK4	2.733172	6.213062e-19
Androgen	MRPS18A	3.9249358	9.547068e-19
Androgen	CBLL1	5.3254375	1.0845261e-18
Androgen	AFF3	2.4800925	1.6895339e-18
Androgen	SGK1	12.816842	2.0550632e-18
Androgen	STK39	6.9341245	2.0842888e-18
Androgen	PMEPA1	10.998912	2.1276132e-18
Androgen	MALT1	6.669782	2.3631977e-18
Androgen	CDK8	-4.2908683	2.5141321e-18
Androgen	CROT	4.358307	2.7247762e-18
Androgen	PGC	4.7496333	4.111454e-18
Androgen	STEAP4	9.19434	6.5170392e-18
Androgen	NSMAF	3.2845445	6.959565e-18
Androgen	GPR63	-3.2275932	1.3055475e-17
Androgen	TLL1	-2.463918	1.5940659e-17
Androgen	MAF	5.8638716	1.8056603e-17
Androgen	DHCR24	6.8430085	2.6801969e-17
Androgen	FRK	4.7002487	2.993022e-17
Androgen	CENPN	8.491016	3.502872e-17
Androgen	SORD	5.777566	3.587296e-17
Androgen	IQGAP2	5.1244836	5.286369e-17
Androgen	MPHOSPH9	5.106199	5.472691e-17
Androgen	HOXC13	-3.634256	8.3011055e-17
Androgen	CHRNA2	3.3317015	8.7228975e-17
Androgen	CTBP1	-2.8921719	9.908482e-17
Androgen	KLF15	2.832534	1.1234677e-16
