accession	superkingdom	phylum	class	order	family	genus	species
NC_000853.1	2|Bacteria	200918|Thermotogota	188708|Thermotogae	2419|Thermotogales	188709|Thermotogaceae	2335|Thermotoga	2336|Thermotoga maritima
NC_003228.3	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NC_006347.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NC_016776.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_AKBY01000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_AKBY01000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CAAKNW010000040.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CAAKNW010000090.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CAAKNW010000143.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CABJEQ010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CAEUHN010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CDQM01000130.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CDQM01000276.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CDQM01000351.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CDQM01000371.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP012706.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP018937.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP036539.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP036542.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP036546.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP036550.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP036553.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP036555.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP037440.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP043610.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP044428.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP069563.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP072257.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP080295.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP080296.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
