PROBEID	ENTREZ	SYMBOL
ILMN_1697499	3127	HLA-DRB5
ILMN_1757351	6278	S100A7
ILMN_1714536	10647	SCGB1D2
ILMN_2220729	10143	CLEC3A
ILMN_1715169	3123	HLA-DRB1
ILMN_1685174	1360	CPB1
ILMN_1722489	7031	TFF1
ILMN_1768469	6947	TCN1
ILMN_2162819	10720	UGT2B11
ILMN_1755897	7364	UGT2B7
ILMN_2359698	199974	CYP4Z1
ILMN_1723333	4250	SCGB2A2
ILMN_1815203	3158	HMGCS2
ILMN_1750974	6280	S100A9
ILMN_1679666	92304	SCGB3A1
ILMN_1725276	260436	FDCSP
ILMN_1695924	11012	KLK11
ILMN_1810978	118430	MUCL1
ILMN_1722554	117159	DCD
ILMN_1749118	51806	CALML5
ILMN_1729801	6279	S100A8
ILMN_1792400	1448	CSN3
ILMN_1699665	54102	CLIC6
ILMN_1732398	4246	SCGB2A1
ILMN_2219002	3853	KRT6A
ILMN_1676990	338579	LOC338579
ILMN_1689146	2568	GABRP
ILMN_2399463	10451	VAV3
ILMN_1655637	11045	UPK1A
ILMN_1888359	658	BMPR1B
ILMN_2092077	5304	PIP
ILMN_1677920	4057	LTF
ILMN_1765966	1114	CHGB
ILMN_1801442	3887	KRT81
ILMN_1668239	643719	SCGB1B2P
ILMN_1712522	4680	CEACAM6
ILMN_1728787	155465	AGR3
ILMN_1745299	2173	FABP7
ILMN_1660372	2891	GRIA2
ILMN_1791678	6898	TAT
ILMN_1692223	3934	LCN2
ILMN_1658040	1381	CRABP1
ILMN_1801216	6286	S100P
ILMN_1781859	54490	UGT2B28
ILMN_1786720	8842	PROM1
ILMN_1721354	3854	KRT6B
ILMN_2116877	10562	OLFM4
ILMN_1796059	91074	ANKRD30A
ILMN_2069224	5816	PVALB
ILMN_1774869	169026	SLC30A8
ILMN_1733904	92747	BPIFB1
ILMN_1752075	4604	MYBPC1
ILMN_2175317	260293	CYP4X1
ILMN_1673191	338324	S100A7A
ILMN_1702296	9607	CARTPT
ILMN_1770612	3866	KRT15
ILMN_1797519	8788	DLK1
ILMN_2304495	84152	PPP1R1B
ILMN_1693192	5266	PI3
ILMN_2165753	3105	HLA-A
ILMN_2066060	3128	HLA-DRB6
ILMN_2234697	55859	BEX1
ILMN_1666845	3872	KRT17
ILMN_1688071	9	NAT1
ILMN_2413816	2888	GRB14
ILMN_1688022	1473	CST5
ILMN_1779416	57758	SCUBE2
ILMN_2066088	149563	C1orf64
ILMN_2353054	25818	KLK5
ILMN_2108735	1917	EEF1A2
ILMN_2161820	219970	GLYATL2
ILMN_2311873	2813	GP2
ILMN_1758404	7021	TFAP2B
ILMN_2281786	6252	RTN1
ILMN_2114720	6590	SLPI
ILMN_2353161	10232	MSLN
ILMN_1708341	5174	PDZK1
ILMN_1811387	7033	TFF3
ILMN_1695397	388743	CAPN8
ILMN_1760412	387914	SHISA2
ILMN_2215639	113457	TUBA3D
ILMN_1794803	4693	NDP
ILMN_1680874	347733	TUBB2B
ILMN_1699243	4477	MSMB
