#sample	superpop	population
HG00096	EUR	GBR
HG00097	EUR	GBR
HG00098	EUR	GBR
HG00099	EUR	GBR
HG00100	EUR	GBR
HG00101	EUR	GBR
HG00102	EUR	GBR
HG00103	EUR	GBR
HG00104	EUR	GBR
HG00105	EUR	GBR
HG00106	EUR	GBR
HG00107	EUR	GBR
HG00108	EUR	GBR
HG00109	EUR	GBR
HG00110	EUR	GBR
HG00111	EUR	GBR
HG00112	EUR	GBR
HG00113	EUR	GBR
HG00114	EUR	GBR
HG00115	EUR	GBR
HG00116	EUR	GBR
HG00117	EUR	GBR
HG00118	EUR	GBR
HG00119	EUR	GBR
HG00120	EUR	GBR
HG00121	EUR	GBR
HG00122	EUR	GBR
HG00123	EUR	GBR
HG00124	EUR	GBR
HG00125	EUR	GBR
HG00126	EUR	GBR
HG00127	EUR	GBR
HG00128	EUR	GBR
HG00129	EUR	GBR
HG00130	EUR	GBR
HG00131	EUR	GBR
HG00132	EUR	GBR
HG00133	EUR	GBR
HG00134	EUR	GBR
HG00135	EUR	GBR
HG00136	EUR	GBR
HG00137	EUR	GBR
HG00138	EUR	GBR
HG00139	EUR	GBR
HG00140	EUR	GBR
HG00141	EUR	GBR
HG00142	EUR	GBR
HG00143	EUR	GBR
HG00144	EUR	GBR
HG00145	EUR	GBR
HG00146	EUR	GBR
HG00147	EUR	GBR
HG00148	EUR	GBR
HG00149	EUR	GBR
HG00150	EUR	GBR
HG00151	EUR	GBR
HG00152	EUR	GBR
HG00153	EUR	GBR
HG00154	EUR	GBR
HG00155	EUR	GBR
HG00156	EUR	GBR
HG00157	EUR	GBR
HG00158	EUR	GBR
HG00159	EUR	GBR
HG00160	EUR	GBR
HG00171	EUR	FIN
HG00173	EUR	FIN
HG00174	EUR	FIN
HG00176	EUR	FIN
HG00177	EUR	FIN
HG00178	EUR	FIN
HG00179	EUR	FIN
HG00180	EUR	FIN
HG00181	EUR	FIN
HG00182	EUR	FIN
HG00183	EUR	FIN
HG00185	EUR	FIN
HG00186	EUR	FIN
HG00187	EUR	FIN
HG00188	EUR	FIN
HG00189	EUR	FIN
HG00190	EUR	FIN
