UniqueCount	AmbigCount
0	0
1	0
2	0
0	0
1	0
0	0
0	1
1	0
0	0
0	0
0	0
2	4
5	0
30	0
49	0
0	0
17	0
23	0
0	0
61	0
6	0
3	0
116	0
38	0
25	2
18	0
0	0
20	0
2	0
0	0
5	0
33	0
63	0
0	0
141	0
61	0
34	0
9	0
5694	3
1	0
0	0
4	0
49	0
406	4
0	0
8	0
16	0
13	0
14	0
0	0
38	0
14	0
176	0
9	0
10	0
12	0
121	0
0	0
19	0
49	0
302	0
42	0
105	0
12	0
0	0
100	2
0	0
100	0
0	0
0	0
148	0
12	0
16	0
8	0
246	0
10	0
11	0
14	0
14	0
46	0
0	0
6012	30
1	0
631	2
3	0
36	0
55	0
57	0
64	0
27	0
56	0
8	0
16181	135
5679	18
0	0
54	0
53	0
20	0
21	0
0	0
0	0
1	0
0	0
1	0
25	0
18	0
1	0
2	0
17	0
1	0
2	0
0	0
104	0
0	0
4	2
0	0
1	0
0	0
1	0
0	0
3	0
8	0
0	0
0	0
0	0
