UniqueCount	AmbigCount
0	0
0	0
3	0
0	0
1	0
0	0
0	1
1	0
0	0
0	0
0	0
3	2
13	0
9	0
43	0
0	0
33	0
39	0
0	0
71	0
1	0
5	0
133	0
81	0
33	0
26	0
0	0
19	0
8	0
0	0
7	0
47	0
77	0
0	0
168	0
89	0
50	0
12	0
10267	2
0	0
0	0
4	0
82	0
755	0
0	0
5	0
11	0
18	0
18	0
0	0
35	0
15	0
241	0
4	0
5	0
13	3
177	3
0	0
49	0
68	0
430	0
54	0
133	2
12	0
0	0
186	0
0	0
100	2
0	0
0	0
194	0
8	0
28	0
21	0
384	0
19	0
30	0
9	0
10	0
60	0
1	0
7946	51
0	0
1110	2
8	0
63	0
60	0
61	0
85	0
22	0
94	2
4	0
35513	211
13327	50
0	0
67	0
91	0
25	0
25	0
0	0
0	0
2	0
0	0
0	0
26	0
16	0
0	0
1	0
11	0
5	0
12	0
0	0
126	2
1	0
12	1
0	0
0	0
0	0
1	0
0	0
5	0
4	0
0	0
0	0
0	0
