CONTIG_NAME	PLOIDY_PRIOR_0	PLOIDY_PRIOR_1	PLOIDY_PRIOR_2	PLOIDY_PRIOR_3
1	0.01	0.01	0.97	0.01
2	0.01	0.01	0.97	0.01
3	0.01	0.01	0.97	0.01
4	0.01	0.01	0.97	0.01
5	0.01	0.01	0.97	0.01
6	0.01	0.01	0.97	0.01
7	0.01	0.01	0.97	0.01
8	0.01	0.01	0.97	0.01
9	0.01	0.01	0.97	0.01
10	0.01	0.01	0.97	0.01
11	0.01	0.01	0.97	0.01
12	0.01	0.01	0.97	0.01
13	0.01	0.01	0.97	0.01
14	0.01	0.01	0.97	0.01
15	0.01	0.01	0.97	0.01
16	0.01	0.01	0.97	0.01
17	0.01	0.01	0.97	0.01
18	0.01	0.01	0.97	0.01
19	0.01	0.01	0.97	0.01
20	0.01	0.01	0.97	0.01
21	0.01	0.01	0.97	0.01
22	0.01	0.01	0.97	0.01
X	0.01	0.49	0.49	0.01
Y	0.50	0.50	0.00	0.00
