gene_id	gene_name	SRX11780879	SRX11780880	SRX11780882	SRX11780883	SRX11780885	SRX11780886	SRX11780888	SRX11780889
ENSG00000000419	DPM1	686.9220198	370.7509095	426.7447445	464.4169679	48.30208795	56.3526245	59.84925164	29.27270113
ENSG00000019186	CYP24A1	0	0	0	0	0.932810415	3.495386899	11.46759052	5.574304876
ENSG00000020256	ZFP64	104.3649507	144.7622392	160.327504	208.848493	1.350218037	5.367106518	7.244623812	26.0597746
ENSG00000022277	RTF2	1371.85654	1032.210172	956.1616454	1000.512924	102.404269	128.2496201	123.5159481	110.6184527
ENSG00000025293	PHF20	764.7231376	821.7942355	821.2408398	793.7107282	82.30041831	82.38575894	53.10500006	177.6164201
ENSG00000025772	TOMM34	704.9912869	579.2321485	714.374328	611.6795422	24.9347935	33.7085088	42.22532783	40.31772567
ENSG00000026036	RTEL1-TNFRSF6B	221.7252592	425.4128457	408.8873085	368.7121674	6.935653665	21.33375603	8.759173758	9.643522975
ENSG00000026559	KCNG1	55.04272896	79.83672327	95.69771882	147.6305475	1.3941277	6.225951151	9.549461696	5.957409555
ENSG00000042062	RIPOR3	6.037563681	0	9.322136462	2.055396575	1.072470567	1.5389814	0.470253748	1.508674251
ENSG00000053438	NNAT	1.141517176	13.35478291	6.210423437	9.225973328	0	0	0	0
ENSG00000054793	ATP9A	41.97655281	87.76444322	118.9240937	123.8972227	7.168168602	9.949910703	1.571548106	7.933869946
ENSG00000054796	SPO11	0	0	0	0	0	0	0	0
ENSG00000054803	CBLN4	0	0	0	0	0	0	0	0
ENSG00000060491	OGFR	925.9715805	863.2316882	732.7929839	660.9527075	61.92680008	29.06504097	60.42609945	55.62210614
ENSG00000061656	SPAG4	34.432559	34.18395292	18.31141365	13.51454523	1.100638988	2.157474697	4.280493988	6.103425971
ENSG00000062598	ELMO2	318.0419491	397.1736052	376.6155122	387.6851945	47.38204583	21.07934788	151.3202356	64.14843051
ENSG00000064205	CCN5	59.88998811	40.9459541	31.9256632	25.91741987	0	0	3.677744908	3.536309347
ENSG00000064601	CTSA	2130.263041	2046.65333	2354.026593	2399.98389	28.52524168	41.75443565	215.4149807	139.5092219
ENSG00000064655	EYA2	340.6045883	378.5212491	365.2014125	352.1074812	18.208931	15.42681388	20.46018301	19.42267951
ENSG00000064787	BCAS1	0	0	0	0	1.765272495	0	0	0.798044003
ENSG00000075043	KCNQ2	0	0	0	0	2.572450496	0	0	0
ENSG00000077984	CST7	0	0	0	0	0	0.844733794	0	0
ENSG00000078699	CBFA2T2	183.8102402	328.7322355	369.4816746	411.6008564	20.38621967	30.3709956	20.461016	28.92450711
ENSG00000078747	ITCH	350.5369028	433.2584371	320.2436705	326.9189943	53.05543208	45.04906897	104.6889161	179.8840526
ENSG00000078804	TP53INP2	358.0827608	530.4192004	525.6344577	594.3761085	17.18655381	9.264521676	21.85415939	12.89428426
ENSG00000078814	MYH7B	2.311670554	2.353569023	3.302510343	0.77860649	1.180487836	5.5885351	0.517621784	9.47794896
ENSG00000078898	BPIFB2	0	0	0	0	2.572244702	3.361424428	0.751916939	0
ENSG00000080189	SLC35C2	235.245624	281.5477532	330.4941903	320.7803092	2.340754012	21.7512531	81.86851598	48.27664603
ENSG00000080839	RBL1	347.8632716	502.2574218	519.1877821	692.6588522	112.3367378	75.36764799	68.79740738	57.21448906
ENSG00000080845	DLGAP4	410.9397268	642.3394452	727.1971217	623.6949007	93.83253209	39.51237316	42.35352432	42.9259287
ENSG00000087460	GNAS	5791.057616	5002.501876	4852.560801	4926.577875	747.4464811	834.4518631	1580.243343	1123.330356
ENSG00000087495	PHACTR3	0	0	0	0	0.857420573	0	0	0
ENSG00000087510	TFAP2C	24.23382707	19.66439618	23.41755063	11.7533254	8.373499246	0.728944629	0	4.882458273
ENSG00000087586	AURKA	1588.167851	1536.185177	1461.132419	1564.279301	37.63077071	43.72478544	116.6372006	109.2345631
ENSG00000087589	CASS4	0	0	0	0	0	1.031139073	0	0
ENSG00000088298	EDEM2	207.0172128	157.4347141	217.2374131	195.9539888	15.4451921	8.207087132	16.88971785	18.7449953
ENSG00000088305	DNMT3B	91.35885198	125.7225715	93.63068163	138.6771186	4.879049369	14.16943631	9.048425402	2.985381842
ENSG00000088320	REM1	0	0	0	0	0	0	0	0
ENSG00000088325	TPX2	3210.065986	3100.737153	2652.897615	2835.139383	303.8417998	322.7573846	178.6612395	187.3009121
ENSG00000088340	FER1L4	7.110998787	0	4.379225991	0	0	0	0	0
ENSG00000088356	PDRG1	474.4639805	283.9300617	280.5654002	292.8331643	18.05671054	13.48376082	13.57278027	16.93389216
ENSG00000088367	EPB41L1	100.2509942	268.969053	241.2575079	290.4857406	43.4567284	55.56811897	30.52157593	43.72230332
ENSG00000088766	CRLS1	341.6442662	223.0060157	212.4222632	273.030964	12.06927798	10.7678624	11.96688822	21.16771162
ENSG00000088782	DEFB127	0	0	0	0	0	0	0	0
ENSG00000088812	ATRN	668.9479062	1216.861401	1176.227335	1151.653813	55.59092562	49.56442736	113.9318841	139.1206508
ENSG00000088826	SMOX	1358.48589	787.5681605	709.6520539	523.7082179	18.07795269	40.39763071	49.7034884	44.85939082
ENSG00000088827	SIGLEC1	0	0	0	0	2.020187732	0	1.282110919	0
ENSG00000088832	FKBP1A	2611.509799	2445.665738	2731.062134	2128.09358	45.68171275	51.72578982	118.9145833	127.7530277
ENSG00000088833	NSFL1C	711.4960676	889.8618185	857.226202	942.276061	102.4174569	102.7921948	200.1684835	235.6762115
ENSG00000088836	SLC4A11	57.18833779	108.2718839	51.5269321	81.94221246	23.82879091	65.65029152	8.115289789	65.46127915
ENSG00000088854	DNAAF9	189.6102971	323.7545761	273.3894265	270.7924336	20.97481002	15.41482669	4.926742194	26.33079191
ENSG00000088876	ZNF343	91.95803055	103.6829973	124.6379922	145.6520693	7.782030483	13.55197123	37.94910323	7.259695812
ENSG00000088881	EBF4	78.38726851	87.13037017	115.7696349	98.01703846	9.605308009	9.398206887	1.375964413	2.942919984
ENSG00000088882	CPXM1	1.11897048	0	0	0	0	0	0.753380179	0
ENSG00000088888	MAVS	1003.23101	1974.102158	2200.894204	2158.321746	46.29276727	22.68580148	72.92358189	43.41414076
ENSG00000088899	LZTS3	240.0544902	309.8960355	283.9488479	322.8309091	2.562607538	3.472910001	3.884279581	3.323090412
ENSG00000088930	XRN2	1474.724954	1523.630074	1653.312213	1617.9441	54.09987133	42.08211135	76.7447212	103.8794476
ENSG00000088970	KIZ	50.003389	73.5513366	50.39070307	45.35482608	7.661177422	4.681186904	3.953440418	1.150551155
ENSG00000089006	SNX5	1055.646001	825.5583033	792.7029534	744.9147116	82.32014917	113.5934463	135.0315374	126.5393954
ENSG00000089012	SIRPG	0	0	0.894402256	0	1.723091639	2.803423962	0	0
ENSG00000089048	ESF1	263.1283969	247.7612964	323.4437167	302.0728226	37.78835624	45.45386805	24.85400818	27.38435354
ENSG00000089050	RBBP9	426.6629965	498.6766828	590.5358377	563.6114309	33.47329921	6.08737913	15.1297857	28.92798831
ENSG00000089057	SLC23A2	189.9199667	456.7579927	506.9294799	540.4890191	19.01345275	18.29657276	31.30183206	33.56454968
ENSG00000089063	TMEM230	639.1118051	418.0454012	461.0137104	483.1015786	9.232359185	2.640537237	22.36367021	22.1790311
ENSG00000089091	DZANK1	48.26895645	94.60880714	52.34611514	48.60956735	1.324755259	2.776624306	6.147156686	9.348098829
ENSG00000089101	CFAP61	0	1.542019688	0.732143668	2.309613982	1.120425015	0	0	0
ENSG00000089123	TASP1	79.34356516	63.33601664	52.83596399	66.81466178	3.414845293	5.601363444	13.37792849	1.958952304
ENSG00000089177	KIF16B	96.016293	173.4568385	172.0313831	221.0939294	20.34965342	32.68078292	7.661458891	12.72284948
ENSG00000089195	TRMT6	347.7123143	264.5204679	285.0283054	288.5372217	28.59597063	34.29768576	24.10115163	17.81549364
ENSG00000089199	CHGB	13.46189179	13.63869563	12.42271949	4.533957361	0	0	0	0
ENSG00000092758	COL9A3	1.084383715	11.31982411	7.254912289	8.125522708	2.548158062	1.292760616	0	0
ENSG00000100979	PLTP	1.180217009	12.50224586	8.04030413	8.616076003	4.650902264	3.548351266	2.377729962	4.601939748
ENSG00000100982	PCIF1	429.3367321	372.9277515	395.4713472	424.3585362	9.09314415	27.13610163	19.88647454	18.6567129
ENSG00000100983	GSS	753.5895623	629.8442906	635.7925599	728.3043428	38.73203319	18.81186752	25.59724036	49.10473902
ENSG00000100985	MMP9	1.121156793	2.27072979	18.05949266	7.929668863	0	0	3.0195959	0
ENSG00000100987	VSX1	0	0	0	0	0	0	0	0.804098744
ENSG00000100991	TRPC4AP	1180.237403	1102.15657	1254.99226	1302.767989	29.93558618	19.44076998	85.46129753	111.6120841
ENSG00000100994	PYGB	1308.849948	1510.07871	1434.00915	1301.28197	40.47357595	57.47181107	218.7674422	283.9710054
ENSG00000100997	ABHD12	1146.854391	975.8878041	832.9813249	842.945239	24.81283281	45.00726539	33.99958142	50.44019376
ENSG00000101000	PROCR	227.5595433	197.788434	249.3588837	228.2239009	14.15169286	4.895333086	27.74087478	37.80067051
ENSG00000101003	GINS1	588.7863419	392.6738086	446.1917349	509.1297161	23.95206985	69.0695392	169.0315667	98.84586633
