gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000051951	2.703875	-1.373393	0.76746998	0.0001753947	0.001507089
ENSMUSG00000048960	839.9662	-2.056341	0.12967369	1.489251e-57	4.4666890000000005e-55
ENSMUSG00000057715	4.120537	-3.983777	0.71894334	2.43322e-09	5.123917e-08
ENSMUSG00000103072	2.831966	1.301649	0.76617849	0.0002176742	0.001825319
ENSMUSG00000042182	20.48499	-1.442318	0.29672966	1.381893e-08	2.595067e-07
ENSMUSG00000026090	10.32106	-3.832705	0.44263763	5.804712999999999e-19	3.124871e-17
ENSMUSG00000026062	11.62475	1.02792	0.3340709	9.086823e-06	0.0001044786
ENSMUSG00000056870	117.1695	-2.185367	0.18091531	2.063293e-34	2.741698e-32
ENSMUSG00000038349	4.94667	-3.559694	0.69020123	2.691796e-08	4.863534e-07
ENSMUSG00000039323	17.29455	2.233379	0.2378361	8.947661000000001e-22	5.852216e-20
ENSMUSG00000055322	12571.23	-1.392214	0.19889902	3.598197e-14	1.31153e-12
ENSMUSG00000026211	32.69359	-2.845306	0.25562596	2.479928e-29	2.711775e-27
ENSMUSG00000032968	1.659344	-3.162314	0.79656683	2.318265e-06	2.98601e-05
ENSMUSG00000067158	31.59642	-3.612486	0.22357358	1.679798e-59	5.34354e-57
ENSMUSG00000079465	15.39159	-1.759364	0.21290546	5.754793e-18	2.863078e-16
ENSMUSG00000026149	33.89322	-2.850899	0.36265323	9.102634e-16	3.845268e-14
ENSMUSG00000014602	33.83533	-7.638614	0.60626472	2.350969e-39	3.796815e-37
ENSMUSG00000026278	583.7429	-1.045286	0.24988903	2.353188e-07	3.64345e-06
ENSMUSG00000037035	4.420553	-2.212231	0.47219364	1.335795e-07	2.162299e-06
ENSMUSG00000026347	69.41093	1.208097	0.11441105	5.109418e-28	5.0600109999999995e-26
ENSMUSG00000026433	64.70731	-1.170033	0.15371822	2.831355e-16	1.254099e-14
ENSMUSG00000019230	46.23767	-4.478588	0.30948325	9.605201e-49	2.372485e-46
ENSMUSG00000026360	13.67261	-2.722219	0.32866	2.8989420000000003e-17	1.383256e-15
ENSMUSG00000015829	5.906287	-2.346359	0.39891847	4.484771e-10	1.041568e-08
ENSMUSG00000040836	207.7457	-1.297685	0.07265592	3.426477e-73	1.634975e-70
ENSMUSG00000037942	113.9082	-3.538218	0.24598889	1.188257e-47	2.7719390000000002e-45
ENSMUSG00000026494	8.16062	-1.345882	0.31161056	1.378313e-07	2.227688e-06
ENSMUSG00000038576	126.3064	1.151076	0.08042394	1.91993e-48	4.6332110000000004e-46
ENSMUSG00000061531	11.33182	-1.069172	0.43055627	4.012083e-05	0.0003997802
ENSMUSG00000026748	78.77319	-3.310172	0.28974576	6.97974e-31	8.096112000000001e-29
ENSMUSG00000004113	7.91149	1.423486	0.54621806	2.843339e-05	0.0002942134
ENSMUSG00000049086	26.89343	-1.460634	0.19413882	9.061451e-16	3.835588e-14
ENSMUSG00000004105	151.3987	-3.318139	0.13346691	4.511754e-137	4.510679e-134
ENSMUSG00000046618	8.872869	-1.387565	0.41640881	4.365559e-06	5.328773e-05
ENSMUSG00000026866	11.06077	1.00742	0.27625841	1.676833e-06	2.229583e-05
