gene_id	gene_name
ENSMUSG00000000305	Cdh4
ENSMUSG00000000308	Ckmt1
ENSMUSG00000000318	Clec10a
ENSMUSG00000000560	Gabra2
ENSMUSG00000000632	Sez6
ENSMUSG00000000861	Bcl11a
ENSMUSG00000000869	Il4
ENSMUSG00000000982	Ccl3
ENSMUSG00000001986	Gria3
ENSMUSG00000002068	Ccne1
ENSMUSG00000002341	Ncan
ENSMUSG00000002489	Tiam1
ENSMUSG00000002997	Prkar2b
ENSMUSG00000003279	Dlgap1
ENSMUSG00000003469	Phyhip
ENSMUSG00000003872	Lin7b
ENSMUSG00000003948	Mmd
ENSMUSG00000004031	Brinp2
ENSMUSG00000004110	Cacna1e
ENSMUSG00000004113	Cacna1b
ENSMUSG00000004933	Matk
ENSMUSG00000004961	Syt5
ENSMUSG00000005202	Shbg
ENSMUSG00000005583	Mef2c
ENSMUSG00000005892	Trh
ENSMUSG00000006235	Epor
ENSMUSG00000006435	Neurl1a
ENSMUSG00000006457	Actn3
ENSMUSG00000006711	D130043K22Rik
ENSMUSG00000007021	Syngr3
ENSMUSG00000007207	Stx1a
ENSMUSG00000007480	Mc5r
ENSMUSG00000007653	Gabrb2
ENSMUSG00000007944	Ttc9b
ENSMUSG00000008193	Spib
ENSMUSG00000008489	Elavl2
ENSMUSG00000008658	Rbfox1
ENSMUSG00000008932	Slc1a7
ENSMUSG00000009216	Fam163b
ENSMUSG00000009394	Syn2
ENSMUSG00000010311	Optc
ENSMUSG00000010592	Dazl
ENSMUSG00000010803	Gabra1
ENSMUSG00000013928	Thap8
ENSMUSG00000014030	Pax5
ENSMUSG00000014813	Stc1
ENSMUSG00000015340	Cybb
ENSMUSG00000015568	Lpl
ENSMUSG00000015852	Fcrls
ENSMUSG00000016150	Tenm1
ENSMUSG00000016179	Camk1g
ENSMUSG00000016346	Kcnq2
ENSMUSG00000016349	Eef1a2
ENSMUSG00000017723	Wfdc2
ENSMUSG00000017740	Slc12a5
ENSMUSG00000018865	Sult4a1
ENSMUSG00000018930	Ccl4
ENSMUSG00000019146	Cacng2
ENSMUSG00000019775	Rgs17
ENSMUSG00000019785	Clvs2
ENSMUSG00000019828	Grm1
ENSMUSG00000019888	Mgat4c
ENSMUSG00000019906	Lin7a
ENSMUSG00000019982	Myb
ENSMUSG00000019992	Mtfr2
ENSMUSG00000020264	Slc36a2
ENSMUSG00000020297	Nsg2
ENSMUSG00000020431	Adcy1
ENSMUSG00000020436	Gabrg2
ENSMUSG00000020609	Apob
ENSMUSG00000020673	Tpo
ENSMUSG00000020684	Rasl10b
ENSMUSG00000020713	Gh
ENSMUSG00000020734	Grin2c
ENSMUSG00000020808	Fam64a
ENSMUSG00000020848	Doc2b
ENSMUSG00000020907	Rcvrn
ENSMUSG00000020950	Foxg1
