gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000023978	307.07128650	6.8081719163	1.68388320	4.0431378641	NA	NA
ENSMUSG00000030324	1753.46861488	5.3588471602	1.75897229	3.0465784925	NA	NA
ENSMUSG00000031450	199.84729076	5.3114851737	1.72331772	3.0821276422	NA	NA
ENSMUSG00000056055	551.34649551	5.4909494157	1.67744835	3.2733940226	NA	NA
ENSMUSG00000025900	125.95682257	4.8115319356	1.67482593	2.8728549271	NA	NA
ENSMUSG00000026834	25.81054644	-1.7907357306	1.09207892	-1.6397493799	1.010573e-01	NA
ENSMUSG00000025386	132.39008966	5.2366539695	1.56426172	3.3476840214	NA	NA
ENSMUSG00000059991	30.16690193	-1.1575795543	1.20339599	-0.9619273847	NA	NA
ENSMUSG00000056043	88.04875952	4.0154347933	1.57362341	2.5517126716	NA	NA
ENSMUSG00000029491	167.96586757	4.0696056337	1.49007242	2.7311461974	NA	NA
ENSMUSG00000035456	8.66369918	-1.4351990041	1.12333537	-1.2776229069	2.013824e-01	NA
ENSMUSG00000062082	14.75211481	-3.0462945636	1.54254918	-1.9748443652	4.828581e-02	NA
ENSMUSG00000020713	419.02971015	-4.0303380084	1.59277463	-2.5303881296	1.139364e-02	1.108291e-01
ENSMUSG00000053963	228.39713591	-0.9168142938	1.03270900	-0.8877760246	3.746612e-01	NA
ENSMUSG00000062372	36.41199616	2.1391107836	1.13132257	1.8908053676	5.865033e-02	NA
ENSMUSG00000068037	21.70102132	-1.3815359085	1.10374680	-1.2516782959	2.106871e-01	NA
ENSMUSG00000020907	50.18457259	4.6212438278	1.38055080	3.3473913763	NA	NA
ENSMUSG00000037446	90.31873655	3.9807447237	1.42613058	2.7912904805	NA	NA
ENSMUSG00000031789	90.42405524	3.8190689948	1.43491651	2.6615269660	NA	NA
ENSMUSG00000078816	166.46379460	-0.7100258337	1.03044048	-0.6890507970	4.907913e-01	NA
ENSMUSG00000057715	43.10094333	-0.8732913197	1.15587814	-0.7555219584	4.499359e-01	NA
ENSMUSG00000025582	252.73336379	-0.6395596800	0.97826366	-0.6537702525	NA	NA
ENSMUSG00000026841	13.76375737	-1.1230710055	0.94392699	-1.1897858863	2.341306e-01	NA
ENSMUSG00000038255	39.27112755	-0.5107082983	1.25786876	-0.4060107986	6.847347e-01	NA
ENSMUSG00000029335	39.62240258	-0.8799836733	0.87604095	-1.0045006179	3.151374e-01	NA
ENSMUSG00000029151	58.73812321	-0.7593516141	1.26126337	-0.6020563446	NA	NA
ENSMUSG00000048087	35.58972743	-2.5336169932	0.87748067	-2.8873764223	3.884692e-03	NA
ENSMUSG00000029819	24.94486712	-0.6373821400	1.02939577	-0.6191808404	5.357972e-01	NA
ENSMUSG00000090675	14.05608766	-1.7530374228	1.62202165	-1.0807731337	2.797980e-01	NA
ENSMUSG00000032174	126.23131771	-0.5032389005	1.24988770	-0.4026272920	6.872224e-01	NA
ENSMUSG00000050600	30.40283157	-0.4259129378	0.94375140	-0.4512978060	6.517749e-01	NA
ENSMUSG00000074575	25.77900530	-0.5938432351	1.09344380	-0.5430944286	5.870648e-01	NA
ENSMUSG00000046999	9.22430265	-0.8186190381	1.10250046	-0.7425112885	4.577776e-01	NA
ENSMUSG00000048483	8.76669977	-0.9196719187	1.07290638	-0.8571781625	3.913464e-01	NA
ENSMUSG00000027270	33.76199647	-0.4517830887	0.98277123	-0.4597032117	6.457293e-01	NA
ENSMUSG00000070570	792.86273698	-0.0628302706	1.11920532	-0.0561382882	9.552316e-01	9.987681e-01
ENSMUSG00000024575	221.83332815	3.4404436743	1.43670054	2.3946839119	NA	NA
ENSMUSG00000059003	331.61598803	-0.6003361657	1.00658837	-0.5964068165	5.509035e-01	NA
ENSMUSG00000029054	26.39778072	-0.5669793803	1.03906513	-0.5456629868	5.852976e-01	NA
ENSMUSG00000027849	57.19032559	1.2449049877	0.93009901	1.3384650168	1.807449e-01	NA
ENSMUSG00000034796	46.62277051	-0.7258504541	0.90500166	-0.8020432261	4.225280e-01	NA
ENSMUSG00000028222	63.91149158	-0.8836119727	0.79073590	-1.1174552362	2.637997e-01	NA
ENSMUSG00000053025	422.20246845	-0.3602268157	0.83859589	-0.4295594824	6.675161e-01	9.987681e-01
ENSMUSG00000047935	31.66581989	1.4127565865	1.08028628	1.3077612928	1.909543e-01	NA
ENSMUSG00000035033	63.92978821	-0.2917602958	1.24061890	-0.2351731839	8.140743e-01	NA
ENSMUSG00000026163	170.10657018	-0.6491101164	1.04284914	-0.6224391347	5.336532e-01	NA
ENSMUSG00000030209	882.65207419	-0.6082456431	1.09474060	-0.5556070939	5.784795e-01	9.987681e-01
ENSMUSG00000053310	221.82518905	-0.2979070905	0.92952710	-0.3204931741	7.485945e-01	NA
ENSMUSG00000060371	243.94343504	-1.0040112687	1.10385623	-0.9095489411	3.630604e-01	NA
ENSMUSG00000036480	23.37846053	-0.5128381060	1.05120367	-0.4878579868	6.256504e-01	NA
ENSMUSG00000027978	23.72532497	-0.2547126094	1.04418746	-0.2439337956	8.072821e-01	NA
ENSMUSG00000099016	7.82189025	-2.7031415568	1.57258921	-1.7189114210	8.563050e-02	NA
ENSMUSG00000026514	55.25470565	-0.4463962428	0.88442332	-0.5047314267	6.137475e-01	NA
ENSMUSG00000059213	851.70396796	-0.1701249717	1.19636278	-0.1422018261	8.869206e-01	9.987681e-01
ENSMUSG00000030905	54.89309662	-0.6476458948	0.93642508	-0.6916152775	4.891790e-01	NA
ENSMUSG00000021255	46.42791811	2.4928230643	1.64444382	1.5159064940	NA	NA
ENSMUSG00000026090	218.61888209	-0.3636400437	0.97631409	-0.3724621478	7.095488e-01	NA
ENSMUSG00000010803	130.17354524	-0.2703417067	1.09497950	-0.2468920249	8.049918e-01	NA
ENSMUSG00000061762	42.70526589	1.8408787187	0.83021159	2.2173609115	2.659844e-02	NA
ENSMUSG00000057132	147.50264934	3.4313444238	1.32801117	2.5838219654	NA	NA
ENSMUSG00000027296	54.03670276	-0.3399568830	1.06558848	-0.3190320543	7.497022e-01	NA
ENSMUSG00000030376	223.12154667	-0.5377723267	0.86931399	-0.6186169007	5.361688e-01	NA
ENSMUSG00000034452	170.41501739	2.7906063130	1.43164532	1.9492302157	NA	NA
ENSMUSG00000098051	9.56991756	-0.6368377078	1.11997214	-0.5686192386	5.696146e-01	NA
ENSMUSG00000033316	28.14414581	-0.4117503561	0.93390582	-0.4408906634	6.592922e-01	NA
ENSMUSG00000039058	141.17911692	-0.6122400841	0.72076724	-0.8494282929	3.956430e-01	NA
ENSMUSG00000024008	59.08431530	-0.4835565277	1.12586697	-0.4294970352	6.675616e-01	NA
ENSMUSG00000051726	107.84234700	-0.1466607851	0.96632158	-0.1517722337	8.793666e-01	NA
ENSMUSG00000024617	1725.84324595	-0.0320478207	1.06848531	-0.0299936933	9.760721e-01	9.987681e-01
ENSMUSG00000029436	175.14597274	-0.6936401918	0.73295222	-0.9463648200	3.439625e-01	NA
ENSMUSG00000041014	51.20035658	-0.4465131931	0.88635074	-0.5037658014	6.144260e-01	NA
ENSMUSG00000027350	271.55448630	-0.9473697527	0.70384000	-1.3460015799	1.783020e-01	NA
ENSMUSG00000029712	36.63840368	-0.1474711492	0.93660525	-0.1574528325	8.748880e-01	NA
ENSMUSG00000044216	101.87473098	0.1304073799	1.30870275	0.0996462946	9.206251e-01	NA
ENSMUSG00000032936	228.46377813	-0.4922909835	0.96409402	-0.5106254921	6.096133e-01	NA
ENSMUSG00000022218	62.02411781	-1.3647408635	1.33690666	-1.0208198561	3.073398e-01	NA
ENSMUSG00000026358	49.01099870	-1.4694753647	1.36148472	-1.0793182899	2.804459e-01	NA
ENSMUSG00000103129	5.44711224	-2.8640030620	1.60085145	-1.7890498592	7.360679e-02	NA
ENSMUSG00000056158	57.08791382	-0.7731786060	0.88525112	-0.8734003110	3.824449e-01	NA
ENSMUSG00000021313	296.63210333	-0.4335163318	0.77945357	-0.5561798026	5.780879e-01	NA
ENSMUSG00000052301	17.25755836	-0.5178252712	0.88158287	-0.5873812781	5.569477e-01	NA
ENSMUSG00000044288	173.68247571	-0.5284020334	0.70725737	-0.7471142109	4.549946e-01	NA
ENSMUSG00000096351	40.92171189	3.2461047677	1.40583207	2.3090273933	2.094206e-02	NA
ENSMUSG00000039106	20.60678218	-0.5908935891	0.83328793	-0.7091109430	4.782556e-01	NA
ENSMUSG00000055078	23.18375293	-0.8879297738	0.81180405	-1.0937735263	2.740543e-01	NA
ENSMUSG00000055540	80.15806109	-0.1237552617	0.83304474	-0.1485577606	8.819026e-01	NA
ENSMUSG00000020436	87.66751801	-0.6646655713	0.95464059	-0.6962469219	4.862742e-01	NA
ENSMUSG00000047495	71.07034876	-0.3209950940	0.88249416	-0.3637362247	7.160550e-01	NA
ENSMUSG00000041911	32.71347506	-0.8764375097	0.83371805	-1.0512396948	2.931485e-01	NA
ENSMUSG00000025876	121.74490343	-0.2072206339	0.76482958	-0.2709370018	7.864395e-01	NA
ENSMUSG00000104210	7.61298635	0.1409390965	1.08001901	0.1304968667	8.961733e-01	NA
ENSMUSG00000058248	98.90620104	-0.1058302953	0.96337507	-0.1098536787	9.125254e-01	NA
ENSMUSG00000022421	1318.98731886	-0.6022633261	0.62728753	-0.9601072836	3.370012e-01	9.987681e-01
ENSMUSG00000070695	77.58802810	-0.2249895520	0.89499580	-0.2513861533	8.015156e-01	NA
ENSMUSG00000026344	101.60494175	-0.6577722509	0.70544516	-0.9324215193	3.511187e-01	NA
ENSMUSG00000035864	843.42005981	-0.1984424677	0.86964354	-0.2281882853	8.194999e-01	9.987681e-01
ENSMUSG00000004110	485.12647525	-0.4863156894	0.90716176	-0.5360848666	5.918999e-01	9.987681e-01
ENSMUSG00000045733	134.65275855	-0.1855332553	0.77098000	-0.2406460035	8.098295e-01	NA
ENSMUSG00000028838	63.55322372	-0.2450412773	0.78529929	-0.3120355257	7.550135e-01	NA
ENSMUSG00000022015	65.57406700	-1.1784241741	1.45895859	-0.8077159822	4.192541e-01	NA
ENSMUSG00000067889	582.20912327	-0.0369247903	0.99132326	-0.0372479813	9.702873e-01	9.987681e-01
ENSMUSG00000027971	161.17510220	0.0067760780	0.96490602	0.0070225264	9.943969e-01	NA
ENSMUSG00000025020	93.03432693	-1.2438800333	0.69812750	-1.7817376339	7.479203e-02	NA
ENSMUSG00000054459	233.77295112	-0.6445304875	0.74469544	-0.8654954144	3.867669e-01	NA
ENSMUSG00000038020	185.75962617	-0.2752679138	0.79433427	-0.3465391382	7.289376e-01	NA
