gene_id	gene_name	SRX8042381	SRX8042382	SRX8042383	SRX8042384	SRX8042385	SRX8042386
ENSMUSG00000023978	Prph2	9373	9290	9816	9678	9725	9186
ENSMUSG00000030324	Rho	8674	8905	9221	9237	8531	8824
ENSMUSG00000031450	Grk1	3069	2924	3554	2878	3414	3599
ENSMUSG00000056055	Sag	5535	5149	5326	5433	5220	5527
ENSMUSG00000025900	Rp1	3224	3008	3654	2982	3827	3777
ENSMUSG00000026834	Acvr1c	6392	6482	6012	6271	6353	6232
ENSMUSG00000025386	Pde6g	4839	4415	4338	4303	4736	4383
ENSMUSG00000059991	Nptx2	4830	5591	5707	5328	5704	4781
ENSMUSG00000056043	Rgs9bp	2764	2888	2436	2755	2872	2831
ENSMUSG00000029491	Pde6b	1144	1023	1365	1406	859	767
ENSMUSG00000035456	Prdm8	6548	6719	5892	6023	6767	6409
ENSMUSG00000062082	Cd200r4	4376	4954	5122	4277	4954	4688
ENSMUSG00000020713	Gh	7932	7921	8166	8735	8359	8794
ENSMUSG00000053963	6330403A02Rik	8627	8824	9080	8814	9239	8643
ENSMUSG00000062372	Otof	9809	10303	10413	10022	9677	10455
ENSMUSG00000068037	Mas1	10066	9759	9920	9558	10075	10282
ENSMUSG00000020907	Rcvrn	7130	7395	7053	7103	6994	6999
ENSMUSG00000037446	Tulp1	3592	4186	4231	3825	4046	3629
ENSMUSG00000031789	Cngb1	2666	2746	2104	2868	2124	2916
ENSMUSG00000078816	Prkcg	1995	1215	2052	1849	2078	1982
ENSMUSG00000057715	A830018L16Rik	10056	9757	10214	10079	9894	9639
ENSMUSG00000025582	Nptx1	9880	9290	9918	9269	9965	9744
ENSMUSG00000026841	Fibcd1	7964	7652	7832	7875	8047	8027
ENSMUSG00000038255	Neurod2	6439	6687	6982	6473	6853	6956
ENSMUSG00000029335	Bmp3	6858	6187	6241	6009	6742	6270
ENSMUSG00000029151	Slc30a3	3141	2644	2799	3232	2593	2759
ENSMUSG00000048087	Gm4737	8316	7544	7584	8282	7630	8356
ENSMUSG00000029819	Npy	4130	4920	4671	4733	5015	5042
ENSMUSG00000090675	Olfr111	9868	9948	9327	9279	9379	9902
ENSMUSG00000032174	Icam5	4208	4438	4177	3710	3988	3681
ENSMUSG00000050600	Zfp831	7417	6682	6601	7184	6586	6763
ENSMUSG00000074575	Kcng1	4265	3656	4020	3745	4274	4349
ENSMUSG00000046999	1110032F04Rik	2459	2195	1523	2057	1935	2135
ENSMUSG00000048483	Zdhhc22	3017	2428	2233	2388	2235	2824
ENSMUSG00000027270	Lamp5	5790	5878	5616	5494	5947	5910
ENSMUSG00000070570	Slc17a7	1755	1248	1861	1545	1349	1411
ENSMUSG00000024575	Pde6a	7300	7123	6855	7232	7297	7314
ENSMUSG00000059003	Grin2a	3989	3963	3483	4264	4060	3334
ENSMUSG00000029054	Gabrd	3957	3257	3442	3634	3348	3212
ENSMUSG00000027849	Syt6	8427	7925	7759	8228	8443	8165
ENSMUSG00000034796	Cpne7	9771	9150	9496	9197	9229	9689
ENSMUSG00000028222	Calb1	4768	5185	5318	4623	5079	5370
ENSMUSG00000053025	Sv2b	2138	2551	1841	2352	2082	1933
ENSMUSG00000047935	Gm5607	5214	5410	4927	4794	5058	4728
ENSMUSG00000035033	Tbr1	6989	7354	7298	7033	7259	7020
ENSMUSG00000026163	Sphkap	3400	2985	3065	3434	3092	3516
ENSMUSG00000030209	Grin2b	1823	2430	2018	2537	2164	1985
ENSMUSG00000053310	Nrgn	4650	5074	4880	4809	5149	5318
ENSMUSG00000060371	Caln1	7321	7700	8181	8007	7870	7717
ENSMUSG00000036480	Prss56	1435	1722	1331	1531	1984	1427
ENSMUSG00000027978	Prss12	8353	8719	8311	8742	8387	8431
ENSMUSG00000099016	Gm27227	1406	540	1007	834	820	1358
ENSMUSG00000026514	Cnih3	8200	8977	8991	9045	9146	8980
ENSMUSG00000059213	Ddn	7493	7862	8287	7949	7386	8158
ENSMUSG00000030905	Crym	2653	3049	3610	3332	3065	2961
ENSMUSG00000021255	Esrrb	773	569	1289	1327	557	1397
ENSMUSG00000026090	2010300C02Rik	9782	9256	9351	9277	9778	9820
ENSMUSG00000010803	Gabra1	4646	4061	4038	4457	3938	3854
ENSMUSG00000061762	Tac1	9166	9236	8698	8934	8375	8314
ENSMUSG00000057132	Rpgrip1	5935	5463	5819	5811	5118	5882
ENSMUSG00000027296	Itpka	4838	5371	5235	5538	5368	5362
ENSMUSG00000030376	Slc8a2	6303	7078	6344	6471	7057	6205
ENSMUSG00000034452	Slc24a1	1234	1403	1890	1458	1764	1515
ENSMUSG00000098051	Gm27032	7471	7092	7442	7380	6554	7377
ENSMUSG00000033316	Galnt9	9330	9260	9525	9070	9256	9046
ENSMUSG00000039058	Ak5	7494	7152	6784	6814	6986	7203
ENSMUSG00000024008	Cpne5	5277	5409	5422	5545	5609	5613
ENSMUSG00000051726	Kcnf1	7251	6611	6862	7314	7151	6552
ENSMUSG00000024617	Camk2a	1451	1342	1328	1772	1471	1544
ENSMUSG00000029436	Mmp17	7529	7100	7268	7085	7457	7716
ENSMUSG00000041014	Nrg3	5383	4476	4742	4610	5304	4962
ENSMUSG00000027350	Chgb	1970	2073	2516	1997	1967	2085
ENSMUSG00000029712	Actl6b	2381	2854	3210	2772	2765	2625
ENSMUSG00000044216	Kcnj4	6257	6620	6248	6846	6639	6566
ENSMUSG00000032936	Camkv	1428	1462	1871	1822	2034	1278
ENSMUSG00000022218	Tgm1	3869	3806	3612	4053	4225	3882
ENSMUSG00000026358	Rgs1	1991	2751	2010	2126	2691	2150
ENSMUSG00000103129	Gm37393	1895	1509	1601	1904	2070	2032
ENSMUSG00000056158	Car10	5707	6190	5748	6055	5846	5979
ENSMUSG00000021313	Ryr2	4492	4144	4436	4284	4326	4658
ENSMUSG00000052301	Doc2a	3670	3425	3596	3346	3294	4070
ENSMUSG00000044288	Cnr1	1876	1490	1414	1722	1645	1158
ENSMUSG00000096351	Samd11	2957	2855	2710	2660	3104	2491
ENSMUSG00000039106	Htr5a	4675	4186	4144	4239	4506	4424
ENSMUSG00000055078	Gabra5	6984	7271	6579	6532	7035	6924
ENSMUSG00000055540	Epha6	3508	3346	3584	3627	3364	3829
ENSMUSG00000020436	Gabrg2	9546	9734	9978	9948	9369	9892
ENSMUSG00000047495	Dlgap2	9176	9316	9352	9561	8872	9221
ENSMUSG00000041911	Dlx1	4093	4432	4806	5069	4848	5004
ENSMUSG00000025876	Unc5a	6551	6043	5750	6251	5865	6609
ENSMUSG00000104210	Gm37984	5325	5510	4867	5570	5096	5304
ENSMUSG00000058248	Kcnh1	6058	6046	6149	5804	5390	6142
ENSMUSG00000022421	Nptxr	2414	2775	2823	1926	1953	2116
ENSMUSG00000070695	Cntnap5a	2679	2945	2653	3415	3502	3097
ENSMUSG00000026344	Lypd1	6798	6080	6735	6068	6805	6587
ENSMUSG00000035864	Syt1	9039	8428	8565	8439	8970	8590
ENSMUSG00000004110	Cacna1e	8765	9318	8823	9425	9544	9555
ENSMUSG00000045733	Sprn	9762	9600	9064	9750	9422	9913
ENSMUSG00000028838	Extl1	4172	4424	4798	4488	4303	4721
ENSMUSG00000022015	Tnfsf11	9265	9210	9395	8797	9022	9000
ENSMUSG00000067889	Sptbn2	5197	5211	5143	4346	4998	5232
ENSMUSG00000027971	Ndst4	1261	689	812	1022	1086	763
ENSMUSG00000025020	Slit1	6017	6455	6830	6218	6915	6794
ENSMUSG00000054459	Vsnl1	6252	5878	5854	6290	5853	5524
ENSMUSG00000038020	Rapgefl1	3839	4140	3313	3427	3476	3929
ENSMUSG00000037579	Kcnh3	6028	6936	6008	6464	6399	6116
ENSMUSG00000045174	Amer3	9469	9442	9174	9292	8641	9247
ENSMUSG00000007944	Ttc9b	3809	3341	3401	3016	3606	3457
ENSMUSG00000046182	Gsg1l	7304	6883	6938	7317	7631	6990
ENSMUSG00000041708	Mpped1	864	1443	1463	966	1476	1162
ENSMUSG00000027834	Serpini1	2941	2787	2889	2579	2424	2617
ENSMUSG00000022212	Cpne6	8646	9435	8594	9157	9250	9011
ENSMUSG00000050164	Mchr1	6701	6162	7027	6733	6765	6671
ENSMUSG00000045903	Npas4	6162	6224	5485	6336	6288	5751
ENSMUSG00000040794	C1qtnf4	6251	6076	6206	6293	6010	6142
ENSMUSG00000009216	Fam163b	3022	3372	3295	2684	2530	3291
ENSMUSG00000029420	Rimbp2	7377	7302	7696	7117	7388	7287
ENSMUSG00000062593	Lilrb4	2713	1779	2657	2690	1774	2231
ENSMUSG00000025576	Rbfox3	5606	4711	5651	5216	5366	5266
ENSMUSG00000035653	Lrfn5	4273	4133	4832	4877	4943	4948
ENSMUSG00000024064	Galnt14	9446	9267	9161	9250	9043	9699
ENSMUSG00000046093	Hpcal4	2507	2794	3271	2937	2790	3303
ENSMUSG00000022454	Nell2	2834	1983	2301	1940	1977	2301
ENSMUSG00000031376	Atp2b3	3809	4035	3089	3868	3515	3499
ENSMUSG00000044933	Sstr3	7362	7840	8273	8216	8317	7664
ENSMUSG00000006711	D130043K22Rik	4718	4998	4710	4762	5005	5346
ENSMUSG00000028785	Hpca	1334	1337	1163	991	1831	1978
ENSMUSG00000024041	Cryaa	5114	4650	4348	4886	5190	4422
ENSMUSG00000039809	Gabbr2	3910	4116	4581	4596	4656	4867
ENSMUSG00000086719	Gm16275	3283	2525	2818	2895	3224	2543
ENSMUSG00000034997	Htr2a	5194	4460	4506	4779	4430	4803
ENSMUSG00000025189	Cnnm1	6867	7125	6407	6276	6171	7132
ENSMUSG00000040125	Gpr26	4279	4252	4393	4892	4208	4212
ENSMUSG00000032452	Clstn2	6045	6464	5939	5962	6403	6451
ENSMUSG00000021680	Crhbp	5702	5927	6461	5692	6510	5670
ENSMUSG00000028289	Epha7	4473	4670	4398	4392	4922	4338
ENSMUSG00000037428	Vgf	5649	5697	5947	5315	6149	5403
ENSMUSG00000028033	Kcnq5	1239	915	1555	910	971	1266
ENSMUSG00000042078	Svop	5968	5831	6163	6353	5550	6010
ENSMUSG00000030134	Rasgef1a	7722	8069	7780	7503	7671	7872
ENSMUSG00000024672	Ms4a7	7201	7520	7090	6608	6934	6967
ENSMUSG00000022357	Klhl38	1065	1623	1383	1560	966	1089
ENSMUSG00000032355	Mlip	4222	4142	4817	4324	3935	4815
ENSMUSG00000036264	Fstl4	4353	3649	3821	3652	4109	4158
ENSMUSG00000039059	Hrh3	3835	3740	3477	3971	3429	3210
ENSMUSG00000000632	Sez6	7851	7587	7662	8391	7873	7757
ENSMUSG00000000861	Bcl11a	9219	9437	9547	9720	9726	9162
ENSMUSG00000000560	Gabra2	9191	8626	8719	8419	9268	9133
ENSMUSG00000017740	Slc12a5	8490	8330	7864	8080	8162	7974
ENSMUSG00000027489	Necab3	5992	6057	5593	5868	6157	6203
ENSMUSG00000026959	Grin1	8317	8917	8732	9001	9206	8460
ENSMUSG00000068696	Gpr88	10188	9823	9694	10055	9430	9531
ENSMUSG00000064193	Gm4735	5828	5608	4965	4924	5186	5331
ENSMUSG00000065922	n-R5-8s1	10030	9714	9846	9524	9574	9223
ENSMUSG00000004961	Syt5	5000	4928	5530	5411	5326	5568
ENSMUSG00000029878	Dbpht2	4320	3798	3747	3783	4522	3979
ENSMUSG00000042388	Dlgap3	6053	5855	5628	6049	6387	5762
ENSMUSG00000064065	Ipcef1	3248	3603	4060	3475	3468	3711
ENSMUSG00000007653	Gabrb2	3289	3237	3344	2917	3246	2809
ENSMUSG00000054013	Tmem179	8208	7879	7786	7643	7989	8027
ENSMUSG00000056972	Magel2	5363	5516	5444	5645	5707	5205
ENSMUSG00000040907	Atp1a3	3199	3786	3196	3463	3483	3678
ENSMUSG00000096146	Kcnj11	8308	8739	8850	8472	8528	8813
ENSMUSG00000023033	Scn8a	9004	8669	8467	8732	8744	8955
ENSMUSG00000052087	Rgs14	9042	9221	9384	9698	8778	9171
ENSMUSG00000030137	Tuba8	5564	6181	5925	5471	6326	6054
ENSMUSG00000028176	Lrrc7	4060	4397	4516	4434	4943	4044
ENSMUSG00000022577	Ly6h	9199	9834	10018	9214	9833	10103
ENSMUSG00000018865	Sult4a1	6979	7342	7015	7091	7608	6976
ENSMUSG00000059040	Eno1b	5823	5584	5645	5228	5673	5851
