gene_id	SRX8042381	SRX8042382	SRX8042383	SRX8042384	SRX8042385	SRX8042386
ENSMUSG00000023978	4.10552601	2.79431737	2.16239716	4.01832338	10.83702478	2.83915007
ENSMUSG00000030324	7.91436924	4.67975386	2.81175524	6.05558584	13.4188005	4.66145713
ENSMUSG00000031450	4.96467697	3.17508436	1.6706013	3.41316173	10.14241916	3.49528794
ENSMUSG00000056055	6.10341467	3.12602459	2.71225133	5.20516816	11.7256749	3.75416377
ENSMUSG00000025900	4.76599895	3.19424277	1.87160944	3.10158791	9.373497	3.04478036
ENSMUSG00000026834	4.07180316	3.31512848	6.78394341	3.86888599	4.10245916	4.10194394
ENSMUSG00000025386	3.63904615	4.05772345	1.70286179	3.27642104	9.52119081	4.7728329
ENSMUSG00000059991	3.02561974	3.50274552	6.78509571	4.94894452	4.03499392	4.5773557
ENSMUSG00000056043	4.76842512	3.29938127	2.71931187	2.90332533	8.93462442	2.79336949
ENSMUSG00000029491	4.99032483	4.8962629	2.82154005	3.542804	10.22859526	3.94077893
ENSMUSG00000035456	3.16527847	3.04981222	5.13556478	3.28892461	2.63098724	3.38472143
ENSMUSG00000062082	6.39681939	3.29846638	1.67404021	2.87686546	3.16379404	2.37187921
ENSMUSG00000020713	7.32973451	11.19844597	2.29731569	6.84641012	3.86677514	4.4894723
ENSMUSG00000053963	6.37803515	6.03556199	9.54668756	7.85242378	6.35893482	7.54284381
ENSMUSG00000062372	4.80997217	3.07616134	4.14124567	7.23218774	3.24403998	5.07770065
ENSMUSG00000068037	4.53895946	3.35944172	6.22585045	4.77292729	2.6609649	3.91108782
ENSMUSG00000020907	3.3839341	3.05959538	2.29241592	3.16284206	8.18375911	3.9640844
ENSMUSG00000037446	4.06716431	4.51135451	2.43009464	3.93425797	8.94609701	3.6754546
ENSMUSG00000031789	3.34481537	4.826273	3.22573174	3.26892052	9.25539115	3.64827004
ENSMUSG00000078816	5.21880829	6.71957661	8.87014889	7.70716168	6.15319507	6.6514332
ENSMUSG00000057715	4.3724225	3.91359237	7.14902936	6.0684629	3.58491837	4.68862073
ENSMUSG00000025582	6.39961036	6.63625605	9.53008038	8.12907268	6.65359499	7.93073079
ENSMUSG00000026841	4.1863595	3.37160638	5.35109936	3.44295233	3.56237973	4.07423027
ENSMUSG00000038255	2.98500438	4.04416013	6.94059416	5.83072005	3.1899366	5.52929389
ENSMUSG00000029335	4.68500676	4.881069	6.8321855	5.04872256	4.25557106	5.59509544
ENSMUSG00000029151	3.8721564	4.37287593	7.67384751	6.61896798	4.21974527	4.12838143
ENSMUSG00000048087	6.322614	4.74360713	6.49421859	2.96289335	4.36525629	4.16643551
ENSMUSG00000029819	3.6961611	3.85515922	6.29558614	4.97646393	3.81419614	4.66699572
ENSMUSG00000090675	6.00286577	3.06359719	1.70136727	1.84188971	3.22732882	4.1899008
ENSMUSG00000032174	4.42033302	4.99912686	8.59609471	7.74225248	4.12377637	6.98620537
ENSMUSG00000050600	4.53866533	3.57899502	6.38417008	4.48688264	4.85067011	5.43879729
ENSMUSG00000074575	4.40986613	3.17687329	6.24645767	5.00566869	3.1578937	5.09264951
ENSMUSG00000046999	2.53091057	3.47727787	5.25504627	3.85177454	3.24755094	3.09115078
ENSMUSG00000048483	2.53445143	3.76564348	4.90818705	3.71764105	3.30639464	3.03404652
ENSMUSG00000027270	3.1840657	4.89567028	6.53542521	5.26675004	4.76289457	5.15482089
ENSMUSG00000070570	7.17139701	6.86925847	10.79531096	10.17364336	9.74005329	8.89334599
ENSMUSG00000024575	6.0444691	5.78330943	2.41377098	5.00710156	10.19829831	5.39632034
ENSMUSG00000059003	6.8125335	7.46423261	9.98009053	8.60909827	5.93343391	8.5174869
ENSMUSG00000029054	3.07517059	4.57099045	6.25882741	5.29418837	4.35875074	4.1764204
ENSMUSG00000027849	5.03572773	5.99816127	4.49657486	7.51265703	5.31079049	4.97882062
ENSMUSG00000034796	5.36922345	4.31930477	6.97135707	5.7749336	4.52200369	5.43563174
ENSMUSG00000028222	6.4187142	5.26628965	7.07915694	4.80761914	5.60074208	6.2016636
ENSMUSG00000053025	7.58388133	7.27351144	10.27237123	8.69771788	8.54548689	8.48936044
ENSMUSG00000047935	4.91517781	4.20075107	4.00228141	6.83105268	2.6644511	5.26076297
ENSMUSG00000035033	4.86866405	3.31800571	7.51344143	6.87936775	3.56680159	5.94241224
ENSMUSG00000026163	6.20597718	6.54934221	8.97529597	7.95519617	4.85792756	6.86385471
ENSMUSG00000030209	8.79510616	8.52402712	11.33437514	10.10776537	6.21473825	9.69032669
ENSMUSG00000053310	7.0823455	5.9335501	9.15974796	7.91140058	6.61042579	8.07969275
