contigname	S1	S2	S3	S4	S5
S1Chinf_b003	0.760000	0.260000	0.500000	0.500000	0.760000
S1Chinf_b004	0.506667	0.173333	0.333333	0.333333	0.506667
S1Chinf_b005	0.380278	0.130000	0.250278	0.250278	0.380278
S1Chinf_b006	0.380000	0.130000	0.250000	0.250000	0.380000
S1Chinf_b007	0.497642	0.168917	0.332069	0.332069	0.497642
S1Chinf_b010	0.388653	0.131411	0.254950	0.254950	0.388653
S1Chinf_b012	0.760278	0.260000	0.500278	0.500278	0.760278
S1Chinf_b013	0.506667	0.173333	0.333333	0.333333	0.506667
S1Chinf_b014	0.305500	0.104000	0.200000	0.200000	0.305500
S1Chinf_b016	0.507500	0.173333	0.333333	0.333333	0.507500
S1Chinf_b018	0.380000	0.130000	0.250000	0.250000	0.380000
S1Chinf_b020	0.729778	0.251500	0.482236	0.482236	0.729778
S1Chinf_b021	0.380357	0.130357	0.250357	0.250357	0.380357
S1Chinf_b022	0.506667	0.173333	0.333333	0.333333	0.506667
S1Chinf_b023	0.526757	0.177917	0.338278	0.338278	0.526757
S1Chinf_b025	0.380000	0.130000	0.250000	0.250000	0.380000
S1Chinf_b028	0.507024	0.173333	0.334167	0.334167	0.507024
S1Chinf_b029	0.506667	0.173333	0.333333	0.333333	0.506667
S1Chinf_b030	0.760000	0.260000	0.500000	0.500000	0.760000
S1Chinf_b031	0.500000	0.175000	0.328333	0.328333	0.500000
S1Chinf_b032	0.731107	0.252250	0.496000	0.496000	0.731107
S1Chinf_b034	0.759107	0.256250	0.502500	0.502500	0.759107
S1Chinf_b036	0.506667	0.173333	0.333333	0.333333	0.506667
S1Chinf_b037	0.373988	0.131190	0.251310	0.251310	0.373988
S1Chinf_b038	0.511905	0.171190	0.332143	0.332143	0.511905
S1Chinf_b040	0.506667	0.173333	0.334167	0.334167	0.506667
S1Chinf_b042	0.380000	0.130000	0.250000	0.250000	0.380000
S1Chinf_b043	0.380000	0.130000	0.250000	0.250000	0.380000
S1Chinf_b047	0.380000	0.130000	0.250000	0.250000	0.380000
S1Cport_b048	0.260000	1.520000	0.500000	1.520000	0.500000
S1Cport_b049	0.173333	1.013333	0.333333	1.013333	0.333333
S1Cport_b054	0.104000	0.608000	0.200000	0.608000	0.200000
S1Cport_b055	0.130000	0.760000	0.250000	0.760000	0.250000
S1Cport_b056	0.173333	1.013333	0.333333	1.013333	0.333333
S2Chinf_b001	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b002	0.760000	0.260000	0.500000	0.500000	0.760000
S2Chinf_b005	0.380278	0.130000	0.250278	0.250278	0.380278
S2Chinf_b008	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b009	0.497403	0.173077	0.327450	0.327450	0.497403
S2Chinf_b010	0.388653	0.131411	0.254950	0.254950	0.388653
S2Chinf_b011	0.760000	0.260000	0.502500	0.502500	0.760000
S2Chinf_b014	0.305500	0.104000	0.200000	0.200000	0.305500
S2Chinf_b018	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b019	0.533667	0.179333	0.341000	0.341000	0.533667
S2Chinf_b022	0.506667	0.173333	0.333333	0.333333	0.506667
S2Chinf_b024	0.506667	0.173333	0.333333	0.333333	0.506667
