,labels
SRR1175007,Homo_sapiens
SRR042182,Homo_sapiens
SRR061154,Homo_sapiens
SRR061499,Homo_sapiens
SRR063469,Homo_sapiens
SRR062324,Homo_sapiens
SRR1179037,Homo_sapiens
SRR061236,Homo_sapiens
SRR061456,Homo_sapiens
SRR642021,Homo_sapiens
ERR2402780,Canis_familiaris
ERR1916139,Canis_familiaris
ERR1915048,Canis_familiaris
ERR1914553,Canis_familiaris
ERR1913614,Canis_familiaris
ERR1915578,Canis_familiaris
ERR1915612,Canis_familiaris
ERR2402795,Canis_familiaris
ERR1914224,Canis_familiaris
ERR1914439,Canis_familiaris
