CellID,X_centroid,Y_centroid,sampleid,phenotype
1,2434.209524,3.676190476,sample2,CD16/CD14
2,34.34068627,5.578431373,sample2,CD16/CD14
3,2480.209524,3.676190476,sample2,MDSC
7,2372.975113,7.764705882,sample2,CD16/CD14
8,2537.330645,9.29516129,sample2,MDSC
9,1149.967005,9.92893401,sample2,MDSC
10,1647.487885,8.796255507,sample2,CD31+ endothelial
11,1833.961512,10.11958763,sample2,MDSC
12,259.9883268,12.20622568,sample2,MDSC
14,1316.941581,13.24742268,sample2,MDSC
15,1484.615789,10.67368421,sample2,MDSC
16,122.2617988,13.9109528,sample2,MDSC
17,302.8286219,13.83215548,sample2,MDSC
18,1756.311594,14.55797101,sample2,MDSC
19,215.3667712,15.44043887,sample2,MDSC
20,1417.5496,17.92852742,sample2,MDSC
21,2397.43118,17.61938202,sample2,CD16/CD14
22,1095.859023,19.74201128,sample2,CD4+ Tcells
23,1380.687243,19.94444444,sample2,MDSC
24,1509.717762,18.53649635,sample2,MDSC
25,2176.325195,20.07666016,sample2,MDSC
26,553.512672,27.28530051,sample2,MDSC
27,1980.504915,28.75290438,sample2,MDSC
29,856.439471,30.33774161,sample2,MDSC
30,1903.251656,36.63741722,sample2,CD16/CD14
31,4.555555556,37,sample2,MDSC
32,2223.058967,38.66812865,sample2,MDSC
33,1616.47619,40.64867725,sample2,MDSC
34,825.5212285,42.72899729,sample2,MDSC
35,1122.933059,39.9423275,sample2,likely-Unclassified
36,254.1,45.29552239,sample2,MDSC
37,1871.026076,46.34680574,sample2,CD16/CD14
38,2386.63306,46.31535756,sample2,Treg
39,751.8396991,47.14525463,sample2,MDSC
40,2411.435897,50.95022624,sample2,MDSC
41,2439.298329,48.74582339,sample2,MDSC
42,483.845815,51.11820852,sample2,MDSC
43,924.5947099,52.28412969,sample2,MDSC
44,1179,50.25751073,sample2,CD16/CD14
45,1937.708535,51.56521739,sample2,CD16/CD14
47,2528.005571,52.08820799,sample2,MDSC
48,1092.40106,50.83922261,sample2,CD16/CD14
49,1757.001339,52.55714286,sample2,MDSC
50,2362.471186,54.76271186,sample2,Treg
51,1065.773558,55.13642757,sample2,CD16/CD14
52,2465.716527,58.49476987,sample2,MDSC
53,1240.545159,57.66802278,sample2,CD4+ Tcells
54,2493.029197,58.00567721,sample2,MDSC
55,74.50151057,60.21148036,sample2,CD16/CD14
56,1342.267733,60.92141864,sample2,MDSC
57,1461.979656,60.13849765,sample2,MDSC
58,1588.171908,61.32354997,sample2,MDSC
59,2126.531267,59.4404062,sample2,MDSC
60,1130.832117,65.00912409,sample2,CD4+ Tcells
61,1416.425263,65.83368421,sample2,MDSC
62,440.4778761,67.27654867,sample2,MDSC
63,2311.604478,66.66311301,sample2,CD4+ Tcells
64,1027.977528,69.05617978,sample2,MDSC
65,1670.50211,69.06962025,sample2,CD31+ endothelial
66,173.5082645,71.13636364,sample2,CD16/CD14
67,888.4695467,69.75637394,sample2,MDSC
68,2283.006803,69.31632653,sample2,CD16/CD14
69,16.46076642,74.25821168,sample2,MDSC
70,537.3814103,75.68910256,sample2,MDSC
71,1541.287014,75.01943755,sample2,MDSC
72,2213.373847,74.55993294,sample2,CD4+ Tcells
73,1276.448294,79.58315565,sample2,CD4+ Tcells
74,1940.334421,73.85861881,sample2,MDSC
75,2242.5883,77.46909492,sample2,CD4+ Tcells
76,2426.688,76.85466667,sample2,MDSC
77,1769.098765,81.59171076,sample2,MDSC
78,2357.717218,81.40706956,sample2,Treg
79,337.5039936,84.97364217,sample2,CD4+ Tcells
80,1447.586977,82.6427907,sample2,MDSC
81,2168.111732,83.08379888,sample2,CD4+ Tcells
82,827.9204285,86.43075746,sample2,CD4+ Tcells
83,1083.459649,91.21988304,sample2,MDSC
84,1810.581292,92.51002227,sample2,MDSC
86,2474.9273,91.31454006,sample2,MDSC
87,1589.229992,95.28593629,sample2,Macrophages
88,2500.964481,94.49453552,sample2,CD16/CD14
