CellID,X,Y,vimentin,CD4,CD20,CD8a,pcna,ck5,ck8,CD206
1,20.73819302,10.43942505,158.7669405,288.1314168,147.9312115,151.8665298,144.1170431,101.6232033,131.1057495,312.0441478
2,109.7635747,13.63744344,146.8687783,250.050905,138.4095023,155.2941176,164.4032805,103.0322398,141.5361991,253.2522624
3,276.7003725,17.41032464,183.4321448,375.516232,146.9984034,166.9952102,158.4374667,102.4305482,125.3022885,385.0691857
4,462.5355522,23.04160363,156.2068835,201.0858548,135.0608926,250.3313162,155.1255673,102.4069592,121.2624811,198.7840393
5,509.4783405,19.49603417,151.2873703,231.4820012,133.3288591,191.4362416,143.3050641,102.4600366,123.0006101,265.3727883
6,667.0402367,10.20591716,151.1680473,217.6828402,122.3597633,144.1680473,147.495858,100.6295858,117.6887574,287.7301775
7,1111.529726,13.58316633,160.0480962,216.0173681,116.9258517,150.997996,152.9599198,100.2732131,114.0247161,192.6105544
8,1726.823383,8.785240464,153.880597,199.3739635,120.8756219,146.2487562,145.9834163,101.8864013,112.8640133,173.0207297
9,2508.257143,7.775238095,276.2857143,190.5580952,139.0533333,142.5314286,132.4742857,100.8514286,108.0038095,188.0247619
10,2689.820988,12.41710758,141.478836,276.2222222,133.6075838,131.7028219,132.9215168,100.1825397,107.7372134,169.8306878
11,2816.082037,16.66713814,160.7854785,156.2866572,110.4097124,141.2927864,125.7043847,99.21404998,107.7515323,158.2512966
12,1642.151495,28.98538206,159.9681063,268.8179402,131.5239203,150.3451827,143.89701,101.3807309,112.2890365,175.7478405
13,348.6571761,21.18768158,167.4404416,268.3779779,139.9145845,162.4552586,183.4119698,102.045613,123.3657757,269.1077862
14,1778.17604,31.21147357,145.5530559,155.6068616,112.4475066,143.6696663,131.2020997,100.8498313,106.2825272,144.9190101
15,59.45804749,23.11134565,154.217942,248.1609499,137.9298153,158.8480211,157.4047493,102.614248,130.8422164,269.730343
16,919.6765417,20.28476421,206.5532044,341.1112455,122.6426844,188.4963724,156.5090689,100.9758162,116.1130593,157.1185006
17,3192.445569,27.52766532,163.1070625,208.2161493,128.11426,130.6266307,123.8301844,99.48088169,104.5418354,165.2539361
18,169.0106028,35.5916389,146.5955771,205.5143896,131.6655559,157.6095123,274.551651,102.1566192,123.2826416,228.5443805
19,1034.644202,34.10868245,143.8536733,186.527626,123.9386764,140.3126897,139.8032787,99.46994536,107.4146934,151.9975713
20,743.704158,38.96860707,143.9139293,167.6496881,118.193763,146.5860707,172.6049896,100.8975052,109.6850312,165.518711
21,122.1148577,36.47839831,149.1433087,187.0695469,125.5468915,155.3150685,158.1222339,101.8609062,121.6722866,180.0537408
22,2931.216739,60.61420473,181.3937979,161.8922974,112.3047683,142.7692564,128.9419807,100.3477826,109.936979,176.6932311
23,2613.646386,59.07228579,195.4186436,200.6804354,120.1869941,153.5383757,172.9229696,100.2824449,112.6645269,290.0840078
24,82.75278219,52.58028617,146.0961844,196.1073132,129.5349762,149.008744,148.5874404,101.5135135,121.2782194,335.4650238
25,560.6261766,63.60286867,165.3312416,261.8758404,126.617212,207.3177947,146.1456746,101.9677275,120.890632,203.0062752
26,1408.861322,64.06992393,141.5143359,180.5084845,120.533938,140.8171445,166.1249269,100.3601521,109.1699824,207.0558806
27,1553.422104,77.20319574,165.277763,167.4090546,119.6090546,149.4013316,184.3949401,100.6426099,111.4237017,206.9043941
28,123.2011278,60.65037594,153.6597744,158.3928571,119.4567669,140.7857143,196.5620301,101.5714286,115.4285714,188.2951128
29,26.72813901,71.60762332,146.2365471,200.051009,124.4422646,156.0313901,171.5711883,101.0493274,123.1334081,180.0190583
30,212.4671803,73.05516179,161.8742681,199.4209553,134.0043143,161.4644068,154.0918336,101.7494607,123.7916795,228.5654854
31,402.3763285,74.72463768,151.178744,237.4111111,139.1318841,149.9082126,142.384058,102.0917874,122.663285,214.7251208
32,147.3155922,82.60269865,166.6416792,192.3313343,126.8845577,157.9985007,172.7856072,102.2998501,135.2338831,225.3508246
33,296.8188194,87.59906487,150.1157218,188.2279369,124.4161309,154.5055523,139.8749269,101.0882525,123.880187,190.043834
34,580.2302856,101.7537333,156.5116584,292.1891538,131.6578465,155.5658894,142.3227666,101.5093005,114.5226618,252.7943411
35,117.3939394,92.12727273,184.7767677,175.6424242,125.4171717,151.679798,175.9525253,102.2151515,133.620202,209.2757576
36,244.5324074,95.60582011,160.1732804,230.5165344,126.5595238,157.2890212,155.4980159,101.3161376,124.5489418,198.5277778
37,1347.355491,103.7290462,156.2980491,231.1354769,129.1188584,152.6817197,158.7210983,101.0625,115.574422,317.6163295
38,1815.451122,96.52280956,148.9044171,385.3417813,120.1781318,133.1230992,128.8566256,100.3222303,110.294714,170.1607531
39,3249.097243,114.4401773,154.1767602,186.0997046,115.4298375,146.6797144,125.4320532,99.52855736,110.6381093,174.021418
40,3034.446526,120.4069244,158.2489922,169.5465971,113.7763813,149.2508893,132.7721129,99.90253735,110.4773536,151.4972729
41,168.7606973,113.2313788,151.022187,206.5134707,122.6867406,146.4241944,145.7554147,101.131009,121.2371896,170.0808241
42,79.75625,119.4278846,153.9879808,180.9644231,119.85,155.0634615,160.1139423,100.9274038,120.7177885,171.0543269
43,679.2002374,122.6363277,141.4685398,174.8678275,119.1919272,145.1495845,182.2299169,100.4416304,109.5290859,163.079541
44,28.67476532,124.6874655,154.5770293,184.7642187,124.5770293,153.4064053,152.3699613,100.9453341,125.6526781,193.6532303
45,226.7919917,127.0114405,159.2537702,346.4773791,132.3286531,153.5278211,161.9620385,102.5642226,127.8725949,256.0104004
46,1423.848273,134.6895425,153.8730159,184.7962185,124.6010738,151.6535948,147.1255836,100.4883287,109.5459851,162.7894491
47,1214.156171,125.0952981,168.4554996,273.6456759,135.874895,149.8539043,146.2439127,101.8035264,124.4492024,517.3102435
48,263.9077922,125.6818182,164.8909091,220.5428571,118.7272727,134.9662338,140.7428571,101.4428571,123.6701299,241.0831169
49,987.7047228,134.0525667,159.02423,177.2973306,116.3523614,152.9568789,147.6090349,99.73921971,112.1117043,191.4562628
50,823.699842,135.4020537,180.7322275,248.2093207,123.1729858,157.8578199,153.3451817,100.9194313,112.2377567,165.107425
51,517.3693694,143.1542793,172.8795045,188.1396396,116.4307432,145.3721847,125.7978604,100.6970721,106.910473,159.9335586
52,711.9434276,154.4866889,141.9513311,170.718386,115.2882696,143.6613977,157.1264559,100.1064892,106.687188,144.9567388
53,119.1222658,141.3426809,161.0241167,301.8390353,130.5530006,159.2680875,152.3662367,101.2260236,127.0347729,184.5030847
54,2754.302827,165.8983109,168.3071355,195.2740434,115.4120993,152.2867977,135.1130645,100.330748,113.9439848,175.1680455
55,469.4003132,146.1205637,153.9300626,192.5741127,117.019833,146.7682672,140.7327766,100.7620042,108.2066806,162.6790188
56,176.8133654,149.1336544,153.9127032,459.526189,138.2293799,160.1216135,156.8807947,102.1613486,133.9921734,249.4406984
57,1223.958529,156.8994523,167.3959311,222.4182316,121.9010172,139.5982003,116.8180751,99.94014085,108.9491393,446.0418623
58,774.8625287,162.7466667,150.2864368,170.5057471,111.6565517,147.7903448,144.5370115,99.71770115,110.5498851,151.6781609
59,2823.95568,170.644148,160.8425129,234.366179,124.5094664,148.6665232,130.3425129,100.5998279,114.2172978,190.8179862
60,65.87849401,164.1055334,154.2515687,214.722761,130.7723902,151.7444381,176.8488306,101.4084427,122.3314318,183.0296634
61,136.3153619,166.5856721,159.4822747,228.5590842,120.0731167,160.9483013,165.0982275,101.2503693,118.6979321,217.9623338
62,1496.748367,184.5941904,159.0850808,176.6512547,118.4274665,152.7540392,145.2573049,100.4814369,113.1670677,180.6216913
63,1272.501531,177.385159,158.1057715,184.368669,121.1580683,137.7243816,140.743934,100.4506478,111.9001178,169.6579505
64,1626.333139,167.7012835,161.5985998,165.9174446,117.2955076,139.4997083,149.9784131,100.0105018,108.6032672,170.4439907
65,337.4288179,174.9091171,164.663503,241.3451251,126.5731953,154.3595053,157.8628128,102.0054645,122.3943054,296.5383952
66,408.7477535,169.5892169,214.2997433,337.4826701,131.1456996,161.0757381,138.1283697,101.3581515,116.3273427,402.4403081
67,1399.341689,175.1128065,155.4692098,187.8299728,114.3171662,150.1765668,163.1133515,100.3525886,112.9122616,170.252861
68,256.2229354,173.3992298,173.3572957,205.3085152,121.1925546,151.1347882,159.3654258,101.3102268,118.1985451,236.2811297
69,2340.597981,185.7973074,166.802543,258.5848915,126.0998504,156.4648467,135.0452506,101.1379955,128.5381451,230.2154076
70,13.5426009,170.2634529,166.2017937,333.5246637,131.4652466,157.2230942,153.1423767,102.1188341,119.1849776,190.8430493
71,2590.045782,181.5255566,185.6099091,259.1818752,124.8407024,148.1382879,138.0178739,100.6578865,117.0896833,225.3276889
72,1750.273463,200.2657807,177.5793189,174.8743771,118.7437708,139.4223422,129.0332226,99.98774917,107.9829734,154.780108
73,199.8386143,187.974229,160.2475708,244.9767638,133.9602873,268.8981834,150.3988171,102.0967469,125.6932826,277.2737643
74,29.19390582,199.5156971,160.2899354,262.9976916,130.9538319,160.1301939,172.2216066,101.5724838,119.3905817,218.0470914
75,2314.295578,205.0395656,155.6858029,289.4437548,128.640031,154.7719162,129.1101629,100.4879752,109.8913887,182.8820791
76,82.11175423,207.6731968,171.2974176,277.2123776,120.047195,150.6598397,138.7969724,100.9385574,120.9928762,190.3895815
77,497.0697962,203.3150093,149.5268684,162.5003088,106.5509574,139.7739345,122.2180358,100.6219889,107.4966028,135.1852996
78,1944.786298,211.1919238,159.6960073,183.6020871,114.7985481,151.9564428,131.923775,101.0630672,114.6692377,178.4441924
