Start_push	End_push	Pushes_duration	X	Y	Z	80ArAr(ArAr80Di)	Myelope_276((2967))Y89(Y89Di)	Histone_126((2979))In113(In113Di)	SMA_174((2780))In115(In115Di)	131Xe(Xe131Di)	134Xe(Xe134Di)	136Ba(Ba136Di)	138La(La138Di)	CD16_1820((2945))Pr141(Pr141Di)	CD38_1719((2961))Nd142(Nd142Di)	HLA-DR_1849((2953))Nd143(Nd143Di)	CD27_2231((2946))Nd144(Nd144Di)	CD15_627((2954))Nd145(Nd145Di)	CD45RA_732((2955))Nd146(Nd146Di)	CD163_1863((2947))Sm147(Sm147Di)	Beta-2M_1855((2962))Nd148(Nd148Di)	CD20_36((2980))Sm149(Sm149Di)	CD68_77((2963))Nd150(Nd150Di)	Indolea_2281((2981))Eu151(Eu151Di)	CD3_1841((2941))Sm152(Sm152Di)	LAG-3_1817((2982))Eu153(Eu153Di)	CD11c_2406((2983))Sm154(Sm154Di)	CD279(P_1743((2762))Gd155(Gd155Di)	CD140b(_1938((2948))Gd156(Gd156Di)	CD7_2258((2956))Gd158(Gd158Di)	Granzym_2215((2819))Tb159(Tb159Di)	CD274(B_2298((2949))Gd160(Gd160Di)	TCF1TCF_2221((2984))Dy161(Dy161Di)	CD45RO_2014((2950))Dy162(Dy162Di)	FOXP3_115((2942))Dy163(Dy163Di)	CD278(I_1815((2951))Dy164(Dy164Di)	CD8a_1718((2957))Ho165(Ho165Di)	Carboni_2443((2985))Er166(Er166Di)	CD33_2237((2986))Er167(Er167Di)	Ki-67_142((2965))Er168(Er168Di)	VISTA_2024((2966))Tm169(Tm169Di)	CD40_2255((2821))Er170(Er170Di)	CD4_2293((2943))Yb171(Yb171Di)	CD14_2275((2958))Yb172(Yb172Di)	E-Cadhe_103((2959))Yb173(Yb173Di)	CD303_2313((2952))Yb174(Yb174Di)	CD206(M_324((2960))Lu175(Lu175Di)	cleaved_198((2944))Yb176(Yb176Di)	DNA1(Ir191Di)	DNA2(Ir193Di)	196Pt(Pt196Di)	206Pb(Pb206Di)
3110	3301	192	0	0	0	8067.781	0.000	21.807	0.000	85.946	36.242	43.094	4.229	0.000	0.000	11.918	2.000	20.947	0.000	0.000	15.863	1.000	2.000	9.616	1.360	1.142	2.000	2.434	5.194	13.207	7.765	3.000	5.492	23.437	2.780	7.508	1.959	10.130	6.428	137.361	4.812	2.916	5.252	10.804	32.527	6.101	5.404	0.000	210.031	400.832	0.842	1.828
3302	3493	192	1	0	1	7814.213	0.000	36.018	2.000	80.988	22.010	23.769	1.000	4.000	0.000	19.650	0.000	6.725	6.298	0.000	29.387	6.553	7.515	8.680	1.329	1.395	4.751	1.000	4.939	15.891	6.987	10.290	9.693	21.381	2.000	2.280	9.345	8.479	9.446	150.573	2.516	2.553	11.583	13.933	47.026	10.102	7.078	0.000	191.442	325.969	1.000	0.000
3494	3685	192	2	0	2	8095.520	0.000	21.466	0.000	79.268	35.071	34.119	5.962	9.000	0.000	28.846	4.023	3.202	2.465	3.593	14.268	3.256	9.033	3.000	4.701	0.000	2.526	2.326	4.789	12.190	7.987	1.226	13.088	21.710	3.170	0.000	2.000	8.839	11.135	87.867	2.000	3.072	12.080	33.977	105.607	5.602	1.136	3.183	76.944	132.338	0.000	0.000
3686	3877	192	3	0	3	8109.541	0.000	11.260	1.000	66.112	27.386	32.141	5.329	12.139	0.617	73.033	3.612	1.000	1.839	8.874	29.664	1.507	3.336	3.442	10.888	2.666	4.384	3.900	1.214	8.553	9.475	2.322	2.000	24.307	4.224	1.000	2.000	3.912	15.544	51.983	11.888	5.030	12.397	49.825	161.894	12.069	6.710	2.039	58.817	114.123	0.000	0.000
3878	4069	192	4	0	4	7973.865	1.764	2.515	0.000	75.689	48.109	34.215	3.000	13.847	6.018	112.828	3.170	2.150	0.000	21.183	23.006	5.516	8.644	2.000	3.942	1.490	1.795	3.091	10.369	10.452	13.750	6.935	3.649	29.637	0.000	1.563	2.567	7.236	13.692	55.017	2.000	10.997	23.239	63.409	135.412	6.834	24.270	0.000	63.150	126.677	0.000	1.000
4071	4262	192	5	0	5	8512.908	0.000	11.061	3.294	83.717	42.628	26.910	2.641	5.508	2.000	101.745	2.147	1.461	2.306	19.528	18.935	1.000	17.653	1.000	3.056	2.268	8.661	1.000	1.000	3.985	7.351	2.516	2.875	22.636	1.000	2.000	1.077	4.029	18.958	20.823	12.712	9.096	21.656	50.447	149.304	19.238	15.793	0.000	57.665	103.929	1.000	0.000
4263	4454	192	6	0	6	8397.752	1.000	15.434	2.357	102.104	41.202	30.815	2.038	4.354	1.617	36.795	1.000	1.000	3.181	15.996	23.351	2.166	4.259	7.723	6.365	2.015	0.000	0.574	2.789	6.274	4.381	1.290	4.781	12.242	4.216	4.680	0.000	3.014	9.216	17.710	2.846	4.213	10.874	32.026	114.611	12.003	10.721	1.000	140.542	208.724	1.000	0.000
4455	4646	192	7	0	7	9226.828	0.000	29.955	1.006	93.255	35.255	30.696	9.833	0.000	1.000	23.537	3.977	4.679	1.434	5.780	12.206	1.601	5.242	1.357	2.214	0.000	2.907	1.000	6.089	9.672	5.158	4.806	4.261	13.260	5.451	6.090	2.469	1.000	6.314	16.861	3.879	7.517	10.119	20.633	60.868	3.834	4.342	0.000	243.324	359.604	5.470	2.617
4647	4838	192	8	0	8	7817.846	1.000	23.639	1.000	75.090	27.418	20.604	3.199	0.000	0.000	10.248	1.116	2.958	0.000	2.000	3.036	0.000	1.000	3.461	1.044	0.000	0.000	0.000	3.469	2.701	4.183	0.000	5.266	8.704	3.956	1.075	0.000	2.211	1.000	31.451	2.175	1.000	2.000	8.228	26.396	1.000	4.342	1.000	166.122	307.639	2.157	0.000
4839	5030	192	9	0	9	8204.837	0.000	21.381	0.000	110.412	47.963	23.968	4.718	1.000	0.000	4.000	2.450	2.274	3.088	2.000	2.944	5.432	0.000	0.000	2.708	0.000	2.049	4.218	2.683	0.000	2.866	4.000	3.000	15.598	1.000	0.000	1.000	1.832	3.706	18.666	3.637	0.000	4.417	1.261	13.691	2.000	1.000	1.642	180.825	378.441	2.349	0.000
5031	5222	192	10	0	10	8461.403	0.000	18.837	0.000	89.546	33.255	27.785	2.038	0.000	0.000	1.000	1.000	2.000	2.000	0.000	1.000	3.000	0.000	3.893	1.000	1.000	1.176	1.000	0.000	2.059	0.644	1.000	6.467	7.792	1.072	1.628	2.220	4.829	2.000	28.714	0.725	1.850	0.000	1.000	1.000	2.034	0.000	0.000	137.306	280.557	0.000	2.000
5224	5415	192	11	0	11	7982.834	2.000	22.783	2.000	73.110	35.691	29.440	1.160	0.000	2.018	1.000	1.000	6.290	0.000	1.281	0.000	1.000	3.085	0.000	0.000	0.000	2.717	0.000	1.182	2.000	6.148	1.000	3.000	6.181	0.000	1.000	1.436	3.342	0.000	34.516	0.000	0.000	2.126	0.000	7.988	3.000	2.170	1.000	142.822	297.563	0.000	0.000
5416	5607	192	12	0	12	8438.338	0.000	37.535	3.524	98.806	44.185	27.739	3.718	0.615	1.000	3.969	1.364	3.735	1.028	0.000	2.000	1.601	7.641	2.767	0.000	0.000	1.000	3.983	3.130	1.000	3.191	0.000	3.072	9.802	3.664	6.625	1.000	13.664	2.673	48.375	0.000	1.784	2.000	8.041	20.936	12.836	1.270	0.000	196.167	322.018	0.000	2.975
5608	5799	192	13	0	13	8264.027	0.000	23.383	1.179	109.891	36.953	42.922	1.008	0.000	0.000	2.670	0.000	4.855	4.028	0.000	13.087	1.727	6.690	4.388	0.000	0.000	1.000	0.000	1.000	3.733	7.534	2.000	4.229	13.839	2.040	4.182	1.000	14.686	2.640	20.322	1.890	1.000	4.000	4.000	39.337	5.534	2.237	0.000	153.039	256.142	2.980	1.000
5800	5991	192	14	0	14	8333.433	1.000	18.379	0.000	99.065	39.691	28.807	3.665	1.723	1.296	9.289	2.271	0.000	0.000	0.000	12.116	0.000	0.000	10.065	3.732	0.000	0.000	2.083	2.364	15.679	5.250	4.322	4.716	16.316	1.000	4.280	1.000	6.857	11.479	28.443	3.406	3.601	5.861	3.958	128.511	6.902	1.905	0.000	106.848	176.816	5.663	1.792
5992	6183	192	15	0	15	9020.408	0.000	19.724	1.000	100.293	62.384	31.752	1.000	0.000	2.000	15.495	4.597	0.000	4.459	0.000	9.953	4.046	6.399	11.286	4.657	0.000	4.751	2.000	4.044	120.300	2.963	4.838	3.942	16.964	3.216	4.908	4.395	3.832	7.412	47.257	7.834	14.289	10.278	22.604	171.613	11.671	1.705	3.273	91.325	138.445	2.297	1.000
6185	6376	192	16	0	16	8027.681	1.000	24.210	2.000	86.727	49.502	27.670	6.222	0.000	5.178	10.670	1.000	5.487	9.456	2.281	7.353	2.763	3.605	13.709	6.567	4.315	3.306	2.000	2.000	172.599	8.309	4.258	1.000	13.028	3.000	2.000	1.077	5.192	8.593	293.306	2.000	4.255	17.186	17.380	180.074	11.837	4.443	2.000	239.374	428.949	0.000	1.290
6377	6568	192	17	0	17	8404.767	1.000	20.952	5.840	84.058	42.955	28.313	5.428	1.000	1.573	12.877	3.000	17.962	7.731	1.000	18.906	6.162	6.637	10.670	4.265	1.300	1.000	2.000	5.492	237.355	15.173	5.516	6.557	11.061	8.927	1.433	4.089	6.090	14.102	617.975	8.482	11.481	8.523	18.322	75.714	9.968	1.000	3.283	443.752	909.453	5.052	0.000
6569	6760	192	18	0	18	8543.538	1.202	25.667	3.000	88.548	46.882	31.959	2.000	1.000	1.000	8.134	1.302	22.937	1.278	0.000	25.353	5.579	4.385	6.723	8.149	3.934	5.003	1.243	3.683	260.466	26.012	5.548	2.069	9.926	0.000	2.368	1.000	12.494	13.054	668.078	11.085	4.742	6.510	10.419	63.277	4.301	1.000	2.680	388.550	787.675	1.157	1.000
6761	6952	192	19	0	19	8793.631	1.000	23.640	1.437	88.158	51.177	33.749	2.619	0.000	0.000	8.072	0.000	24.019	9.703	0.000	13.801	3.041	6.508	6.354	20.450	0.000	5.881	2.000	13.254	595.333	89.059	12.419	0.776	5.269	2.000	5.693	0.588	8.010	7.279	579.729	18.008	6.180	2.000	27.479	50.496	4.368	4.239	1.000	476.837	851.462	3.718	1.000
6953	7144	192	20	0	20	8071.502	0.000	27.212	1.000	108.903	44.124	43.750	2.710	0.000	2.000	7.278	3.000	25.123	10.661	1.000	32.082	1.162	8.155	7.595	23.738	0.000	1.000	3.000	2.000	744.857	133.307	6.097	1.259	12.677	7.794	7.690	6.309	8.501	6.263	383.434	36.398	12.571	10.192	18.202	49.719	9.769	1.000	0.000	324.925	515.092	4.788	1.000
7146	7337	192	21	0	21	8234.331	0.000	24.754	0.000	73.690	33.806	37.268	13.216	1.000	3.345	5.237	4.814	5.513	13.474	0.000	25.438	6.306	7.193	3.587	24.317	2.173	7.707	4.919	3.853	487.391	103.633	9.128	4.298	9.301	6.191	7.569	3.306	5.272	8.904	140.400	27.928	3.751	11.417	23.392	68.778	9.904	3.376	0.000	225.442	381.586	1.561	0.000
7338	7529	192	22	0	22	9217.130	0.000	37.935	2.000	101.645	56.497	25.506	5.123	1.000	3.666	3.000	2.333	3.171	3.275	1.000	18.378	3.606	1.000	7.837	25.112	0.000	6.751	2.326	5.993	354.672	36.425	8.128	8.270	5.885	2.430	7.611	1.000	8.086	6.542	80.837	14.767	4.000	7.940	26.914	159.291	21.705	2.604	1.000	167.874	363.043	5.295	1.828
7530	7721	192	23	0	23	8884.703	0.000	29.473	1.000	67.070	37.570	36.300	4.496	1.000	6.417	2.938	3.023	9.502	3.960	0.000	16.465	1.790	8.334	6.133	25.857	1.395	0.668	3.441	6.855	244.814	32.264	7.741	12.217	20.205	3.455	4.843	2.110	5.596	9.231	34.286	15.041	4.757	9.199	33.391	144.578	11.971	5.111	3.345	182.829	311.018	3.000	1.505
7722	7913	192	24	0	24	7796.625	0.000	31.870	2.242	99.545	42.709	28.488	8.398	2.677	0.000	7.547	2.550	10.855	4.020	0.000	15.680	1.068	6.934	15.264	13.180	2.000	1.271	1.115	6.290	184.046	5.000	7.322	14.832	9.232	1.332	1.000	6.701	5.090	6.821	69.031	16.393	5.823	9.954	17.741	168.931	12.803	0.000	0.000	178.789	421.311	2.000	0.000
7914	8105	192	25	0	25	8192.526	0.000	30.842	1.000	83.048	37.593	41.972	2.657	0.000	2.283	10.969	0.558	5.958	4.742	2.000	14.143	0.000	9.295	10.502	19.278	2.378	0.000	2.000	3.514	214.335	12.269	7.645	10.437	13.339	4.061	3.931	1.143	1.000	4.886	124.725	8.207	7.607	7.417	11.808	125.009	9.669	1.370	1.039	235.346	341.667	3.595	1.000
