sampleID	hgncSymbol	geneID	pValue	padjust	zScore	l2fc	rawcounts	meanRawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank	padjust_Sample_specific_genes	padjust_Test_subset	foldChange	HPO_label_overlap	HPO_id_overlap	Ngenes_per_pheno	Nphenos_gene
HG00096	AATBC	ENSG00000215458.8_5	0.432034026932897	1	0.86	0.38	31	16.2	16.43	12.26	8.37	TRUE	161	10	81			1.3				
HG00096	ABCG1	ENSG00000160179.18_5	0.336280721477469	1	0.9	0.33	208	198.8	253.3	200.88	14.36	TRUE	161	10	81			1.26				
HG00096	AF015262.1	ENSG00000234703.1_5	1	1	0.22	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	AF121897.1	ENSG00000235012.1_5	1	1	0.2	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	AF127577.1	ENSG00000229047.1_5	0.47085060394931	1	-0.56	-0.21	53	67.7	57.18	65.85	71.34	TRUE	161	10	81			0.86				
HG00096	AF127577.2	ENSG00000231201.1_5	1	1	-0.68	-0.47	0	0.3	0	0.29	1.04	TRUE	161	10	81			0.72				
HG00096	AF127577.6	ENSG00000279390.1_5	1	1	-1.24	-0.67	0	0.6	0	0.41	1000	TRUE	161	10	81			0.63				
HG00096	AF129408.1	ENSG00000272991.1_5	0.605101716953588	1	-0.46	-0.31	9	12.8	9.64	11.88	1000	TRUE	161	10	81			0.81				
HG00096	AF165147.1	ENSG00000232855.6_6	0.92992028212783	1	-1.03	-0.82	0	0.9	0	0.83	1000	TRUE	161	10	81			0.57				
HG00096	AF254983.1	ENSG00000273840.1_5	1	1	-0.75	-0.73	0	1.1	0	0.89	47.72	TRUE	161	10	81			0.6				
HG00096	AJ011931.1	ENSG00000276633.1_3	1	1	-0.39	-0.25	0	0.8	0	0.65	1000	TRUE	161	10	81			0.84				
HG00096	AJ239328.1	ENSG00000280604.1_5	1	1	0.19	-0.02	1	4.1	3.04	3.14	7.99	TRUE	161	10	81			0.99				
HG00096	AP000146.1	ENSG00000230379.5_5	1	1	-0.61	-0.34	0	0.4	0	0.36	1000	TRUE	161	10	81			0.79				
HG00096	AP000229.1	ENSG00000273492.5_6	1	1	-0.07	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	AP000265.1	ENSG00000261610.1_2	0.318458183079709	1	1.62	0.81	2	0.7	1.95	0.6	1000	TRUE	161	10	81			1.75				
HG00096	AP000281.1	ENSG00000224427.1_2	0.637923258888314	1	0.82	0.38	4	2.9	3.69	2.58	1000	TRUE	161	10	81			1.3				
HG00096	AP000295.1	ENSG00000249624.9_6	0.935521004597233	1	0.1	0.01	2039	2517.7	2530.87	2518.32	52.76	TRUE	161	10	81			1.01				
HG00096	AP000311.1	ENSG00000249209.2_6	0.050249819529366	1	-2.19	-1.87	4	32.7	6.42	27.67	5.74	TRUE	161	10	81		1	0.27				
HG00096	AP000317.2	ENSG00000272657.1_6	0.516618333583842	1	-0.6	-0.31	109	101.9	76.93	95.66	14.16	TRUE	161	10	81			0.81				
HG00096	AP000568.1	ENSG00000229336.1_5	0.0197362632093193	1	-2.46	-1.78	2	10.5	2.14	9.95	32.17	TRUE	161	10	81			0.29				
HG00096	AP000569.1	ENSG00000273102.1_5	0.851569046094071	1	-0.21	-0.33	4	6.2	3.61	4.72	12.87	TRUE	161	10	81			0.8				
HG00096	AP000688.4	ENSG00000236677.1_5	1	1	0.22	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	AP000695.1	ENSG00000230479.1_6	0.599713877546291	1	1.02	0.32	7	5.3	6.53	5.08	1000	TRUE	161	10	81			1.25				
HG00096	AP000695.1_2	ENSG00000267976.1	0.744584487311782	1	0.39	0.12	21	18.4	19.56	18.16	745.98	TRUE	161	10	81			1.09				
