#OTU ID	sampleID_1	sampleID_1a	sampleID_2	sampleID_2a
266d3c050f6688d15024f3c36c9328d8	0.0	13.0	0.0	8.0
8b91e5b1c412877f96a4a342ab6dc680	18.0	0.0	28.0	4.0
3421464bea79a54e7eef62009457230b	0.0	38.0	0.0	45.0
e149acb95b2ccf99ebccc818ef8aac1f	0.0	6.0	0.0	4.0
cbff13b5013921139f28a5115cf9f7a8	0.0	11.0	0.0	11.0
1304d0f9dc2397bbf02e61577a2f5adc	0.0	15.0	0.0	9.0
b39be459cc96689db8cd6b00a0d86e8e	167.0	17.0	344.0	0.0
3ebe761bfb1238c87195d431f41bf976	166.0	16.0	99.0	18.0
aeda648ef1ccaf013a70453eee0caf8a	8.0	27.0	11.0	30.0
25e119f38effd7d58bf3442bd40eaf00	36.0	0.0	79.0	0.0
906a06fc904a9a11c50b0a100467961b	0.0	7.0	0.0	6.0
fc3f584449d707e80bd4aa0efcd65508	4.0	0.0	15.0	0.0
89fa0981707da59c8cede9f5d70afe62	0.0	14.0	0.0	19.0
c1cd0bc45f873697ab9156e7147e8d76	0.0	27.0	0.0	25.0
d88abff2ed5af388abe3bd71809f70e1	6.0	51.0	0.0	48.0
02b4cbe5c2955ab2f66dc82cdf6dad64	38.0	0.0	27.0	24.0
b230be8a10f78f48e504b8dc5cfa7afb	0.0	14.0	0.0	9.0
c4dc084b83476f4b2c829da5b52fcb4d	0.0	11.0	0.0	17.0
87e503bff5c5886e5938a97aa0afb1d5	0.0	12.0	0.0	10.0
7e7deb01f0491d33ecb87427fcbeb1ee	5.0	0.0	13.0	0.0
d69464b2275c7c4514b5858d01db39b8	0.0	16.0	0.0	18.0
615d65be0a5ba4f62e9d7aa1bffb4277	0.0	14.0	0.0	19.0
ec03d66fcea8850ab39fe2bce3814f30	0.0	20.0	0.0	26.0
fb6835364f1d79a14457f24bc50738d0	0.0	19.0	0.0	14.0
da13eb51a23731d1542076afd2a4882d	22.0	0.0	21.0	0.0
ee6a011da2550805c6fd434ab053464a	0.0	4.0	0.0	17.0
38c27ceaed634984c1225a82648cf571	106.0	12.0	56.0	64.0
7da5a08a0f3713731b1ec0bdefe97783	0.0	8.0	0.0	7.0
a9cdace376f468b22ea7bac7de7e029c	0.0	14.0	0.0	8.0
2bfdfef3ab9fe4d267c52f8ee5c80ddd	0.0	6.0	9.0	15.0
54c05a1e59ddd42bd97a0a8f522bf591	0.0	4.0	0.0	7.0
c02e74171a45a7d8308e4581e6b79eab	0.0	7.0	0.0	9.0
f86222ce0aa7c48d5994451baf572b60	13.0	0.0	31.0	0.0
67e959ec1398cee2946858ecda5af98b	6.0	0.0	4.0	0.0
59dd6d3f3f896c4309537cf26c3597a3	24.0	0.0	26.0	0.0
7346ee25c4de4df48f80d736342c1c02	24.0	5.0	29.0	5.0
b7d6cf3f7467ca45087ca083796a0af0	81.0	0.0	99.0	0.0
e04265a1b5b74d599d1000ac0f280268	0.0	10.0	0.0	10.0
1f8747026500ce37ab66b935d9b1b53e	0.0	112.0	0.0	123.0
b39f90da9ee92988c2e0f57748c70f4c	0.0	13.0	0.0	13.0
