"Feature","MS55_01","MS55_02","MS55_03","MS55_04","MS55_05","MS55_06","MS55_07","MS55_08","MS55_09","MS55_10","MS55_11","MS55_12","MS55_13","MS55_14","MS55_15","MS55_16","MS55_17","MS55_18","MS55_19","MS55_20","MS55_21","MS55_22","MS55_23","MS55_24","MS55_25","MS55_26","MS55_27","MS55_28","MS55_29","MS55_30","MS55_31","MS55_32","MS55_33","MS55_34","MS55_35","MS55_36","MS55_37","MS55_38","MS55_39","MS55_40","MS55_41","MS55_42","MS55_43","MS55_44","MS55_45","MS55_46","MS55_47","MS55_48","POOL0","POOL1","POOL2","POOL3","POOL4","POOL5","POOL6","POOL7","POOL8","POOL9"
"valine-d8",1910140239,2030901280,2001950756,1971520079,2150817213,2041935934,2139041257,2224543835,2084168443,2055341266,2147728988,2262623624,2173851813,2244896560,2199736714,2420442633,1842168788,1893856915,1811738912,1884664265,2082943544,2156194286,2183228913,2178385622,2078762828,2081471673,1988349782,1998675292,2124607003,2152828348,2035106837,2042691923,1902240174,1752756586,1826890961,1901990097,2074401147,2141075477,2111105724,2141234375,2057528095,2092721469,2051096839,1966340433,2149858779,2194711819,2044097786,2143650869,2161131642,2101862980,2120530475,2113499665,2174999099,2190323542,2146802364,2086280450,2024161571,2067984401
"hippuric acid-d5",4155279397,4238215810,4197553754,4322171919,4297449325,4133553061,4304297025,4218338618,4070261463,4060488433,4108738493,4305115597,4346077436,4447742779,4476905530,4552824370,3671069802,3756346206,3593325945,3746111250,4195701178,4153796637,4250154523,4252193025,3934507826,4082315883,3941702779,3919033388,4065824570,3952243755,3871206199,3845317876,3881996401,3738886429,3824437487,3953468786,4090957682,4144138465,4236139582,4233142018,4142698167,4100434684,4110265974,4019711105,4153760105,4186740578,3965474699,4215954129,4208941536,4138984979,4195240969,4127098083,4206535202,4221855657,4189238006,4034999511,4075332714,4088291481
"2/3-phosphoglycerate",39391513.51,42341709.54,44519478.21,38994961.49,41381177.02,40029553.14,40752910.89,38536275.18,57699757.18,53647757.6,56764759.59,35288364.5,43285048.8,43393895.63,40878052.14,42660552.7,35884785.92,38575088.09,39728846.18,37052895.39,28185898.33,29170438.9,29745372.69,27245124.15,41665597.16,46230235.19,50290035.44,38699643.54,35758048.95,41349239.17,46266714.81,46607277.15,32805902.48,36119416.22,34337067.26,31699585.3,28776277.52,30635651.13,30849709.37,28020889.33,44380864.7,47233631.77,47970996.03,38074043.1,43955430.73,44755040.56,43986986.58,37835584.94,38692575.72,39973762.54,39953456.75,39508486.02,40635697.56,41424493.54,41538742.9,41804546.39,41534809.9,42492091.1
"2-aminoadipic acid",7563613.419,8391179.076,7975796.776,7080625.032,10095447.47,9717156.257,10103515.58,9111413.992,6584533.555,6871869.05,6770914.96,6659558.652,5945970.219,5711228.997,5528598.985,5626827.178,8041505.752,8726678.74,8365942.977,8887173.302,7736072.273,8575269.047,9125329.214,8716295.614,7056967.582,7196522.846,7286958.814,6973604.472,5396711.911,5993163.26,6204275.078,6697390.686,8509441.354,8072073.801,8031521.314,8132565.1,8813193.256,9212885.154,9500924.641,8909064.434,6845616.793,6695890.834,7129403.734,7484336.712,6360748.556,6226584.366,6364348.689,6383363.523,7628241.73,8351548.966,7800402.226,8090158.009,7938960.837,7904529.477,7402942.07,7205544.798,6947301.888,7693170.159
"2-hydroxyglutarate",256386450.6,260728656.1,244825485,243783560.2,427947868.9,430078116.4,417598954.6,420598847.9,379969875.3,391144455.8,365531268.2,381773560.2,408634135.2,421637026,386400910.9,413385334.5,257117772.3,274585000.7,256141121.7,275057759.7,410063051,443090836.3,440390675.2,444867376.1,399994139.5,396378457.5,389847639,396984980.8,398390086.3,443394669.8,429628671.9,438307863.3,278841765.4,294569697.7,286722748.5,288087198.6,406981395.8,422599555.5,398003093.2,419548523,406041096.3,404281590.5,408699053.7,403055301.4,464754998.3,474380772.2,444869756.1,453765129.9,399957572.5,390881317.9,388821503.6,383046682.5,391957308.5,389064988.9,390521303.7,382754802.2,387248706.4,382471532.9
"2-ketoglutarate",452398212.5,473936345.7,401258944.2,414912266.4,990539187,991968009.1,937224506.2,942893263,871081736.2,916332810.5,811006415.4,834154236.2,789540080.1,818607385,735447741.9,796192388.1,426401534.1,433438730.7,392588588.1,450433949.6,888537645.5,1020265264,1049964326,1014550059,917659434.9,937621233.3,862075662.1,864353959.1,794734944.2,935381086.3,841713728,910432184.9,531572001.5,524187107.8,534310426.8,514668098.5,988334415.1,1044465500,999913214.1,1055251145,982432203.8,965828205.4,956585583,995236813.5,911560727.8,935089788.9,838301009.5,828314872.1,812651905.8,808813694.7,821058349.3,798596920.3,831842785,832779990.3,820241917.7,790370995.9,810163490.7,788757150.4
"4-guanidinobutanoate",6122609.454,6486314.808,6504572.174,4566681.46,2489395.209,2818476.826,2969750.928,2122889.343,1689107.736,1564697.879,2063255.138,1543653.376,3984032.975,3120233.782,1246803.788,1442587.803,5175714.43,4702639.568,4313395.837,4984771.861,2212060.749,2152784.159,1909003.005,2437911.405,1672466.463,2139112.753,1809754.943,1276693.683,14539035.99,1589984.716,2938158.189,1484240.386,4479058.205,3899073.418,8126482.746,3702513.501,1826080.08,1535845.829,1820062.408,1660872.502,1513080.344,1649327.692,3020195.436,1562447.336,1986476.233,1750448.081,1171109.556,982776.7356,5637135.42,4918734.543,4530331.304,4302026.395,4257564.147,3861932.23,3922539.52,4043056.545,3747425.659,4194457.581
"4-hydroxyphenyllactate",5392820.484,5273809.572,5523053.452,4976851.463,2211754.734,2273228.762,2032924.841,2182170.328,2103444.18,2070776.634,1839862.204,1862363.29,2190401.016,2233799.358,1947964.497,2008582.327,4404685.731,4758487.265,4502115.29,4787141.202,1794755.411,2047727.283,1995694.296,2099221.815,2025083.947,1828355.199,1931688.785,1672031.614,2589552.814,2639484.177,2134817.436,2309113.281,4864401.371,4649504.347,5030424.695,4808920.534,2137172.983,2076219.87,2357972.004,2284788.139,2236884.263,2026536.277,2084356.579,2229951.761,2313364.158,2318886.883,2079955.6,2126008.53,3142936.718,3059756.721,3204270.449,3010797.472,2978939.506,3145932.745,2995309.173,3038846.564,2932680.533,3014030.25
"5-aminolevulinic acid",5495373.769,5360167.357,5364035.367,5277368.432,3638570.133,3443467.268,3525253.337,3634942.527,3505625.136,3163945.099,3322545.734,3511950.876,3627977.777,3970773.861,3686042.879,3993787.038,4746866.247,5488268.972,4935065.683,5151841.375,2972814.6,3818751.211,3585386.937,3331322.269,3539939.422,3610305.798,3570577.856,3685656.656,3639407.355,4347032.193,4310169.337,3775806.602,5669738.141,6131959.997,6008917.178,5931121.685,4489549.094,4179174.753,4111704.185,3853282.749,4128971.56,4318956.092,4169362.618,4097209.624,4881509.989,4647167.949,4404475.562,4979488.708,5107712.026,4341434.998,4430827.873,4283666.121,4234251.201,4293436.961,4650029.11,4422687.883,4065424.165,5066769.616
"5-aminovaleric acid*",56125219.38,55495426.22,51814297.16,49658025.37,84862683.55,81902269.26,79694746.3,80221584.25,65316827.39,62432170.05,59869099.09,60174512.98,60090737.52,61553005.52,58026385.45,59447493.09,49965402.55,47346844.71,51491689.51,52893189.34,65869022.38,70495293.95,73238484.72,70182661.26,63925113.84,61072050.33,58790265.59,61217711.04,52890580.17,65609130.44,61269092.09,65654979.39,48132238.49,44806663.49,47181848,46017090.78,62045906.42,61578841.71,59698676.06,62825353.34,54192579.92,53801387.02,52680452.03,55624607.05,52654722.79,54464605.14,50051137.69,53295017.28,60730947.34,61420798.3,61770751.06,61793059.14,62356269.2,61430784.1,60283617.34,62136683.26,61360992.47,60126385.01
