"Feature","HMDB","KEGG.ID","KEGGCompound","Pathway"
"valine-d8",NA,NA,NA,NA
"hippuric acid-d5",NA,NA,NA,NA
"2/3-phosphoglycerate","HMDB0060180","C00197","3-Phospho-D-glycerate","Glycolysis / Gluconeogenesis"
"2-aminoadipic acid","HMDB0302754",NA,NA,"Not assigned"
"2-hydroxyglutarate","HMDB0059655","C02630","2-Hydroxyglutarate","Citrate cycle (TCA cycle)"
"2-ketoglutarate","HMDB0000208","C00026","2-Oxoglutarate","Citrate cycle (TCA cycle)"
"4-guanidinobutanoate","HMDB0003464","C01035","4-Guanidinobutanoate","Arginine and proline metabolism"
"4-hydroxyphenyllactate","HMDB0000755","C03672","3-(4-Hydroxyphenyl)lactate","Not assigned"
"5-aminolevulinic acid","HMDB0001149","C00430","5-Aminolevulinate","Not assigned"
"5-aminovaleric acid*",NA,NA,NA,"Not assigned"
"5-methylthioadenosine (MTA)","HMDB0001173","C00170","5'-Methylthioadenosine","Cysteine and methionine metabolism"
"6-phosphogluconate","HMDB0001316","C00345","6-Phospho-D-gluconate","Pentose phosphate pathway"
"acetylcarnitine","HMDB0000201","C02571","O-Acetylcarnitine","Fatty acyl carnitines"
"acetylcholine","HMDB0000895","C01996","Acetylcholine","Glycerophospholipid metabolism"
"acetyl-CoA","HMDB0001206","C00024","Acetyl-CoA","Citrate cycle (TCA cycle)"
"adenosine","HMDB0000050","C00212","Adenosine","Purine metabolism"
"ADP","HMDB0001341","C00008","ADP","Purine metabolism"
"ADP-ribose","HMDB0001178","C00301","ADP-ribose","Purine metabolism"
"AICAR","HMDB0001517","C04677","1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide","Purine metabolism"
"alanine","HMDB0000161","C00041","L-Alanine","Amino acid metabolism"
"AMP","HMDB0000045","C00020","AMP","Purine metabolism"
"arginine","HMDB0000517","C00062","L-Arginine","Amino acid metabolism"
"argininosuccinate","HMDB0000052","C03406","N-(L-Arginino)succinate","Alanine, aspartate and glutamate metabolism"
"asparagine","HMDB0000168","C00152","L-Asparagine","Amino acid metabolism"
"aspartate","HMDB0000191","C00049","L-Aspartate","Amino acid metabolism"
"ATP","HMDB0000538","C00002","ATP","Purine metabolism"
"beta-alanine","HMDB0000056","C00099","beta-Alanine","Pyrimidine metabolism"
"beta-citrylglutamic acid","HMDB0013220",NA,NA,"Not assigned"
"betaine","HMDB0000043","C00719","Betaine","Not assigned"
"butyrylcarnitine C4","HMDB0002013","C02862",NA,"Fatty acyl carnitines"
"cAMP","HMDB0000058","C00575","Cyclic AMP","Purine metabolism"
"carnitinamide",NA,"C02290","L-Carnitinamide","Not assigned"
"carnitine",NA,"C00487","Carnitine","Fatty acyl carnitines"
"carnosine","HMDB0000033","C00386","Carnosine","Not assigned"
"CDP","HMDB0001546","C00112","CDP","Pyrimidine metabolism"
"CDP-ethanolamine","HMDB0001564","C00570","CDP-ethanolamine","Glycerophospholipid metabolism"
"choline","HMDB0000097","C00114","Choline","Glycerophospholipid metabolism"
"aconitate","HMDB0000072","C00417","cis-Aconitate","Citrate cycle (TCA cycle)"
"citicoline","HMDB0001413","C00307","CDP-choline","Glycerophospholipid metabolism"
"citrate","HMDB0000094","C00158","Citrate","Citrate cycle (TCA cycle)"
"citrulline","HMDB0000904","C00327","L-Citrulline","Arginine and proline metabolism"
"CMP","HMDB0000095","C00055","CMP","Pyrimidine metabolism"
"CMP-2-aminoethylphosphonate","HMDB0060067","C05673","CMP-2-aminoethylphosphonate","Not assigned"
"CMP-acetylneuraminic acid","HMDB0001176","C00128","CMP-N-acetylneuraminate","Not assigned"
"creatine","HMDB0000064","C00300","Creatine","Arginine and proline metabolism"
"creatinine","HMDB0000562","C00791","Creatinine","Arginine and proline metabolism"
"CTP","HMDB0000082","C00063","CTP","Pyrimidine metabolism"
"cyclic ADP-ribose","HMDB0249529","C13050","Cyclic ADP-ribose","Purine metabolism"
"cystathionine","HMDB0000099","C02291","L-Cystathionine","Cysteine and methionine metabolism"
"cysteic acid","HMDB0002757","C00506","L-Cysteate","Cysteine and methionine metabolism"
"cysteinylglycine","HMDB0000078","C01419","Cys-Gly","Glutathione metabolism"
"cytidine","HMDB0000089","C00475","Cytidine","Pyrimidine metabolism"
"cytosine","HMDB0000630","C00380","Cytosine","Pyrimidine metabolism"
"dATP","HMDB0001532","C00131","dATP","Purine metabolism"
"dCTP","HMDB0000998","C00458","dCTP","Pyrimidine metabolism"
"deoxyadenosine","HMDB0000101","C00559","Deoxyadenosine","Purine metabolism"
"deoxycytidine","HMDB0000014","C00881","Deoxycytidine","Pyrimidine metabolism"
"deoxyribose 5-phosphate","HMDB0001031","C00673","2-Deoxy-D-ribose 5-phosphate","Pentose phosphate pathway"
"dihydroorotate","HMDB0003349","C00337","(S)-Dihydroorotate","Pyrimidine metabolism"
