"Sample","Conditions","Analytical_Replicates","Biological_Replicates"
"MS55_01","HK2",1,1
"MS55_02","HK2",2,1
"MS55_03","HK2",3,1
"MS55_04","HK2",4,1
"MS55_05","786-O",1,1
"MS55_06","786-O",2,1
"MS55_07","786-O",3,1
"MS55_08","786-O",4,1
"MS55_09","786-M1A",1,1
"MS55_10","786-M1A",2,1
"MS55_11","786-M1A",3,1
"MS55_12","786-M1A",4,1
"MS55_13","786-M2A",1,1
"MS55_14","786-M2A",2,1
"MS55_15","786-M2A",3,1
"MS55_16","786-M2A",4,1
"MS55_17","HK2",1,2
"MS55_18","HK2",2,2
"MS55_19","HK2",3,2
"MS55_20","HK2",4,2
"MS55_21","786-O",1,2
"MS55_22","786-O",2,2
"MS55_23","786-O",3,2
"MS55_24","786-O",4,2
"MS55_25","786-M1A",1,2
"MS55_26","786-M1A",2,2
"MS55_27","786-M1A",3,2
"MS55_28","786-M1A",4,2
"MS55_29","786-M2A",1,2
"MS55_30","786-M2A",2,2
"MS55_31","786-M2A",3,2
"MS55_32","786-M2A",4,2
"MS55_33","HK2",1,3
"MS55_34","HK2",2,3
"MS55_35","HK2",3,3
"MS55_36","HK2",4,3
"MS55_37","786-O",1,3
"MS55_38","786-O",2,3
"MS55_39","786-O",3,3
"MS55_40","786-O",4,3
"MS55_41","786-M1A",1,3
"MS55_42","786-M1A",2,3
"MS55_43","786-M1A",3,3
"MS55_44","786-M1A",4,3
"MS55_45","786-M2A",1,3
"MS55_46","786-M2A",2,3
"MS55_47","786-M2A",3,3
"MS55_48","786-M2A",4,3
"POOL0","Pool",NA,1
"POOL1","Pool",NA,2
"POOL2","Pool",NA,3
"POOL3","Pool",NA,4
"POOL4","Pool",NA,5
"POOL5","Pool",NA,6
"POOL6","Pool",NA,7
"POOL7","Pool",NA,8
"POOL8","Pool",NA,9
"POOL9","Pool",NA,10
