"Feature","MS51-01","MS51-02","MS51-03","MS51-04","MS51-05","MS51-06","MS51-07","MS51-08","MS51-09","MS51-10","MS51-11","MS51-12","MS51-13","MS51-14","MS51-15","MS51-16","MS51-17","MS51-18","MS51-19","MS51-20","MS51-21","MS51-23","MS51-24","MS51-25","MS51-26","MS51-27","MS51-28","MS51-29","MS51-30","MS51-31","MS51-32","MS51-33","MS51-34","MS51-35","MS51-36","MS51-37","MS51-38","MS51-39","MS51-40","POOL2","POOL3","POOL4","POOL5","POOL6"
"valine-d8",805641492.1,774207448.6,806230116.4,799304083.9,765139228.3,780552870.8,802602347.9,831984796.3,822744518.1,805565866.8,841873509.1,825462964.5,805520323.8,786089937.4,755901042,756953269.6,856428143.7,796271826,782205039.8,802849590.5,816938427.6,885805000.7,811768249.8,759402911.5,758124731.9,788169982.6,799185819.6,820554772.1,807779396.5,790870942.7,832526017.9,826027977.6,799920789.8,778603996.2,775306804,848533964.4,803005108.4,780697869,892817858.2,779823686.2,807711721.6,778462015.3,780803463,772719165.8
"hipppuric acid-d5",3321879084,3156839072,3146255406,3251539624,3267418930,3127630257,3256031922,3308009345,3209731571,3297793480,3418515398,3218049751,3211192587,3161475388,3126242318,3072198214,3367225503,3215063853,3102504573,3172290033,3067962686,3477824009,3263829329,3116430899,3165068173,3096800265,3274297683,3250643290,3227322171,3089557414,3200593451,3197496501,3044023466,2988505785,3130454176,3483591395,3109702081,3099364502,3492780104,3124510042,3165200560,3182649291,3081192435,3147060332
"2-hydroxyglutarate",59258034.5,59888512.4,62571770,84786601.4,61308116.3,84950547,60753858.7,73718362.9,65933166.4,68183575.5,75941661.1,62100209.8,58682639.7,61019604.4,52571770.9,76125404.7,71136029.7,64936763.5,59686699.6,74752976.5,68238448.8,80382843.7,81046932.5,72724772.8,66494663.2,79382747,99831774.7,83021563.5,59927205.1,52213567,73271050,64991162.6,70419569.6,72721853.9,79213649.7,63960830,54479974.7,67156630.5,83122786.3,75894249.94,74234217.98,74752101.62,64717989.79,66786852.4
"2-ketoglutarate",48968066.1,46817213.1,50198996,55225678.6,53312264.6,169244158.5,151064766.8,171281531.4,112033043,170902743.7,215553005.2,195308040.4,195377536.9,182007804.3,179344618.6,219978652.4,209473799.4,189803753.4,197240316.9,205308841.9,222159728.9,243505704.4,254731697.4,242486561.2,127707338.6,135880374.9,140199832.6,126994354.3,125080684.4,105135958,113941684.6,121799603.2,112731646,126428499.5,157539644.8,137072106.9,126161593.3,134076543.2,137435583.9,146252919.9,154627525.3,152278248.5,154060566.8,157674891.8
"3-Dehydro-L-threonate",227832598.3,280825089.5,306775319.6,594910687,483838239.9,1807489245,695228423.7,791442406.7,315209588.7,615035216.5,501977089.1,484681098.8,446571332,438547322.2,385108767.5,565406728.2,547648446.5,484902071.1,473463357.7,601491116.1,415993490.6,544262967.5,554260354.7,500416354,298880607.8,350603467.6,463696962.4,407958465.6,313389407.3,251514868.7,347521655.3,374102936.1,376764019.8,356923471.3,457103931.9,377207339.7,306029267.8,355840497.2,408998389.8,526250065.5,476633982.1,503495291.9,412505640.2,456727029.7
"acetylcarnitine",55248207045,52738878296,55658379039,58868820184,55178166414,54032080308,56032173644,59327970232,59375351252,60276777690,52732836151,50323549596,50020458838,49629598692,48163345184,50950619956,52646176375,49801241726,49737954199,52849430291,49299016751,52959717010,55883003442,52586688505,53238790307,55434484390,57153182981,57264571365,55595142210,53396424709,53016467850,55610604726,53200322302,56137297532,52885164548,56788757494,56539677399,55327590211,61480066768,54188271620,53995739777,53017481890,53129593152,52531786925
"acetylcholine",45978493.6,43464861.8,48616509.9,49245040.3,48860981.6,45808205.7,48594963.5,53703951,54759909.6,54263289,48079313.9,43739146.8,44197934.8,41482401.2,40235584.7,43929606.6,44538175.8,42850017.1,41944973.5,44187686.9,42306083.8,47443979.9,47724857.2,44514871.8,45037734.2,49041642.1,50247072.1,48466905.1,49307216.4,45283599,49739067.1,52256776.2,48316480.4,51523354.7,43587166.8,48418988.4,48409831.7,49768832.6,53331567.6,44813939.11,47575109.8,46953233.81,45738496.93,45304736.39
"acetylornithine",214811100.5,225884478,228320055.6,229388105.1,224414510.2,212897802.4,207362283,208405496.3,202593557.7,203298897.2,212461726.6,207202272.3,206714796.5,204424088.9,199673443.2,204856661,203404080.5,195827029.6,205829945.8,208809253.7,199137822.8,202295858.8,209497829.2,205995450.3,203141933.2,212300566.4,223998951.5,218441972,214936346.8,210335765.4,218451385.9,219388424.3,220851727.1,213047613.2,216097127.2,207402760.5,203389532.6,211033628.9,206457993.2,215432614.1,212062862.6,212583325.5,208431463.7,212595569.8
"aconitate",12364498.4,14633131.7,13984217.2,29211848.6,34350199,183079315.7,51139344.2,46993297.8,46378883,48560946.5,32451144.9,25395391.3,25370518.6,27874978,23660147.4,24820868.5,23883934.9,22267994,21245156.1,23887148.2,30436801.2,34661900,35498271.5,27634463.2,22518276.2,20603008.2,26011877.5,22690518.2,21192234.1,27020186.1,26430369.9,29289090.8,25452936.3,25830061.6,28306172.8,24796689.1,22506241.3,23044907,27093228.8,44001025.74,33672327.67,29073405.64,27521324.44,25976553.98
"alanine",1136530033,1088917154,1184931394,1242663803,1130883173,1521980587,1601276191,1750535648,1667580217,1776040614,1330288479,1308122445,1298175649,1238057549,1180842249,1237619049,1324957049,1268467436,1257531834,1358540319,1302803176,1368433744,1406912192,1317015602,1160476542,1204630540,1286681910,1244424788,1230853787,1136562889,1217521231,1259549622,1195297089,1283063004,1192687194,1257280202,1257814744,1318920507,1371024864,1294595469,1309568508,1266307997,1276642985,1275572655
