"Feature","HMDB","KEGG.ID","KEGGCompound","Pathway"
"valine-d8",NA,NA,NA,NA
"hipppuric acid-d5",NA,NA,NA,NA
"2-hydroxyglutarate","HMDB0059655","C02630","2-Hydroxyglutarate","Citrate cycle (TCA cycle)"
"2-ketoglutarate","HMDB0000208","C00026","2-Oxoglutarate","Citrate cycle (TCA cycle)"
"3-Dehydro-L-threonate",NA,NA,NA,"Amino acid metabolism"
"acetylcarnitine","HMDB0000201","C02571","O-Acetylcarnitine","Fatty acyl carnitines"
"acetylcholine","HMDB0000895","C01996","Acetylcholine","Glycerophospholipid metabolism"
"acetylornithine","HMDB0003357","C00437","N-Acetylornithine","Arginine and proline metabolism"
"aconitate","HMDB0000072","C00417","cis-Aconitate","Citrate cycle (TCA cycle)"
"alanine","HMDB0000161","C00041","L-Alanine","Amino acid metabolism"
"arginine","HMDB0000517","C00062","L-Arginine","Amino acid metabolism"
"asparagine","HMDB0000168","C00152","L-Asparagine","Amino acid metabolism"
"aspartate","HMDB0000191","C00049","L-Aspartate","Amino acid metabolism"
"betaine","HMDB0000043","C00719","Betaine","Not assigned"
"butyryl-carnitine","HMDB0002013","C02862","O-Butanoylcarnitine","Fatty acyl carnitines"
"carbamoyl phosphate","HMDB0001096","C00169","Carbamoyl phosphate","Purine metabolism"
"carnitine",NA,"C00487","Carnitine","Fatty acyl carnitines"
"citrulline","HMDB0000904","C00327","L-Citrulline","Arginine and proline metabolism"
"creatine","HMDB0000064","C00300","Creatine","Arginine and proline metabolism"
"creatinine","HMDB0000562","C00791","Creatinine","Arginine and proline metabolism"
"cystine","HMDB0000192","C00491","L-Cystine","Cysteine and methionine metabolism"
"dihydroorotate","HMDB0003349","C00337","(S)-Dihydroorotate","Pyrimidine metabolism"
"fumarate","HMDB0000134","C00122","Fumarate","Citrate cycle (TCA cycle)"
"gluconate","HMDB0000625","C00257","D-Gluconic acid","Pentose phosphate pathway"
"glucose","HMDB0003345","C00267","alpha-D-Glucose","Glycolysis / Gluconeogenesis"
"glutamate","HMDB0000148","C00025","L-Glutamate","Amino acid metabolism"
"glutamine","HMDB0000641","C00064","L-Glutamine","Amino acid metabolism"
"glycerylphosphorylcholine","HMDB0252858",NA,NA,"Not assigned"
"glycine","HMDB0000123","C00037","Glycine","Amino acid metabolism"
"histidine","HMDB0000177","C00135","L-Histidine","Amino acid metabolism"
"hydroxyphenyllactic acid","HMDB0000755","C03672","3-(4-Hydroxyphenyl)lactate","Not assigned"
"hydroxyphenylpyruvate",NA,NA,NA,"Not assigned"
"hydroxyproline","HMDB0000725","C01157","L-Hydroxyproline","Amino acid metabolism"
"hypotaurine","HMDB0000965","C00519","Hypotaurine","Not assigned"
"hypoxanthine","HMDB0000157","C00262","Hypoxanthine","Purine metabolism"
"isovalerylcarnitine","HMDB0000688","C20826","Isovalerylcarnitine","Fatty acyl carnitines"
"KMV+KIC",NA,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"lactate","HMDB0000190","C00186","(S)-Lactate","Glycolysis / Gluconeogenesis"
"leucine+isoleucine",NA,NA,NA,"Valine, leucine and isoleucine biosynthesis"
"linoleic acid","HMDB0000673","C01595","Linoleate","Fatty acid biosynthesis"
"lysine","HMDB0000182","C00047","L-Lysine","Amino acid metabolism"
"malate","HMDB0000156","C00149","(S)-Malate","Citrate cycle (TCA cycle)"
"methionine","HMDB0000696","C00073","L-Methionine","Amino acid metabolism"
"methylarginine","HMDB0250980",NA,NA,"Amino acid metabolism"
"methylaspartate","HMDB0002393","C12269","N-Methyl-D-aspartic acid","Not assigned"
"myo-inositol","HMDB0000211","C00137","myo-Inositol","Not assigned"
"N-acetylaspartate","HMDB0000812","C01042","N-Acetyl-L-aspartate","Alanine, aspartate and glutamate metabolism"
"N-acetylaspartylglutamate","HMDB0001067","C12270","N-Acetylaspartylglutamate","Alanine, aspartate and glutamate metabolism"
"N-acetylglutamate","HMDB0001138","C00624","N-Acetyl-L-glutamate","Amino acid metabolism"
"N-acetylneuramic acid","HMDB0000230","C19910","N-Acetyl-beta-neuraminate","Not assigned"
"oleic acid","HMDB0000207","C00712","(9Z)-Octadecenoic acid","Not assigned"
"ornithine","HMDB0000214","C00077","L-Ornithine","Amino acid metabolism"
"orotate","HMDB0000226","C00295","Orotate","Pyrimidine metabolism"
"palmitate","HMDB0000220","C00249","Hexadecanoic acid","Fatty acid biosynthesis"
"pantothenate","HMDB0000210","C00864","Pantothenate","Vitamin digestion and absorption"
"phenylalanine","HMDB0000159","C00079","L-Phenylalanine","Amino acid metabolism"
"phosphocholine",NA,NA,NA,"Not assigned"
"proline","HMDB0000162","C00148","L-Proline","Amino acid metabolism"
"propionylcarnitine","HMDB0000824","C03017","O-Propanoylcarnitine","Fatty acyl carnitines"
"pyroglutamic-acid","HMDB0000267","C01879","5-Oxoproline","Glutathione metabolism"
"pyruvate","HMDB0000243","C00022","Pyruvate","Glycolysis / Gluconeogenesis"
"S-(2-succinyl)cysteine",NA,NA,NA,"Not assigned"
"serine","HMDB0000187","C00065","L-Serine","Amino acid metabolism"
"stearic acid","HMDB0000827","C01530","Octadecanoic acid","Fatty acid biosynthesis"
"succinate","HMDB0000254","C00042","Succinate","Citrate cycle (TCA cycle)"
"succinyladenosine","HMDB0000912",NA,NA,"Not assigned"
"taurine","HMDB0000251","C00245","Taurine","Not assigned"
"threonine","HMDB0000167","C00188","L-Threonine","Amino acid metabolism"
"tryptophan","HMDB0000929","C00078","L-Tryptophan","Amino acid metabolism"
"tyrosine","HMDB0000158","C00082","L-Tyrosine","Amino acid metabolism"
"uric acid","HMDB0000289","C00366","Urate","Purine metabolism"
"valine","HMDB0000883","C00183","L-Valine","Valine, leucine and isoleucine biosynthesis"
"xanthine","HMDB0000292","C00385","Xanthine","Purine metabolism"
