"Feature","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM","KEGG","HMDB"
"1,2-propanediol","57-55-6;","Lipid","Ketone bodies",38002,"GC/MS",1041,117,NA,"C00583","HMDB01881"
"1,3-dihydroxyacetone","62147-49-3;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",35963,"GC/MS",1263,103,"670","C00184","HMDB01882"
"1,5-anhydroglucitol (1,5-AG)","154-58-5;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",20675,"GC/MS",1788.7,217,NA,"C07326","HMDB02712"
"10-heptadecenoate (17:1n7)","29743-97-3;","Lipid","Long chain fatty acid",33971,"LC/MS Neg",5558,267.3,"5312435",NA,NA
"10-nonadecenoate (19:1n9)","73033-09-7;","Lipid","Long chain fatty acid",33972,"LC/MS Neg",5775,295.4,"5312513",NA,NA
"13-HODE + 9-HODE",NA,"Lipid","Fatty acid, monohydroxy",37752,"LC/MS Neg",5247,295.2,NA,NA,NA
"15-methylpalmitate (isobar with 2-methylpalmitate)",NA,"Lipid","Fatty acid, branched",38768,"LC/MS Neg",5698,269.4,NA,NA,NA
"16-hydroxypalmitate","506-13-8;","Lipid","Fatty acid, monohydroxy",39609,"LC/MS Neg",5232,271.3,"10466","C18218",NA
"1-arachidonoylglycerophosphocholine*",NA,"Lipid","Lysolipid",33228,"LC/MS Pos",5554,544.3,NA,"C05208",NA
"1-arachidonoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",35186,"LC/MS Neg",5731,500.3,NA,NA,"HMDB11517"
"1-arachidonoylglycerophosphoinositol*",NA,"Lipid","Lysolipid",34214,"LC/MS Neg",5479,619.4,NA,NA,NA
"1-arachidonylglycerol",NA,"Lipid","Monoacylglycerol",34397,"GC/MS",2226,203.1,"53480981","C13857","HMDB11572"
"1-docosahexaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid",33822,"LC/MS Pos",5518,568.4,NA,NA,NA
"1-heptadecanoylglycerophosphocholine","50930-23-9;","Lipid","Lysolipid",33957,"LC/MS Pos",5750,510.4,NA,NA,"HMDB12108"
"1-heptadecanoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",37419,"LC/MS Neg",6029,466.3,NA,NA,NA
"1-linoleoylglycerol (1-monolinolein)","2277-28-3;","Lipid","Monoacylglycerol",27447,"GC/MS",2181,395.3,"5283469",NA,NA
"1-linoleoylglycerophosphocholine",NA,"Lipid","Lysolipid",34419,"LC/MS Pos",5574,520.4,"5280646","C04100",NA
"1-linoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",32635,"LC/MS Neg",5725,476.3,NA,NA,"HMDB11507"
"1-methylimidazoleacetate","2625-49-2 ;","Amino acid","Histidine metabolism",32350,"LC/MS Pos",845,141.1,"75810","C05828","HMDB02820"
"1-myristoylglycerophosphocholine","20559-16-4;","Lipid","Lysolipid",35626,"LC/MS Pos",5481,468.3,"460604",NA,"HMDB10379"
"1-myristoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid",35627,"LC/MS Pos",5481,426.1,"9547070",NA,"HMDB11500"
"1-oleoylglycerol (1-monoolein)","111-03-5;","Lipid","Monoacylglycerol",21184,"GC/MS",2181.2,397.4,"5283468",NA,"HMDB11567"
"1-oleoylglycerophosphocholine","19420-56-5;","Lipid","Lysolipid",33960,"LC/MS Pos",5700,522.4,"16081932",NA,NA
"1-oleoylglycerophosphoethanolamine","89576-29-4;","Lipid","Lysolipid",35628,"LC/MS Neg",5928,478.3,"9547071",NA,"HMDB11506"
"1-oleoylglycerophosphoinositol*",NA,"Lipid","Lysolipid",36602,"LC/MS Neg",5577,597.4,NA,NA,NA
"1-oleoylglycerophosphoserine",NA,"Lipid","Lysolipid",19260,"LC/MS Neg",5690,522.3,"9547099",NA,NA
