barcode,x,y
embryo1_Pos1_cell327_z2,1616.42657063802,1350.01594645182
embryo1_Pos11_cell285_z2,1547.98927408854,1417.53416341146
embryo1_Pos19_cell20_z2,1579.79361213235,1476.82938017004
embryo1_Pos12_cell170_z2,1542.02676589934,1448.830151316
embryo1_Pos27_cell112_z2,1575.41069979825,1540.16200045072
embryo1_Pos8_cell119_z2,1622.41456636469,1395.16430456283
embryo1_Pos25_cell393_z2,1641.52338247148,1495.92492327009
embryo1_Pos16_cell148_z2,1653.23721865699,1437.12093331473
embryo1_Pos22_cell216_z2,1539.12618754421,1492.40596814924
embryo1_Pos18_cell185_z2,1631.0179938239,1470.07796883798
embryo1_Pos2_cell116_z2,1571.09160351562,1354.62725195313
embryo1_Pos21_cell7_z2,1516.65089371713,1463.3073501139
embryo1_Pos0_cell198_z2,1631.090092454,1358.85972409828
embryo1_Pos8_cell106_z2,1621.62090315458,1416.48175702207
embryo1_Pos6_cell196_z2,1632.01408453747,1378.93730771225
embryo1_Pos13_cell161_z2,1563.58064381669,1428.86474807863
embryo1_Pos7_cell322_z2,1667.40604166989,1415.26895320049
embryo1_Pos9_cell197_z2,1595.96686496864,1421.71121817868
embryo1_Pos10_cell296_z2,1575.81589853887,1421.46683657953
embryo1_Pos1_cell215_z2,1602.75180664063,1344.84330078125
embryo1_Pos0_cell409_z2,1644.23856450359,1341.1059135023
embryo1_Pos16_cell314_z2,1663.51476677641,1449.81438169521
embryo1_Pos0_cell132_z2,1628.28372585142,1355.68209210873
embryo1_Pos25_cell245_z2,1633.01020749935,1508.94562524212
embryo1_Pos28_cell230_z2,1556.52127857517,1525.77840996229
embryo1_Pos12_cell275_z2,1549.6191144418,1425.15275914289
embryo1_Pos6_cell66_z2,1622.05443560008,1386.770146174
embryo1_Pos13_cell240_z2,1569.01757932766,1430.30711327163
embryo1_Pos27_cell126_z2,1576.14014956826,1532.66478978207
embryo1_Pos26_cell458_z2,1630.58919113032,1520.88472437132
embryo1_Pos0_cell42_z2,1620.0751939784,1357.25384354722
embryo1_Pos11_cell106_z2,1527.49592596611,1412.06612861958
embryo1_Pos26_cell411_z2,1626.61280152626,1526.0418930211
embryo1_Pos13_cell191_z2,1564.89540121589,1432.90131560849
embryo1_Pos19_cell192_z2,1594.7489239728,1464.98474573206
embryo1_Pos7_cell99_z2,1651.49228976925,1408.88200957762
embryo1_Pos1_cell133_z2,1594.79340226595,1343.33432985702
embryo1_Pos6_cell277_z2,1637.37482770457,1390.61533349476
embryo1_Pos17_cell162_z2,1648.72199358259,1463.59674500304
embryo1_Pos26_cell403_z2,1626.44557220567,1531.32873981931
embryo1_Pos22_cell20_z2,1525.36704228389,1503.54997653713
embryo1_Pos4_cell214_z2,1573.04678564594,1376.66694504796
embryo1_Pos7_cell106_z2,1651.73781220407,1418.65767489347
embryo1_Pos0_cell278_z2,1636.92072583992,1334.86065472613
embryo1_Pos27_cell131_z2,1576.60768881008,1524.32427453643
embryo1_Pos1_cell195_z2,1601.40065801711,1345.3338797433
