Accession,BioSample,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PZ777275,SAMN61889494,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PY.1.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24823,,29700,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2026-03-26,2026-07-31,ssRNA(+)
PZ621081,SAMN61182721,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PQ.2.1.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24796,,29694,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2026-03-04,2026-07-02,ssRNA(+)
PZ621082,SAMN61182722,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PQ.2.1.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24797,,29694,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2026-03-04,2026-07-02,ssRNA(+)
PZ443567,SAMN60366471,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.14.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24754,,29685,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2026-01-05,2026-05-22,ssRNA(+)
PZ036419,SAMN55906618,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24420,,29686,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-10-08,2026-02-23,ssRNA(+)
PZ036421,SAMN55906621,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3.10,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24423,,29687,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-10-03,2026-02-23,ssRNA(+)
PZ036422,SAMN55906622,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.21,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24424,,29688,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-09-25,2026-02-23,ssRNA(+)
PZ036423,SAMN55906623,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24425,,29694,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-09-23,2026-02-23,ssRNA(+)
PZ036424,SAMN55906624,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PQ.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24426,,29694,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-10-03,2026-02-23,ssRNA(+)
PX703454,SAMN53911232,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,NY.15,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24094,,29691,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-12-08,2025-12-15,ssRNA(+)
PX703468,SAMN53911248,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3.6.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24111,,29694,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-07-01,2025-12-15,ssRNA(+)
PX703528,SAMN53911309,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3.1.5,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24173,,29688,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-07-31,2025-12-15,ssRNA(+)
PX703529,SAMN53911310,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3.10,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24174,,29694,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-08-04,2025-12-15,ssRNA(+)
PX463178,SAMN52834805,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.14.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24059,,29751,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-08-09,2025-10-17,ssRNA(+)
PX463179,SAMN52834806,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.6.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24060,,29751,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-08-09,2025-10-17,ssRNA(+)
PX463190,SAMN52834820,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3.4.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24074,,29751,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-07-09,2025-10-17,ssRNA(+)
PX463191,SAMN52834821,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,NY.13,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24075,,29746,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-07-09,2025-10-17,ssRNA(+)
PX463206,SAMN52834837,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PQ.12,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24091,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-07-16,2025-10-17,ssRNA(+)
