,PLATE,NROW,NCOL,PRIMARY_NAME,POS,NEG,SMILES,MOLECULAR_FORMULA,KEGG.ID,CAS,HMDB.YMDB.ID,NEUTRAL.MONOISOTOPIC.MOLECULAR.MASS,CHARGE,METLIN_ID,PC_CID,PC_SID,CHEBI,SIGMA.ALDRICH_CAT.NO,SIGMA.ALDRICH_NAME,SIGMA.ALDRICH_URL,rawFile,mz
1,1,A,1,BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE,NA,NA,NC(C1=C[N+]([C@@H]2O[C@@H]([C@H]([C@H]2O)O)COP([O-])(OP(O)(OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@@H]([C@@H]3O)O)=O)=O)=CC=C1)=O,C21H27N7O14P2,C00003,53-84-9,HMDB00902,663.10912,NA,101,5893,3305,15846,N1636,?-Nicotinamide adenine dinucleotide hydrate,http://www.sigmaaldrich.com/catalog/product/sial/N1636?lang=en&region=US,P1rA_NEG.mzML,662.10184
2,1,A,2,GLUTAMINE,x,x,N[C@@H](CCC(N)=O)C(O)=O,C5H10N2O3,C00064,56-85-9,HMDB00641,146.06914,NA,18,5961,3364,18050,G8540,L-Glutamine,http://www.sigmaaldrich.com/catalog/product/sigma/G8540?lang=en&region=US,P1rA_NEG.mzML,145.06186
3,1,A,3,HYPOTAURINE,x,NA,NCCS(O)=O,C2H7NO2S,C00519,300-84-5,HMDB00965,109.01975,NA,281,107812,3802,16668,H1384,Hypotaurine,http://www.sigmaaldrich.com/catalog/product/aldrich/H1384?lang=en&region=US,P1rA_NEG.mzML,108.01247
4,1,A,4,INOSINE MONOPHOSPHATE,x,x,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,C10H13N4O8P,C00130,131-99-7,HMDB00175,348.0471,NA,5196,8582,3430,17202,I2879,Inosine 5'-monophosphate from Saccharomyces cerevisiae,http://www.sigmaaldrich.com/catalog/product/sigma/I2879?lang=en&region=US,P1rA_NEG.mzML,347.03982
5,1,A,5,CITRATE,x,x,OC(=O)CC(O)(CC(O)=O)C(O)=O,C6H8O7,C00158,77-92-9,HMDB00094,192.027,NA,124,311,3458,30769,251275,Citric acid,http://www.sigmaaldrich.com/catalog/product/sial/251275?lang=en&region=US,P1rA_NEG.mzML,191.01972
6,1,A,6,THREONINE,x,NA,C[C@@H](O)[C@H](N)C(O)=O,C4H9NO3,C00188,72-19-5,HMDB00167,119.05824,NA,32,6288,3488,16857,89179,L-Threonine,http://www.sigmaaldrich.com/catalog/product/sigma/89179?lang=en&region=US,P1rA_NEG.mzML,118.05096
7,1,A,7,PURINE,x,NA,N1C=NC2=C1C=NC=N2,C5H4N4,C15587,120-73-0,HMDB01366,120.0436,NA,6193,1044,17396579,17258,P55805,Purine,http://www.sigmaaldrich.com/catalog/product/aldrich/P55805?lang=en&region=US,P1rA_NEG.mzML,119.03632
8,1,A,8,N-ACETYLNEURAMINATE,x,x,CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O,C11H19NO9,C00270,131-48-6,HMDB00230,309.10598,NA,3321,439197,3568,17012,A0812,N-Acetylneuraminic acid,http://www.sigmaaldrich.com/catalog/product/sigma/A0812?lang=en&region=US,P1rA_NEG.mzML,308.0987
9,1,A,9,KYNURENINE,x,x,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O,C10H12N2O3,C00328,343-65-7,HMDB00684,208.08479,NA,72,161166,3622,16946,61250,DL-Kynurenine,http://www.sigmaaldrich.com/catalog/product/aldrich/61250?lang=en&region=US,P1rA_NEG.mzML,207.07751
10,1,A,10,PYRIMIDINE,NA,NA,C1=CN=CN=C1,C4H4N2,C00396,289-95-2,HMDB03361,80.03745,NA,58148,9260,3686,16898,131695,Pyrimidine,http://www.sigmaaldrich.com/catalog/product/aldrich/131695?lang=en&region=US,P1rA_NEG.mzML,79.03017
11,1,A,11,ASPARTATE,x,NA,N[C@H](CC(O)=O)C(O)=O,C4H7NO4,C00402,1783-96-6,HMDB06483,133.03751,NA,15,83887,3692,17364,219096,D-Aspartic acid,http://www.sigmaaldrich.com/catalog/product/aldrich/219096?lang=en&region=US,P1rA_NEG.mzML,132.03023
12,1,A,12,URATE,x,x,O=C1NC2=C(N1)C(=O)NC(=O)N2,C5H4N4O3,C00366,69-93-2,HMDB00289,168.02834,NA,88,1175,3657,17775,U2625,Uric acid,http://www.sigmaaldrich.com/catalog/product/sigma/U2625?lang=en&region=US,P1rA_NEG.mzML,167.02106
13,1,B,1,CYTIDINE,x,x,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C9H13N3O5,C00475,65-46-3,HMDB00089,243.08552,NA,3376,6175,3758,17562,C122106,Cytidine,http://www.sigmaaldrich.com/catalog/product/aldrich/C122106?lang=en&region=US,P1rB_NEG.mzML,242.07824
14,1,B,2,SERINE,x,NA,N[C@@H](CO)C(O)=O,C3H7NO3,C00065,56-45-1,HMDB00187,105.04259,NA,5203,5951,3365,17115,84959,L-Serine,http://www.sigmaaldrich.com/catalog/product/sigma/84959?lang=en&region=US,P1rB_NEG.mzML,104.03531
15,1,B,3,CYSTEINE,x,NA,N[C@@H](CS)C(O)=O,C3H7NO2S,C00097,52-90-4,HMDB00574,121.01975,NA,5556,5862,3397,17561,30089,L-Cysteine,http://www.sigmaaldrich.com/catalog/product/sigma/30089?lang=en&region=US,P1rB_NEG.mzML,120.01247
16,1,B,4,CITRULLINE,x,x,N[C@@H](CCCNC(N)=O)C(O)=O,C6H13N3O3,C00327,372-75-8,HMDB00904,175.09569,NA,16,9750,3621,16349,C7629,L-Citrulline,http://www.sigmaaldrich.com/catalog/product/sigma/C7629?lang=en&region=US,P1rB_NEG.mzML,174.08841
17,1,B,5,TAURINE,x,NA,NCCS(O)(=O)=O,C2H7NO3S,C00245,107-35-7,HMDB00251,125.01466,NA,31,1123,3544,15891,86329,Taurine,http://www.sigmaaldrich.com/catalog/product/sigma/86329?lang=en&region=US,P1rB_NEG.mzML,124.00738
18,1,B,6,GLUCONOLACTONE,x,x,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,C6H10O6,C00198,90-80-2,HMDB00150,178.04774,NA,353,7027,3498,16217,G4750,D-(+)-Gluconic acid ?-lactone,http://www.sigmaaldrich.com/catalog/product/sigma/G4750?lang=en&region=US,P1rB_NEG.mzML,177.04046
19,1,B,7,NICOTINATE,x,NA,OC(=O)C1=CN=CC=C1,C6H5NO2,C00253,59-67-6,HMDB01488,123.03203,NA,6272,938,3552,15940,N4126,Nicotinic acid,http://www.sigmaaldrich.com/catalog/product/sial/N4126?lang=en&region=US,P1rB_NEG.mzML,122.02475
20,1,B,8,INOSINE,x,x,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O,C10H12N4O5,C00294,58-63-9,HMDB00195,268.08077,NA,84,6021,3588,17596,I4125,Inosine,http://www.sigmaaldrich.com/catalog/product/sigma/I4125?lang=en&region=US,P1rB_NEG.mzML,267.07349
21,1,B,9,GAMMA-AMINOBUTYRATE,x,NA,NCCCC(O)=O,C4H9NO2,C00334,56-12-2,HMDB00112,103.06333,NA,279,119,3628,16865,A2129,?-Aminobutyric acid,http://www.sigmaaldrich.com/catalog/product/sigma/A2129?lang=en&region=US,P1rB_NEG.mzML,102.05605
22,1,B,10,CYTOSINE,x,NA,NC1=CC=NC(=O)N1,C4H5N3O,C00380,71-30-7,HMDB00630,111.04326,NA,283,597,3670,16040,C3506,Cytosine,http://www.sigmaaldrich.com/catalog/product/sigma/C3506?lang=en&region=US,P1rB_NEG.mzML,110.03598
23,1,B,11,ISOLEUCINE,x,NA,CC[C@H](C)[C@H](N)C(O)=O,C6H13NO2,C00407,73-32-5,HMDB00172,131.09463,NA,5193,6306,3697,17191,58879,L-Isoleucine,http://www.sigmaaldrich.com/catalog/product/sigma/58879?lang=en&region=US,P1rB_NEG.mzML,130.08735
24,1,B,12,PYRAZOLE,NA,NA,C1=CNN=C1,C3H4N2,C00481,288-13-1,-,68.03745,NA,65516,1048,24898689,17241,P56607,Pyrazole,http://www.sigmaaldrich.com/catalog/product/aldrich/P56607?lang=en&region=US,P1rB_NEG.mzML,67.03017
25,1,C,1,GLUTAMATE,x,NA,N[C@@H](CCC(O)=O)C(O)=O,C5H9NO4,C00025,56-86-0,HMDB00148,147.05316,NA,5174,33032,3327,16015,G1251,L-Glutamic acid,http://www.sigmaaldrich.com/catalog/product/sigma/G1251?lang=en&region=US,P1rC_NEG.mzML,146.04588
26,1,C,2,ASCORBATE,x,x,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,C6H8O6,C00072,50-81-7,HMDB00044,176.03209,NA,3753,54670067,3372,17208,A0278,L-Ascorbic acid,http://www.sigmaaldrich.com/catalog/product/sigma/A0278?lang=en&region=US,P1rC_NEG.mzML,175.02481
27,1,C,3,P-HYDROXYPHENYLACETATE,x,NA,NCCC(O)=O,C8H8O3,C00642,156-38-7,HMDB00020,152.04734,NA,130,127,3915,18101,H50004,4-Hydroxyphenylacetic acid,http://www.sigmaaldrich.com/catalog/product/aldrich/H50004?lang=en&region=US,P1rC_NEG.mzML,151.04006
28,1,C,4,N-ACETYLGLUCOSAMINE,x,x,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,C8H15NO6,C00140,7512-17-6,HMDB00215,221.08994,NA,3356,439174,3440,17411,A8625,N-Acetyl-D-glucosamine,http://www.sigmaaldrich.com/catalog/product/sigma/A8625?lang=en&region=US,P1rC_NEG.mzML,220.08266
29,1,C,5,GLYCOLATE,NA,NA,OCC(O)=O,C2H4O3,C00160,79-14-1,HMDB00115,76.01604,NA,3219,757,3460,17497,7391,Glycolate Standard for IC,http://www.sigmaaldrich.com/catalog/product/sial/07391?lang=en&region=US,P1rC_NEG.mzML,75.00876
30,1,C,6,SARCOSINE,x,NA,CNCC(O)=O,C3H7NO2,C00213,107-97-1,HMDB00271,89.04768,NA,51,1088,3513,15611,131776,Sarcosine,http://www.sigmaaldrich.com/catalog/product/aldrich/131776?lang=en&region=US,P1rC_NEG.mzML,88.0404
