stitle	staxids	sscinames	qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	qlen	qcovs
Echovirus E30 strain 13-311, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	KY888272.1	98.215	7394	131	1	1	7393	7404	11	0.0	12922	7428	7412	99
Echovirus E30 strain 14-397, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	KY888274.1	97.714	7393	169	0	1	7393	7404	12	0.0	12717	7428	7412	99
Enterovirus B isolate NO/538705/FAE/2016 polyprotein gene, complete cds	138949	Enterovirus B	NODE_1_length_7412_cov_139.228369	MK815101.1	100.000	6585	0	0	75	6659	6585	1	0.0	12161	6585	7412	89
Echovirus E30 isolate E30SD2010CHN, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	JX976773.1	95.470	7395	334	1	1	7395	7402	9	0.0	11799	7425	7412	99
Echovirus E30 isolate JH-865B/2015, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OP207961.1	95.989	7205	289	0	32	7236	7206	2	0.0	11705	7206	7412	97
Echovirus E30 isolate E30/USA/13I10/2016, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OQ791571.1	95.455	7194	327	0	1	7194	7197	4	0.0	11474	7207	7412	97
Echovirus E30 strain 16-I10, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	KY645964.1	95.453	7191	327	0	1	7191	7235	45	0.0	11468	7245	7412	97
Echovirus E30 isolate A538/GD/CHN/2009, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	ON129560.1	90.481	7396	699	5	1	7393	7403	10	0.0	9753	7425	7412	99
Human echovirus 30 isolate FDJS03_84 polyprotein gene, complete cds	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	AY948442.1	89.797	7400	741	11	1	7393	7402	10	0.0	9470	7428	7412	99
Human echovirus 30 strain Echo30/Zhejiang/17/03/CSF, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	DQ246620.1	89.757	7400	744	11	1	7393	7402	10	0.0	9454	7428	7412	99
Echovirus E30 isolate TL12C/NM/CHN/2016, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	MW080372.1	88.914	7388	818	1	7	7393	7397	10	0.0	9105	7429	7412	99
Echovirus E30 isolate TL7C/NM/CHN/2016, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	MW080377.1	88.847	7388	823	1	7	7393	7397	10	0.0	9077	7429	7412	99
Echovirus E30 isolate E30/USA/14A10/2017, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OQ842429.1	88.755	7381	823	5	1	7377	7385	8	0.0	9025	7393	7412	99
Echovirus E30 strain NZ/Ashburton/17WQ2027G/2017-08-20 polyprotein gene, complete cds	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	MW586892.1	88.525	7381	840	5	1	7377	7385	8	0.0	8931	7393	7412	99
Echovirus E30 isolate Echo30/Jiangsu/21/11/, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OM677620.1	88.343	7395	859	3	1	7393	7403	10	0.0	8877	7425	7412	99
Echovirus E30 isolate JH-636/2015, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OP207962.1	88.433	7236	823	10	7	7236	7246	19	0.0	8713	7272	7412	98
Echovirus E30 isolate 15K3/YN/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OQ210941.1	87.885	7396	889	5	1	7392	7407	15	0.0	8687	7445	7412	99
Echovirus E30 isolate 9K3/YN/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OQ210942.1	87.855	7394	891	5	1	7390	7406	16	0.0	8672	7422	7412	99
Echovirus E30 isolate 52R3/YN/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OQ210943.1	87.794	7398	896	5	1	7394	7399	5	0.0	8652	7424	7412	99
Echovirus E30 strain USA/2017/CA-RGDS-1005, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	MK238483.1	88.446	7158	821	4	68	7222	7155	1	0.0	8632	7155	7412	97
Echovirus E30 strain KM/A363/09 polyprotein gene, complete cds	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	KF878942.1	87.674	7399	901	11	1	7393	7403	10	0.0	8600	7425	7412	99
Echovirus E30 isolate 32R3/YN/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	OQ210944.1	87.603	7381	908	5	1	7377	7414	37	0.0	8554	7452	7412	99
Echovirus E30 strain USA/2017/CA-RGDS-1048 polyprotein gene, partial cds	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	MN153801.1	88.608	7040	796	4	221	7257	7037	1	0.0	8552	7040	7412	95
Echovirus E30 isolate FY21/HB.WH/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	MZ229660.1	87.785	7245	876	7	32	7271	7256	16	0.0	8468	7257	7412	98
Echovirus E30 isolate FY9/HB.WH/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	MZ229659.1	87.888	7208	865	6	68	7271	7219	16	0.0	8468	7298	7412	97
Echovirus E30 isolate 2012EM161, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_139.228369	KC897073.1	85.473	7407	1047	27	1	7393	7401	10	0.0	7690	7427	7412	99
Human enterovirus B strain EV30-14125-00 from Ukraine polyprotein gene, complete cds	138949	Enterovirus B	NODE_1_length_7412_cov_139.228369	AY896766.1	85.279	7377	1067	16	9	7377	7369	4	0.0	7589	7369	7412	99
