stitle	staxids	sscinames	qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	qlen	qcovs
Echovirus E30 strain 13-311, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	KY888272.1	98.215	7394	131	1	1	7393	7404	11	0.0	12922	7428	7412	99
Echovirus E30 strain 14-397, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	KY888274.1	97.714	7393	169	0	1	7393	7404	12	0.0	12717	7428	7412	99
Enterovirus B isolate NO/538705/FAE/2016 polyprotein gene, complete cds	138949	Enterovirus B	NODE_1_length_7412_cov_30.228369	MK815101.1	100.000	6585	0	0	75	6659	6585	1	0.0	12161	6585	7412	89
Echovirus E30 isolate E30SD2010CHN, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	JX976773.1	95.470	7395	334	1	1	7395	7402	9	0.0	11799	7425	7412	99
Echovirus E30 isolate A538/GD/CHN/2009, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	ON129560.1	90.481	7396	699	5	1	7393	7403	10	0.0	9753	7425	7412	99
Human echovirus 30 isolate FDJS03_84 polyprotein gene, complete cds	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	AY948442.1	89.797	7400	741	11	1	7393	7402	10	0.0	9470	7428	7412	99
Human echovirus 30 strain Echo30/Zhejiang/17/03/CSF, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	DQ246620.1	89.757	7400	744	11	1	7393	7402	10	0.0	9454	7428	7412	99
Echovirus E30 isolate 9K3/YN/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	OQ210942.1	87.855	7394	891	5	1	7390	7406	16	0.0	8672	7422	7412	99
Echovirus E30 isolate 52R3/YN/CHN/2019, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	OQ210943.1	87.794	7398	896	5	1	7394	7399	5	0.0	8652	7424	7412	99
Echovirus E30 strain USA/2017/CA-RGDS-1005, complete genome	41846	Echovirus E30	NODE_1_length_7412_cov_30.228369	MK238483.1	88.446	7158	821	4	68	7222	7155	1	0.0	8632	7155	7412	97
