"","LtProbB","UTS"
"1",-100,5
"2",-100,10
"3",-100,15
"4",-100,20
"5",-100,25
"6",-100,30
"7",-100,35
"8",-100,40
"9",-100,45
"10",-150,5
"11",-150,10
"12",-150,15
"13",-150,20
"14",-150,25
"15",-150,30
"16",-150,35
"17",-150,40
"18",-150,45
"19",-200,5
"20",-200,10
"21",-200,15
"22",-200,20
"23",-200,25
"24",-200,30
"25",-200,35
"26",-200,40
"27",-200,45
"28",-250,5
"29",-250,10
"30",-250,15
"31",-250,20
"32",-250,25
"33",-250,30
"34",-250,35
"35",-250,40
"36",-250,45
"37",-300,5
"38",-300,10
"39",-300,15
"40",-300,20
"41",-300,25
"42",-300,30
"43",-300,35
"44",-300,40
"45",-300,45
"46",-350,5
"47",-350,10
"48",-350,15
"49",-350,20
"50",-350,25
"51",-350,30
"52",-350,35
"53",-350,40
"54",-350,45
"55",-400,5
"56",-400,10
"57",-400,15
"58",-400,20
"59",-400,25
"60",-400,30
"61",-400,35
"62",-400,40
"63",-400,45
