ENSMUSG00000035847,ENSMUSG00000010911
ENSMUSG00000032451,ENSMUSG00000032193
ENSMUSG00000032451,ENSMUSG00000057672
ENSMUSG00000032451,ENSMUSG00000025199
ENSMUSG00000032451,ENSMUSG00000057074
ENSMUSG00000032451,ENSMUSG00000007033
ENSMUSG00000032451,ENSMUSG00000005824
ENSMUSG00000032451,ENSMUSG00000042189
ENSMUSG00000032451,ENSMUSG00000021277
ENSMUSG00000032451,ENSMUSG00000024401
ENSMUSG00000032451,ENSMUSG00000008604
ENSMUSG00000032451,ENSMUSG00000071547
ENSMUSG00000032451,ENSMUSG00000028518
ENSMUSG00000032451,ENSMUSG00000038520
ENSMUSG00000032451,ENSMUSG00000056459
ENSMUSG00000032451,ENSMUSG00000036432
ENSMUSG00000032451,ENSMUSG00000029053
ENSMUSG00000032451,ENSMUSG00000008348
ENSMUSG00000032451,ENSMUSG00000013155
ENSMUSG00000032451,ENSMUSG00000020366
ENSMUSG00000032451,ENSMUSG00000079037
ENSMUSG00000032368,ENSMUSG00000024387
ENSMUSG00000032368,ENSMUSG00000058063
ENSMUSG00000032368,ENSMUSG00000028602
ENSMUSG00000032368,ENSMUSG00000029053
ENSMUSG00000032368,ENSMUSG00000020366
ENSMUSG00000032368,ENSMUSG00000079037
ENSMUSG00000034744,ENSMUSG00000057897
ENSMUSG00000034744,ENSMUSG00000041135
ENSMUSG00000034744,ENSMUSG00000032388
ENSMUSG00000034744,ENSMUSG00000060548
ENSMUSG00000034744,ENSMUSG00000020888
ENSMUSG00000034744,ENSMUSG00000034744
ENSMUSG00000034744,ENSMUSG00000079415
ENSMUSG00000034744,ENSMUSG00000002985
ENSMUSG00000056459,ENSMUSG00000017950
ENSMUSG00000056459,ENSMUSG00000030341
ENSMUSG00000056459,ENSMUSG00000056459
ENSMUSG00000056459,ENSMUSG00000039285
ENSMUSG00000056459,ENSMUSG00000039457
ENSMUSG00000056459,ENSMUSG00000021665
ENSMUSG00000056459,ENSMUSG00000061524
ENSMUSG00000056459,ENSMUSG00000060803
ENSMUSG00000056459,ENSMUSG00000008690
