checkv_id	contig_id	version	action	reason
CheckV-051978	GCA_003498905.1	v1.5	removed	short Caudovirales
CheckV-051976	GCA_003498865.1	v1.5	removed	short Caudovirales
CheckV-051980	GCA_003498965.1	v1.5	removed	short Caudovirales
CheckV-051966	GCA_003498625.1	v1.5	removed	short Caudovirales
CheckV-051953	GCA_003498305.1	v1.5	removed	short Caudovirales
CheckV-051969	GCA_003498685.1	v1.5	removed	short Caudovirales
CheckV-051989	GCA_003499145.1	v1.5	removed	short Caudovirales
CheckV-051975	GCA_003498825.1	v1.5	removed	short Caudovirales
CheckV-051997	GCA_003502145.1	v1.5	removed	short Caudovirales
CheckV-051999	GCA_003502205.1	v1.5	removed	short Caudovirales
CheckV-051990	GCA_003499205.1	v1.5	removed	short Caudovirales
CheckV-051984	GCA_003499045.1	v1.5	removed	short Caudovirales
CheckV-011299	DTR_190440	v1.5	removed	short Caudovirales
CheckV-054422	GCA_004776765.1	v1.5	removed	short Caudovirales
CheckV-054320	GCA_004773865.1	v1.5	removed	short Caudovirales
CheckV-003721	DTR_020353	v1.5	removed	short Caudovirales
CheckV-054359	GCA_004774845.1	v1.5	removed	short Caudovirales
CheckV-054417	GCA_004776465.1	v1.5	removed	short Caudovirales
CheckV-054343	GCA_004774425.1	v1.5	removed	short Caudovirales
CheckV-054397	GCA_004775765.1	v1.5	removed	short Caudovirales
CheckV-022396	DTR_385154	v1.5	removed	short Caudovirales
CheckV-054428	GCA_004776885.1	v1.5	removed	short Caudovirales
CheckV-054419	GCA_004776605.1	v1.5	removed	short Caudovirales
CheckV-054413	GCA_004776385.1	v1.5	removed	short Caudovirales
CheckV-051967	GCA_003498645.1	v1.5	removed	short Caudovirales
CheckV-054416	GCA_004776445.1	v1.5	removed	short Caudovirales
CheckV-009752	DTR_167384	v1.5	removed	short Caudovirales
CheckV-054403	GCA_004776045.1	v1.5	removed	short Caudovirales
CheckV-054355	GCA_004774745.1	v1.5	removed	short Caudovirales
CheckV-038149	DTR_866197	v1.5	removed	short Caudovirales
CheckV-041775	DTR_893133	v1.5	removed	short Caudovirales
CheckV-017700	DTR_292340	v1.5	removed	short Caudovirales
CheckV-040433	DTR_890063	v1.5	removed	short Caudovirales
CheckV-003701	DTR_019791	v1.5	removed	short Caudovirales
CheckV-054313	GCA_004773725.1	v1.5	removed	short Caudovirales
CheckV-017153	DTR_284168	v1.5	removed	short Caudovirales
CheckV-054395	GCA_004775705.1	v1.5	removed	short Caudovirales
CheckV-051957	GCA_003498405.1	v1.5	removed	short Caudovirales
CheckV-003702	DTR_019792	v1.5	removed	short Caudovirales
CheckV-054465	GCA_004777885.1	v1.5	removed	short Caudovirales
CheckV-054439	GCA_004777205.1	v1.5	removed	short Caudovirales
CheckV-040816	DTR_891066	v1.5	removed	short Caudovirales
CheckV-054438	GCA_004777185.1	v1.5	removed	short Caudovirales
CheckV-054481	GCA_004778385.1	v1.5	removed	short Caudovirales
CheckV-003706	DTR_019816	v1.5	removed	short Caudovirales
CheckV-003718	DTR_020264	v1.5	removed	short Caudovirales
CheckV-054382	GCA_004775385.1	v1.5	removed	short Caudovirales
CheckV-054312	GCA_004773685.1	v1.5	removed	short Caudovirales
CheckV-054437	GCA_004777145.1	v1.5	removed	short Caudovirales
CheckV-054271	GCA_004772655.1	v1.5	removed	short Caudovirales
CheckV-013044	DTR_230184	v1.5	removed	short Caudovirales
CheckV-016618	DTR_274952	v1.5	removed	short Caudovirales
CheckV-029952	DTR_632477	v1.5	removed	short Caudovirales
CheckV-054409	GCA_004776285.1	v1.5	removed	short Caudovirales
CheckV-054374	GCA_004775205.1	v1.5	removed	short Caudovirales
CheckV-054337	GCA_004774285.1	v1.5	removed	short Caudovirales
CheckV-041597	DTR_892759	v1.5	removed	short Caudovirales
CheckV-003502	DTR_016515	v1.5	removed	short Caudovirales
CheckV-040605	DTR_890564	v1.5	removed	short Caudovirales
CheckV-054360	GCA_004774865.1	v1.5	removed	short Caudovirales
CheckV-040521	DTR_890319	v1.5	removed	short Caudovirales
CheckV-004261	DTR_035603	v1.5	removed	short Caudovirales
CheckV-054431	GCA_004776945.1	v1.5	removed	short Caudovirales
CheckV-054412	GCA_004776365.1	v1.5	removed	short Caudovirales
CheckV-030215	DTR_639248	v1.5	removed	short Caudovirales
CheckV-054284	GCA_004772995.1	v1.5	removed	short Caudovirales
CheckV-003485	DTR_015818	v1.5	removed	short Caudovirales
CheckV-041776	DTR_893134	v1.5	removed	short Caudovirales
CheckV-013043	DTR_230153	v1.5	removed	short Caudovirales
