length	aai	cov	error	count
200	5	5	NA	0
200	5	10	NA	0
200	5	15	NA	0
200	5	20	NA	0
200	5	25	NA	0
200	5	30	NA	0
200	5	35	NA	0
200	5	40	NA	0
200	5	45	NA	0
200	5	50	NA	0
200	5	55	NA	0
200	5	60	NA	0
200	5	65	NA	0
200	5	70	NA	0
200	5	75	NA	0
200	5	80	NA	0
200	5	85	NA	0
200	5	90	NA	0
200	5	95	NA	0
200	5	100	NA	0
200	10	5	NA	0
200	10	10	NA	0
200	10	15	NA	0
200	10	20	NA	0
200	10	25	NA	0
200	10	30	NA	0
200	10	35	NA	0
200	10	40	NA	0
200	10	45	NA	0
200	10	50	NA	0
200	10	55	NA	0
200	10	60	NA	0
200	10	65	NA	0
200	10	70	NA	0
200	10	75	NA	0
200	10	80	NA	0
200	10	85	NA	0
200	10	90	NA	0
200	10	95	NA	0
200	10	100	NA	0
200	15	5	NA	0
200	15	10	NA	0
200	15	15	NA	0
200	15	20	NA	0
200	15	25	NA	0
200	15	30	NA	0
200	15	35	NA	0
200	15	40	NA	0
200	15	45	NA	0
200	15	50	NA	0
200	15	55	NA	0
200	15	60	NA	0
200	15	65	NA	0
200	15	70	NA	0
200	15	75	NA	0
200	15	80	NA	0
200	15	85	NA	0
200	15	90	NA	0
200	15	95	NA	0
200	15	100	NA	0
200	20	5	NA	0
200	20	10	NA	0
200	20	15	NA	0
200	20	20	NA	0
200	20	25	NA	0
200	20	30	NA	0
200	20	35	NA	0
200	20	40	NA	0
200	20	45	NA	0
200	20	50	NA	0
200	20	55	NA	0
200	20	60	NA	0
200	20	65	NA	0
200	20	70	NA	0
200	20	75	NA	0
200	20	80	NA	0
200	20	85	NA	0
200	20	90	NA	0
200	20	95	NA	0
200	20	100	NA	0
200	25	5	NA	0
200	25	10	NA	0
200	25	15	NA	0
200	25	20	NA	0
200	25	25	NA	0
200	25	30	NA	0
200	25	35	NA	0
200	25	40	NA	0
200	25	45	NA	0
200	25	50	NA	0
200	25	55	NA	0
200	25	60	NA	0
200	25	65	NA	0
200	25	70	NA	0
200	25	75	NA	0
200	25	80	NA	0
200	25	85	NA	0
200	25	90	NA	0
200	25	95	NA	0
200	25	100	NA	0
200	30	5	NA	0
200	30	10	NA	0
200	30	15	NA	0
200	30	20	NA	0
200	30	25	NA	0
200	30	30	NA	0
200	30	35	NA	0
200	30	40	NA	0
200	30	45	NA	0
200	30	50	NA	0
200	30	55	NA	0
200	30	60	NA	0
200	30	65	NA	0
200	30	70	NA	0
200	30	75	NA	0
200	30	80	NA	0
200	30	85	NA	0
200	30	90	NA	0
200	30	95	NA	0
200	30	100	NA	0
200	35	5	NA	0
200	35	10	NA	0
200	35	15	NA	0
200	35	20	NA	0
200	35	25	NA	0
200	35	30	NA	0
200	35	35	NA	0
200	35	40	NA	0
200	35	45	NA	0
200	35	50	NA	0
200	35	55	NA	0
200	35	60	NA	0
200	35	65	NA	0
200	35	70	NA	0
200	35	75	NA	0
200	35	80	NA	0
200	35	85	18.4025903939557	1
200	35	90	6.45224553834085	10
200	35	95	11.8308685690481	21
200	35	100	4.20745677983753	179
200	40	5	NA	0
200	40	10	NA	0
200	40	15	NA	0
200	40	20	NA	0
200	40	25	NA	0
200	40	30	NA	0
200	40	35	NA	0
200	40	40	NA	0
200	40	45	NA	0
200	40	50	NA	0
200	40	55	NA	0
200	40	60	NA	0
200	40	65	NA	0
200	40	70	NA	0
200	40	75	42.3623235750684	2
200	40	80	11.2711581327526	68
200	40	85	28.5835387062381	130
200	40	90	11.7042836123372	233
200	40	95	10.7465089808723	465
200	40	100	11.8657797756911	1057
200	45	5	NA	0
200	45	10	NA	0
200	45	15	NA	0
200	45	20	NA	0
200	45	25	NA	0
200	45	30	NA	0
200	45	35	NA	0
200	45	40	NA	0
200	45	45	NA	0
200	45	50	NA	0
200	45	55	NA	0
200	45	60	NA	0
200	45	65	4.14012738853503	4
200	45	70	11.5723158250941	16
200	45	75	8.37943434531248	68
200	45	80	16.0876460547341	188
200	45	85	10.5283834217246	603
200	45	90	8.93470790378007	1117
200	45	95	12.3663412366341	2943
200	45	100	9.45238095238095	5526
200	50	5	NA	0
200	50	10	NA	0
200	50	15	NA	0
200	50	20	NA	0
200	50	25	NA	0
200	50	30	NA	0
200	50	35	NA	0
200	50	40	NA	0
200	50	45	NA	0
200	50	50	NA	0
200	50	55	448.493975903614	1
200	50	60	8.7972800679983	10
200	50	65	16.8342858646422	18
200	50	70	10.4549675023213	87
200	50	75	7.1786617987437	292
200	50	80	13.6654037872555	786
200	50	85	4.97178320750775	2208
200	50	90	8.29589216944801	3187
200	50	95	8.375	5446
200	50	100	7.47203120188854	9111
200	55	5	NA	0
200	55	10	NA	0
200	55	15	NA	0
200	55	20	NA	0
200	55	25	NA	0
200	55	30	NA	0
200	55	35	NA	0
200	55	40	NA	0
200	55	45	NA	0
200	55	50	33.3046471600688	14
200	55	55	946.15453567587	32
200	55	60	3.25862051391819	167
200	55	65	4.47629157820241	249
200	55	70	4.44014852418191	562
200	55	75	6.90605370804594	813
200	55	80	9.86647752353495	1670
200	55	85	7.24973970892278	2970
200	55	90	8.77365741185513	4125
200	55	95	7.16369529983793	8323
200	55	100	6.68106596548342	13729
200	60	5	NA	0
200	60	10	NA	0
200	60	15	NA	0
200	60	20	NA	0
200	60	25	NA	0
200	60	30	NA	0
200	60	35	NA	0
200	60	40	NA	0
200	60	45	NA	0
200	60	50	24.3256743256743	98
200	60	55	14.8321291967701	118
200	60	60	16.3712686567164	283
200	60	65	6.16622015253167	452
200	60	70	7.57219251336898	941
200	60	75	9.29752066115702	1575
200	60	80	6.27130331456239	2082
200	60	85	7.95271799555273	3410
200	60	90	5.5265395360136	4787
200	60	95	6.84460455215327	7649
200	60	100	4.37571592210768	13971
200	65	5	NA	0
200	65	10	NA	0
200	65	15	NA	0
200	65	20	NA	0
200	65	25	NA	0
200	65	30	NA	0
200	65	35	NA	0
200	65	40	NA	0
200	65	45	1.76934530733796	7
200	65	50	12.0155449881228	28
200	65	55	5.19005407143862	252
200	65	60	3.640404374607	786
200	65	65	3.97881483033084	802
200	65	70	7.47308423052565	1599
200	65	75	12.039312039312	2028
200	65	80	4.0954074234555	1994
200	65	85	5.92355360440883	3354
200	65	90	7.26040658276863	4367
200	65	95	5.91343829418983	7286
200	65	100	4.21175554690541	15827
200	70	5	NA	0
200	70	10	NA	0
200	70	15	NA	0
200	70	20	NA	0
200	70	25	NA	0
200	70	30	NA	0
200	70	35	NA	0
200	70	40	21.4795667159035	2
200	70	45	5.78125	19
200	70	50	23.3266733266733	175
200	70	55	7.90280210157618	581
200	70	60	2.20314474296008	1206
200	70	65	2.90830820057816	1435
200	70	70	5.01747892247584	1311
200	70	75	6.77655677655678	1561
200	70	80	4.30339792441163	1640
200	70	85	5.20148243700028	1946
200	70	90	5.53929569801692	2719
200	70	95	4.65937169078715	6187
200	70	100	3.85648902441637	12122
200	75	5	NA	0
200	75	10	NA	0
200	75	15	NA	0
200	75	20	NA	0
200	75	25	NA	0
200	75	30	NA	0
200	75	35	NA	0
200	75	40	NA	0
200	75	45	1.88411669367909	15
200	75	50	2.68907360268304	173
200	75	55	3.16750874465604	633
200	75	60	4.20983028432885	1077
200	75	65	3.93939393939394	1349
200	75	70	4.06612280298731	1020
200	75	75	2.73401675260358	1213
200	75	80	5.06114483702912	994
200	75	85	3.68930635336159	1566
200	75	90	5.14505893019039	2497
200	75	95	3.90749217056131	4965
200	75	100	3.00228149165136	9829
200	80	5	NA	0
200	80	10	NA	0
200	80	15	NA	0
200	80	20	NA	0
200	80	25	NA	0
200	80	30	NA	0
200	80	35	NA	0
200	80	40	1.11433028749721	1
200	80	45	7.32995011234712	48
200	80	50	2.1814147026501	100
200	80	55	2.91047136981968	755
200	80	60	5.88672273069267	1339
200	80	65	3.88220788433605	1198
200	80	70	3.26079564773886	1093
200	80	75	3.34734506972181	1034
200	80	80	6.50989677016921	952
200	80	85	3.54675373840621	2188
200	80	90	3.77208655946	2291
200	80	95	2.95991720286902	3662
200	80	100	2.43492863140218	8332
200	85	5	NA	0
200	85	10	NA	0
200	85	15	NA	0
200	85	20	NA	0
200	85	25	NA	0
200	85	30	NA	0
200	85	35	NA	0
200	85	40	4.04629211920424	22
200	85	45	2.24360713811974	122
200	85	50	2.87220742512366	349
200	85	55	2.23128084102124	1351
200	85	60	2.628614344724	1049
200	85	65	4.11782589602405	1749
200	85	70	5.04881450488145	1263
200	85	75	3.18781134552967	664
200	85	80	3.9569158042526	1002
200	85	85	2.67552828902522	1517
200	85	90	3.12601230968578	1821
200	85	95	2.7822127772629	2650
200	85	100	1.76531163078334	7614
200	90	5	NA	0
200	90	10	NA	0
200	90	15	NA	0
200	90	20	NA	0
200	90	25	NA	0
200	90	30	NA	0
200	90	35	NA	0
200	90	40	1.56925176256539	50
200	90	45	3.25892857142857	131
200	90	50	2.89065772936741	273
200	90	55	3.07010921536061	1105
200	90	60	2.50131317471314	844
200	90	65	2.93206370419869	1292
200	90	70	2.58698375700115	938
200	90	75	2.35420351015717	702
200	90	80	4.21445718858362	781
200	90	85	2.52849002849003	1381
200	90	90	1.64711754429748	1805
200	90	95	2.03410662160086	2973
200	90	100	1.88960348432146	6298
200	95	5	NA	0
200	95	10	NA	0
200	95	15	NA	0
200	95	20	NA	0
200	95	25	NA	0
200	95	30	NA	0
200	95	35	1518.71296905859	3
200	95	40	2.03850613175069	50
200	95	45	4.58943876140448	271
200	95	50	1.61090458488228	606
200	95	55	2.17993079584775	1593
200	95	60	1.12882995878875	1273
200	95	65	2.08417696792528	1396
200	95	70	1.70545240695623	1171
200	95	75	2.32004271667653	872
200	95	80	1.91327421269464	1105
200	95	85	2.14870922862885	1761
200	95	90	1.77299130588846	2389
200	95	95	1.45489475233322	3054
200	95	100	1.72087148721187	7009
200	100	5	NA	0
200	100	10	NA	0
200	100	15	NA	0
200	100	20	NA	0
200	100	25	NA	0
200	100	30	0.171714177662847	1
200	100	35	14.7705025016315	22
200	100	40	1.87326643354134	78
200	100	45	2.43241356847052	389
200	100	50	1.70301762772632	437
200	100	55	2.34167230110435	1127
200	100	60	1.18564273403431	933
200	100	65	1.56729370102207	1953
200	100	70	1.80235714639972	1738
200	100	75	1.45178015900449	1797
200	100	80	1.1068539804172	1431
200	100	85	1.7307026652821	2069
200	100	90	1.23623286131715	3389
200	100	95	1.1378572958719	5350
200	100	100	1.73329169269207	9933
500	5	5	NA	0
500	5	10	NA	0
500	5	15	NA	0
500	5	20	NA	0
500	5	25	NA	0
500	5	30	NA	0
500	5	35	NA	0
500	5	40	NA	0
500	5	45	NA	0
500	5	50	NA	0
500	5	55	NA	0
500	5	60	NA	0
500	5	65	NA	0
500	5	70	NA	0
500	5	75	NA	0
500	5	80	NA	0
500	5	85	NA	0
500	5	90	NA	0
500	5	95	NA	0
500	5	100	NA	0
500	10	5	NA	0
500	10	10	NA	0
500	10	15	NA	0
500	10	20	NA	0
500	10	25	NA	0
500	10	30	NA	0
500	10	35	NA	0
500	10	40	NA	0
500	10	45	NA	0
500	10	50	NA	0
500	10	55	NA	0
500	10	60	NA	0
500	10	65	NA	0
500	10	70	NA	0
500	10	75	NA	0
500	10	80	NA	0
500	10	85	NA	0
500	10	90	NA	0
500	10	95	NA	0
500	10	100	NA	0
500	15	5	NA	0
500	15	10	NA	0
500	15	15	NA	0
500	15	20	NA	0
500	15	25	NA	0
500	15	30	NA	0
500	15	35	NA	0
500	15	40	NA	0
500	15	45	NA	0
500	15	50	NA	0
500	15	55	NA	0
500	15	60	NA	0
500	15	65	NA	0
500	15	70	NA	0
500	15	75	NA	0
500	15	80	NA	0
500	15	85	NA	0
500	15	90	NA	0
500	15	95	NA	0
500	15	100	NA	0
500	20	5	NA	0
500	20	10	NA	0
500	20	15	NA	0
500	20	20	NA	0
500	20	25	NA	0
500	20	30	NA	0
500	20	35	NA	0
500	20	40	NA	0
500	20	45	NA	0
500	20	50	NA	0
500	20	55	NA	0
500	20	60	NA	0
500	20	65	NA	0
500	20	70	NA	0
500	20	75	NA	0
500	20	80	NA	0
500	20	85	NA	0
500	20	90	NA	0
500	20	95	NA	0
500	20	100	NA	0
500	25	5	NA	0
500	25	10	NA	0
500	25	15	NA	0
500	25	20	NA	0
500	25	25	NA	0
500	25	30	NA	0
500	25	35	NA	0
500	25	40	NA	0
500	25	45	NA	0
500	25	50	NA	0
500	25	55	NA	0
500	25	60	30.7164334567501	4
500	25	65	35.3141790763192	4
500	25	70	27.6909531146819	6
500	25	75	21.1932734392997	16
500	25	80	22.1183411244157	42
500	25	85	23.2112565786612	87
500	25	90	62.2663281790907	165
500	25	95	18.4137128002383	260
500	25	100	24.2656494086141	377
