sample	genotype	treatment	time	batch
Sample1	WT	Control	1	b1
Sample2	WT	Control	1	b1
Sample3	WT	Control	1	b1
Sample4	WT	Control	16	b2
Sample5	WT	Control	16	b2
Sample6	WT	Control	16	b2
Sample7	WT	Treated	1	b1
Sample8	WT	Treated	1	b3
Sample9	WT	Treated	1	b3
Sample10	WT	Treated	16	b1
Sample11	WT	Treated	16	b1
Sample12	WT	Treated	16	b1
Sample13	KO	Control	1	b1
Sample14	KO	Control	1	b2
Sample15	KO	Control	1	b1
Sample16	KO	Control	16	b3
Sample17	KO	Control	16	b3
Sample18	KO	Control	16	b1
Sample19	KO	Treated	1	b1
Sample20	KO	Treated	1	b1
Sample21	KO	Treated	1	b3
Sample22	KO	Treated	16	b3
Sample23	KO	Treated	16	b3
Sample24	KO	Treated	16	b2
