Read_Name	Exon	Variant_Positions	Haplotype
8b0dfae3-8264-4512-807a-0fa3e9c33c19	exon6	.	REF
7d774ab0-193b-4b64-9bd9-d8e5ef71d621	exon6	.	REF
d56d56e7-b0dd-4a64-993c-e055f9e6a8c1	exon6	58	p58=G
a5b3f6fc-069c-4160-a844-3f605fba9fec	exon6	.	REF
5c1f33d2-7c19-4f2d-93bd-8a31137982f9	exon6	58	p58=G
810dbc68-d096-46ed-9114-48d8d09a6f5f	exon6	58	p58=G
6353c838-3fda-43cf-92db-b1d0f52233a7	exon6	.	REF
71624bf1-33a0-4a4e-a673-d62f6707a53c	exon6	.	REF
57a8a92b-8901-4642-a63b-3187387e43ea	exon6	58	p58=G
c6351584-4f40-4ac7-aa7e-d5d35a504d11	exon6	.	REF
ecddf85f-5371-4ab3-aeec-f4b57bb6df74	exon6	.	REF
798db307-e6e0-4933-baff-3feb94cddbb2	exon6	.	REF
24d48cee-d987-47d5-8871-1326194df1a8	exon6	58	p58=G
fe1770ea-c5e6-4e9f-9f8e-329a9fa8ebb4	exon6	22	p22=del
c0d1dd9a-5b45-453e-b619-dfdfc3acdf7e	exon6	58	p58=G
14eba9ae-ed88-4fde-a6ee-6a2dc471ec7c	exon6	58	p58=G
fb990f6b-3486-45ad-8500-999ac08d6edb	exon6	.	REF
6b865d45-169d-4c56-ba9d-7aeeaa3d8c69	exon6	58	p58=G
072f2a0b-7829-4b36-83ab-64ac23646d75	exon6	58	p58=G
86a12bc2-570f-4e29-8b62-2d2adb64f7b4	exon6	58	p58=G
24572427-c137-4c72-9e50-d1286cc001ab	exon6	58	p58=G
4d0b53b6-1f25-4ded-9049-6b5fb9ea080f	exon6	.	REF
876812c3-5c82-4e0a-9d1d-7cedbfdc0ddb	exon6	58	p58=G
e07a2b77-da8e-4321-a10e-e709bebc0a83	exon6	58	p58=G
65286d2f-83fc-4870-b4b5-1321bb2ee70d	exon6	58	p58=G
7165e2bc-54a4-4179-8b66-6b4b17d22e3b	exon6	58	p58=G
a5d110f4-c693-47ef-b3d0-764a2f3a43e2	exon6	58	p58=G
ea313c22-dd62-4d86-8f7d-dbee5d9f3722	exon6	58	p58=G
9a754562-93eb-4701-8627-d3e4305a3222	exon6	58	p58=G
5a6f07f2-40cd-4624-bcae-cfd86e708eac	exon6	.	REF
0dd2e25d-f804-4073-8db6-8836c9981156	exon6	58	p58=G
9e7c1a54-82e0-46bc-ba63-796e232a7704	exon6	58	p58=G
5f5d2405-105f-4a5d-bccd-f01a05222038	exon6	.	REF
968366a0-9545-452b-9b8b-0922ee931d96	exon6	.	REF
71624bf1-33a0-4a4e-a673-d62f6707a53c	exon6	.	REF
7601455f-9ba7-4a0f-8acb-f9ab6cc19917	exon6	.	REF
2cbdf645-2a29-4c6a-b4f9-135180ce4bf9	exon6	.	REF
054c6c74-e134-49fb-a821-d87f63d35937	exon6	58	p58=G
086a1288-d344-4adf-b578-d6f2307ca3d7	exon6	58	p58=G
40077bbb-0afc-47ba-b0c7-2ddb27fb2904	exon6	58	p58=G
46410892-954b-4c88-8591-e6fb6470e185	exon6	58	p58=G
ba8ba9c3-f537-4deb-8614-da9b2c5084d1	exon6	.	REF
2f476ac7-972e-4169-a42a-082c8db8da09	exon6	.	REF
78dfc291-f765-4c21-b512-adf0cf1e9be7	exon6	.	REF
5ebda309-02e0-4232-be4e-74f959c42d62	exon6	58	p58=G
71f49872-9e95-4793-8cd6-f370de3a474e	exon6	.	REF
390e2f17-e299-421b-9f4d-6c583253ce79	exon6	58	p58=G
7567808b-532c-4cd6-8ec9-cfc3969a2cb2	exon6	.	REF
876812c3-5c82-4e0a-9d1d-7cedbfdc0ddb	exon6	58	p58=G
7165e2bc-54a4-4179-8b66-6b4b17d22e3b	exon6	58	p58=G
650dd25c-f470-48cc-830d-fe19aa247b2d	exon6	.	REF
325e1691-d860-4c46-b86e-5f1f86301e43	exon6	.	REF
49f631c2-e46a-4a59-9022-d01f9505b6e5	exon6	.	REF
0a9f7174-753e-4777-9ab0-9ab55cd37fd1	exon6	.	REF
3de17c98-7119-46d3-a98b-51591c979a2c	exon6	58	p58=G
a5b3f6fc-069c-4160-a844-3f605fba9fec	exon6	.	REF
8ed41ee8-bef0-48da-884d-d072154726ef	exon6	58	p58=G
e5c4e038-0bb1-49a7-bf32-770330edab38	exon6	58	p58=G
2dd5394c-2e24-4db2-825a-de4930176076	exon6	.	REF
790cab94-7104-4242-8d32-d617f520567c	exon6	.	REF
0cadf2bb-7c59-4281-b1ac-5b95e3862736	exon6	.	REF
7771f6ae-358d-4e8d-9a4c-14ef18d53b18	exon6	58	p58=G
f7b89002-d03b-475f-bebd-60fc2dc75aa9	exon6	58	p58=G
9ae2377b-7981-4cef-a89c-1448b0bf55c9	exon6	58	p58=G
1fb46d31-a206-49cd-9004-96fab32585c4	exon6	58	p58=G
52cbbf73-7ac1-45bb-b8c8-28b7f68c8574	exon6	58	p58=G
35ae9104-9d91-4231-83c9-314c357ed35b	exon6	.	REF
71f49872-9e95-4793-8cd6-f370de3a474e	exon6	.	REF
0c62b156-346c-4362-9f6f-d82963aea112	exon6	.	REF
766d76bb-d5f5-4dc3-906e-14a73cfe8179	exon6	58	p58=G
7567808b-532c-4cd6-8ec9-cfc3969a2cb2	exon6	.	REF
30b74942-e4e2-420e-ba46-07e9b1c69655	exon6	58	p58=G
4d0b53b6-1f25-4ded-9049-6b5fb9ea080f	exon6	.	REF
13495f01-40a0-47b2-b646-c49c4f9d8b07	exon6	58	p58=G
d6c98e5b-4b9e-4908-be97-008da953f80f	exon6	.	REF
375729ab-aa93-4a20-846c-fa2606cec777	exon6	.	REF
b54d1798-54c8-4a1e-9253-2cb3cb465f81	exon6	.	REF
fa3f7103-a353-4198-9cb5-d3345618e79f	exon6	.	REF
4db04ba2-c364-4355-a908-5a114ff04032	exon6	58	p58=G
6864f3df-a680-4a68-bf2b-9b197511c4cb	exon6	58	p58=G
c6e61478-caf8-42ef-8be6-09982bb9aa85	exon6	58	p58=G
56c0aaaf-646e-4585-b334-ca5fa2e44a9f	exon6	.	REF
90732b76-32c0-4244-9f4d-8a46ad5eaa4f	exon6	.	REF
b7ff3946-8ded-4509-b0cc-187f2640963a	exon6	.	REF
b3f5e309-150a-4686-bfc6-5e235925338a	exon6	.	REF
2cbdf645-2a29-4c6a-b4f9-135180ce4bf9	exon6	.	REF
c4ad1c15-da33-43d4-87bb-1dcdb92f7299	exon6	58	p58=G
fb6d4502-6f52-4157-869f-db51d7d14b3b	exon6	58	p58=G
40077bbb-0afc-47ba-b0c7-2ddb27fb2904	exon6	58	p58=G
1c19893e-e7e7-4058-8c2d-7c5ec0176f24	exon6	.	REF
f8bde7b2-7555-42a6-8ccb-55a32cebd36f	exon6	.	REF
9099e5d0-292a-44d7-862e-a2e5057ff385	exon6	.	REF
14eba9ae-ed88-4fde-a6ee-6a2dc471ec7c	exon6	58	p58=G
71f49872-9e95-4793-8cd6-f370de3a474e	exon6	.	REF
87557f99-39ea-4ab2-95d5-748d5e899d51	exon6	58	p58=G
5e9f0025-2436-4c57-b14e-b8c920b38352	exon6	58	p58=G
32aad2f7-c418-4f24-bab1-3da2a9df5720	exon6	58	p58=G
293b81af-2b4e-442b-ad93-fea88e3bc1d3	exon6	.	REF
18611cd8-eea4-437a-986c-2f9d0a94c63c	exon6	.	REF
062a1731-4ef6-4e8b-a797-8bc2224aae48	exon6	.	REF
060e0219-84ee-49f1-8f39-f34537c1ad6f	exon6	58	p58=C
70ddab0c-c210-445e-ae86-ec2fc2af8404	exon6	58	p58=G
56ef7944-db1f-4e9c-abdd-0daeba5e34ee	exon6	58	p58=G
327997aa-1f1e-41c0-b666-2fc020837d6c	exon6	58	p58=G
1c51e6b8-d04d-4500-b8d3-eff3f3bfe672	exon6	.	REF
5a5f20cd-e47b-4710-8e2b-87e6e59ffcd6	exon6	58	p58=G
fb36e6d0-661a-4e15-82a0-628a68e2e65b	exon6	.	REF
b03b7e34-0950-4784-a51b-536213e0eb45	exon6	.	REF
1212bda2-c4d9-4109-acaf-7792e587296a	exon6	.	REF
a0c2020b-3144-4b4a-a854-6376cd2a50b7	exon6	.	REF
a35c8811-3a02-4e83-95fa-15dc325c3818	exon6	58	p58=G
05943f50-ccab-4740-8703-34353a24da0a	exon6	.	REF
a2b6f239-5dd4-4396-97ef-08ff4ca90c90	exon6	.	REF
4374d22d-db57-4d30-88d5-650bd0ffe9d8	exon6	58	p58=G
bcc16bd4-9d52-4137-826d-78a272716945	exon6	.	REF
4ee6a786-d377-4424-9dde-129f387b2e34	exon6	58	p58=G
427d9cd3-950d-4d51-9b5a-637f690f2be0	exon6	58	p58=G
0fd90776-b7e0-4822-82b4-4377b9011d3b	exon6	58	p58=G
09ccc819-4a19-42af-aab0-a8420a0adf75	exon6	58	p58=G
ae4978dd-69ca-4aef-ab0e-3dbde0a51ad9	exon6	.	REF
c68d259d-5fd2-402c-9b76-3003ef5c6694	exon6	.	REF
dc3bffb9-bbb0-42b3-b33b-c26481b35afe	exon6	.	REF
8efbdaca-6336-48eb-8a06-162c301bac11	exon6	58	p58=G
2bc76e3a-cc16-45f5-80a6-1571dbf0889f	exon6	.	REF
17159d73-34e0-4063-88a0-c94a2c987bdf	exon6	58	p58=G
62e8768c-e585-4929-9543-0d0f97e04411	exon6	58	p58=G
7005de90-4a4e-4f62-ae30-29f341393fcc	exon6	.	REF
