short_name	long_name	mz_M0	mz_M1	mz_M2	ms2_mz	rt_teoretical
C	Cytidine 50 μg/mL	244.0928			112.0505	555
Y	β-Pseudouridine 25 μg/mL	245.0768				907
U	Uridine 25 μg/mL	245.0768			113.0346	1566
m3C	3-Methylcytidine methosulfate 100 μg/mL	258.1084			126.0662	508
m5C	5-Methylcytidine 100 μg/mL	258.1084			126.0662	655
Cm	2-O-Methylcytidine 20 μg/mL	258.1084			112.0505	883
m5U	5-Methyluridine 50 μg/mL	259.0925			127.0502	1866
I	Inosine 25 μg/mL	269.088			137.0458	1741
m1A	1-Methyladenosine 25 μg/mL	282.1197			150.0774	523
G	Guanosine 25 μg/mL	284.0989			152.0567	1726
m7G	7-Methylguanosine 25 μg/mL	298.1146			166.0723	554
