#FID	IID
HG00096	HG00096
HG00102	HG00102
HG00108	HG00108
HG00113	HG00113
HG00118	HG00118
HG00123	HG00123
HG00129	HG00129
HG00136	HG00136
HG00141	HG00141
HG00148	HG00148
HG00155	HG00155
HG00171	HG00171
HG00178	HG00178
HG00183	HG00183
HG00189	HG00189
HG00234	HG00234
HG00239	HG00239
HG00245	HG00245
HG00253	HG00253
HG00258	HG00258
HG00263	HG00263
HG00268	HG00268
HG00274	HG00274
HG00280	HG00280
HG00288	HG00288
HG00309	HG00309
HG00318	HG00318
HG00324	HG00324
HG00329	HG00329
HG00335	HG00335
HG00341	HG00341
HG00346	HG00346
HG00355	HG00355
HG00361	HG00361
HG00367	HG00367
HG00373	HG00373
HG00380	HG00380
HG00403	HG00403
HG00410	HG00410
HG00436	HG00436
HG00446	HG00446
HG00457	HG00457
HG00473	HG00473
HG00500	HG00500
HG00531	HG00531
HG00542	HG00542
HG00556	HG00556
HG00566	HG00566
HG00589	HG00589
HG00596	HG00596
HG00610	HG00610
HG00620	HG00620
HG00628	HG00628
HG00637	HG00637
HG00651	HG00651
HG00662	HG00662
HG00675	HG00675
HG00692	HG00692
HG00704	HG00704
HG00728	HG00728
HG00736	HG00736
HG00743	HG00743
HG00864	HG00864
HG00978	HG00978
HG01046	HG01046
HG01052	HG01052
HG01061	HG01061
HG01069	HG01069
HG01077	HG01077
HG01085	HG01085
HG01094	HG01094
HG01102	HG01102
HG01110	HG01110
HG01121	HG01121
HG01131	HG01131
HG01139	HG01139
HG01161	HG01161
HG01170	HG01170
HG01177	HG01177
HG01190	HG01190
HG01204	HG01204
HG01248	HG01248
HG01256	HG01256
HG01271	HG01271
HG01281	HG01281
HG01305	HG01305
HG01325	HG01325
HG01344	HG01344
HG01353	HG01353
HG01360	HG01360
HG01369	HG01369
HG01378	HG01378
HG01392	HG01392
HG01402	HG01402
HG01414	HG01414
HG01438	HG01438
HG01447	HG01447
HG01462	HG01462
HG01479	HG01479
HG01491	HG01491
HG01498	HG01498
