Fraction_Group	Sample	Fraction	Spectra_Filepath	
1	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_0.nf.pp.mzML
2	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_1.nf.pp.mzML
3	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_2.nf.pp.mzML
4	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_3.nf.pp.mzML
5	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_4.nf.pp.mzML
6	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_5.nf.pp.mzML
7	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_6.nf.pp.mzML
8	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_7.nf.pp.mzML
9	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_8.nf.pp.mzML
10	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_9.nf.pp.mzML
11	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_10.nf.pp.mzML
12	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_11.nf.pp.mzML
13	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_12.nf.pp.mzML
14	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_13.nf.pp.mzML
15	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_14.nf.pp.mzML
16	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_15.nf.pp.mzML
17	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_16.nf.pp.mzML
18	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_17.nf.pp.mzML
19	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_18.nf.pp.mzML
20	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_19.nf.pp.mzML
21	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_20.nf.pp.mzML
22	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_21.nf.pp.mzML
23	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_22.nf.pp.mzML
24	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_23.nf.pp.mzML
25	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_24.nf.pp.mzML
26	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_25.nf.pp.mzML
27	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_26.nf.pp.mzML
28	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_27.nf.pp.mzML
29	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_28.nf.pp.mzML
30	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_29.nf.pp.mzML
31	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_30.nf.pp.mzML
32	Aqua	A	https://abibuilder.informatik.uni-tuebingen.de/archive/openms/Tutorials/Data/latest/Example_Data/OpenSWATH/data/split_napedro_L120420_010_SW-400AQUA__human_2ul_dilution_1_31.nf.pp.mzML
