group_id,subject_id,sample_id,sample_type,sequence_type,filetype,info,filepath
HCC1395,HCC1395,HCC1395.normal_dna,normal,dna,fastq,library_id:HCC1395__normal_wgs__WGS_IL_N_1__SRR7890859__subsampled__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7890859__subsampled.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7890859__subsampled.2.fastq.gz
HCC1395,HCC1395,HCC1395.normal_dna,normal,dna,fastq,library_id:HCC1395__normal_wgs__WGS_IL_N_1__SRR7945633__subsampled__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7945633__subsampled.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7945633__subsampled.2.fastq.gz
HCC1395,HCC1395,HCC1395.normal_dna,normal,dna,fastq,library_id:HCC1395__normal_wgs__WGS_IL_N_1__SRR7945634__subsampled__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7945634__subsampled.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7945634__subsampled.2.fastq.gz
HCC1395,HCC1395,HCC1395.normal_dna,normal,dna,fastq,library_id:HCC1395__normal_wgs__WGS_IL_N_1__SRR7945663__subsampled__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7945663__subsampled.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__normal_wgs__WGS_IL_N_1__SRR7945663__subsampled.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_1__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_1.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_1.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_2__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_2.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_2.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_3__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_3.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_3.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_4__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_4.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_4.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_5__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_5.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_5.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_6__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_6.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_6.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_7__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_7.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_7.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_dna,tumor,dna,fastq,library_id:HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_8__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_8.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wgs__WGS_IL_T_1__SRR7890856__subsampled__split_8.2.fastq.gz
HCC1395,HCC1395,HCC1395.tumor_rna,tumor,rna,fastq,library_id:HCC1395__tumour_wts__2891075264__SRR892423__subsampled__library;lane:001,https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wts__2891075264__SRR892423__subsampled.1.fastq.gz;https://pub-349bcb8decb44bf7acbddf90b270a061.r2.dev/HCC1395-SRA/25.0/data/wgts/fastq/HCC1395__tumour_wts__2891075264__SRR892423__subsampled.2.fastq.gz
