sample,condition,assay,signal,control
WT_L1_H3K4me3_R1,L1,H3K4me3,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K4me3_R1.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K4me3_R2,L1,H3K4me3,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K4me3_R2.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K27ac_R1,L1,H3K27ac,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K27ac_R1.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K27ac_R2,L1,H3K27ac,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K27ac_R2.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K27ac_R3,L1,H3K27ac,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K27ac_R3.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K27me3_R1,L1,H3K27me3,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K27me3_R1.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K27me3_R2,L1,H3K27me3,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K27me3_R2.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K4me1_R1,L1,H3K4me1,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K4me1_R1.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L1_H3K4me1_R2,L1,H3K4me1,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_H3K4me1_R2.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L1/WT_L1_CONTROL_R1.mLb.clN.sorted.bam
WT_L10_H3K27ac_R1,L10,H3K27ac,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L10/WT_L10_H3K27ac_R1.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/L10/WT_L10_CONTROL_R1.mLb.clN.sorted.bam
WT_p6_H3K4me3_R1,p6,H3K4me3,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/p6/WT_p6_H3K4me3_R1.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/p6/WT_p6_CONTROL_R1.mLb.clN.sorted.bam
WT_p6_H3K27ac_R1,p6,H3K27ac,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/p6/WT_p6_H3K27ac_R1.mLb.clN.sorted.bam,https://raw.githubusercontent.com/nf-core/test-datasets/tfactivity/bams/p6/WT_p6_CONTROL_R1.mLb.clN.sorted.bam
