"sample","fastq_1","fastq_2","strandedness","type","sample_description","pair","treatment"
"SRX11780879","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780879_SRR15480782_1.fastq.gz","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780879_SRR15480782_2.fastq.gz","auto","rnaseq","PM2_5_0_1",1,"control"
"SRX11780880","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780880_SRR15480783_1.fastq.gz","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780880_SRR15480783_2.fastq.gz","auto","rnaseq","PM2_5_0_2",2,"control"
"SRX11780881","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780881_SRR15480784_1.fastq.gz","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780881_SRR15480784_2.fastq.gz","auto","rnaseq","PM2_5_0_3",3,"control"
"SRX11780882","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780882_SRR15480785_1.fastq.gz","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780882_SRR15480785_2.fastq.gz","auto","rnaseq","PM2_5_400_1",4,"treated"
"SRX11780883","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780883_SRR15480786_1.fastq.gz","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780883_SRR15480786_2.fastq.gz","auto","rnaseq","PM2_5_400_2",5,"treated"
"SRX11780884","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780884_SRR15480787_1.fastq.gz","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780884_SRR15480787_2.fastq.gz","auto","rnaseq","PM2_5_400_3",6,"treated"
"SRX11780885","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780885_SRR15480788_1.fastq.gz","","auto","riboseq","Ribo-seq_C01",1,"control"
"SRX11780886","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780886_SRR15480789_1.fastq.gz","","auto","riboseq","Ribo-seq_C02",2,"control"
"SRX11780887","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780887_SRR15480790_1.fastq.gz","","auto","riboseq","Ribo-seq_C03",3,"control"
"SRX11780888","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780888_SRR15480791_1.fastq.gz","","auto","riboseq","Ribo-seq_P4001",4,"treated"
"SRX11780889","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780889_SRR15480792_1.fastq.gz","","auto","riboseq","Ribo-seq_P4002",5,"treated"
"SRX11780890","s3://ngi-igenomes/nf-core/pipelines/riboseq/1.0/fastq/SRX11780890_SRR15480793_1.fastq.gz","","auto","riboseq","Ribo-seq_P4003",6,"treated"
