sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
FOXA1_IP_VEH,s3://ngi-igenomes/test-data/chipseq/SRX747791_T1.fastq.gz,,1,FOXA1,INPUT_VEH,1
FOXA1_IP_VEH,s3://ngi-igenomes/test-data/chipseq/SRX747792_T1.fastq.gz,,2,FOXA1,INPUT_VEH,2
FOXA1_IP_E2,s3://ngi-igenomes/test-data/chipseq/SRX747793_T1.fastq.gz,,1,FOXA1,INPUT_E2,1
FOXA1_IP_E2,s3://ngi-igenomes/test-data/chipseq/SRX747794_T1.fastq.gz,,2,FOXA1,INPUT_E2,2
INPUT_VEH,s3://ngi-igenomes/test-data/chipseq/SRX747767_T1.fastq.gz,,1,,,
INPUT_VEH,s3://ngi-igenomes/test-data/chipseq/SRX747768_T1.fastq.gz,,2,,,
INPUT_E2,s3://ngi-igenomes/test-data/chipseq/SRX747769_T1.fastq.gz,,1,,,
INPUT_E2,s3://ngi-igenomes/test-data/chipseq/SRX747770_T1.fastq.gz,,2,,,
EZH2_IP_NTKO,s3://ngi-igenomes/test-data/chipseq/SRX541384_T1.fastq.gz,,1,EZH2,INPUT_NTKO_REP1
EZH2_IP_NTKO,s3://ngi-igenomes/test-data/chipseq/SRX541385_T1.fastq.gz,,2,EZH2,INPUT_NTKO_REP2
EZH2_IP_TKO,s3://ngi-igenomes/test-data/chipseq/SRX541386_T1.fastq.gz,,1,EZH2,INPUT_TKO_REP1
EZH2_IP_TKO,s3://ngi-igenomes/test-data/chipseq/SRX541387_T1.fastq.gz,,2,EZH2,INPUT_TKO_REP2
INPUT_NTKO,s3://ngi-igenomes/test-data/chipseq/SRX541388_T1.fastq.gz,,1,,,
INPUT_NTKO,s3://ngi-igenomes/test-data/chipseq/SRX541389_T1.fastq.gz,,2,,,
INPUT_TKO,s3://ngi-igenomes/test-data/chipseq/SRX541390_T1.fastq.gz,,1,,,
INPUT_TKO,s3://ngi-igenomes/test-data/chipseq/SRX541391_T1.fastq.gz,,2,,,
