sample,fasta
ERZ1664520,s3://ngi-igenomes/test-data/funcscan/ERZ1664520_FASTA.fasta.gz
ERZ1664518,s3://ngi-igenomes/test-data/funcscan/ERZ1664518_FASTA.fasta.gz
ERZ1664517,s3://ngi-igenomes/test-data/funcscan/ERZ1664517_FASTA.fasta.gz
ERZ1664528,s3://ngi-igenomes/test-data/funcscan/ERZ1664528_FASTA.fasta.gz
ERZ1664524,s3://ngi-igenomes/test-data/funcscan/ERZ1664524_FASTA.fasta.gz
ERZ1664523,s3://ngi-igenomes/test-data/funcscan/ERZ1664523_FASTA.fasta.gz
ERZ1664521,s3://ngi-igenomes/test-data/funcscan/ERZ1664521_FASTA.fasta.gz
ERZ1664516,s3://ngi-igenomes/test-data/funcscan/ERZ1664516_FASTA.fasta.gz
ERZ1664515,s3://ngi-igenomes/test-data/funcscan/ERZ1664515_FASTA.fasta.gz
ERZ1664511,s3://ngi-igenomes/test-data/funcscan/ERZ1664511_FASTA.fasta.gz
ERZ1664510,s3://ngi-igenomes/test-data/funcscan/ERZ1664510_FASTA.fasta.gz
ERZ1664509,s3://ngi-igenomes/test-data/funcscan/ERZ1664509_FASTA.fasta.gz
ERZ1664508,s3://ngi-igenomes/test-data/funcscan/ERZ1664508_FASTA.fasta.gz
ERZ1664507,s3://ngi-igenomes/test-data/funcscan/ERZ1664507_FASTA.fasta.gz
ERZ1664506,s3://ngi-igenomes/test-data/funcscan/ERZ1664506_FASTA.fasta.gz
ERZ1664505,s3://ngi-igenomes/test-data/funcscan/ERZ1664505_FASTA.fasta.gz
ERZ1664504,s3://ngi-igenomes/test-data/funcscan/ERZ1664504_FASTA.fasta.gz
ERZ1664503,s3://ngi-igenomes/test-data/funcscan/ERZ1664503_FASTA.fasta.gz
ERZ1664501,s3://ngi-igenomes/test-data/funcscan/ERZ1664501_FASTA.fasta.gz
