sample_id,enabled,name,report_group_ids,color_by,ref_group_ids,gcf_id,strain,host,source,generic_source,country,year,given_species_name,fastani_derived_species,lineage,phylogroup,assembly_method,sequence_type,sequencing_technology,assembly_length,num_contigs,wgGC_content,grimont_biotype,ncbi_accession,BioProject,dataset_in_paper,publication_doi,ploidy
26968_7_1,TRUE,26968_7_1,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4026,Caprifig,Caprifig,Plant,USA,1977,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5162389,18,60.18,Sfic,ERR3566421,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF02602859,1
26968_7_10,TRUE,26968_7_10,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,5492,,,,Unknown,Unknown,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5321316,65,60.08,Sfic,ERR3566430,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_100,TRUE,26968_7_100,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9904872,,,,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5605141,42,55.21,RQ,ERR3566520,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_102,TRUE,26968_7_102,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,336,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5561448,20,54.87,,ERR3566522,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_104,TRUE,26968_7_104,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107435,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4936795,39,59.25,,ERR3566524,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_106,TRUE,26968_7_106,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,BC+B,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5086893,36,58.99,,ERR3566526,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_107,TRUE,26968_7_107,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A14,,Montalto (Canterbury; New Zealand); mature pasture; 122 grass grubs/m2; 32% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,18,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4960185,18,59.09,Sen 2,ERR3566527,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_108,TRUE,26968_7_108,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3.88,,,,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5150684,9,55.43,,ERR3566528,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_109,TRUE,26968_7_109,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3894,,,,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5429675,19,55.23,RB,ERR3566529,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_11,TRUE,26968_7_11,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A13,,Wakanui (Canterbury; New Zealand); mature pasture; 100-200 grass grubslm2; 3% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4977556,38,59.21,,ERR3566431,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
