Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DA10	DA10	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2505849/ERR2505849.fastq.gz	NA	NA
DA100	DA100	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/004/ERR2505844/ERR2505844.fastq.gz	NA	NA
DA101	DA101	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/005/ERR2505845/ERR2505845.fastq.gz	NA	NA
DA104	DA104	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/006/ERR2505846/ERR2505846.fastq.gz	NA	NA
DA105	DA105	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/007/ERR2505847/ERR2505847.fastq.gz	NA	NA
DA106	DA106	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2505848/ERR2505848.fastq.gz	NA	NA
DA11	DA11	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/006/ERR2505856/ERR2505856.fastq.gz	NA	NA
DA111	DA111	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2505850/ERR2505850.fastq.gz	NA	NA
DA112	DA112	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2505851/ERR2505851.fastq.gz	NA	NA
DA116	DA116	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/002/ERR2505852/ERR2505852.fastq.gz	NA	NA
DA117	DA117	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/003/ERR2505853/ERR2505853.fastq.gz	NA	NA
DA118	DA118	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/004/ERR2505854/ERR2505854.fastq.gz	NA	NA
DA119	DA119	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/005/ERR2505855/ERR2505855.fastq.gz	NA	NA
DA121	DA121	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/007/ERR2505857/ERR2505857.fastq.gz	NA	NA
DA123	DA123	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2505858/ERR2505858.fastq.gz	NA	NA
DA124	DA124	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2505859/ERR2505859.fastq.gz	NA	NA
DA125	DA125	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2505860/ERR2505860.fastq.gz	NA	NA
DA126	DA126	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2505861/ERR2505861.fastq.gz	NA	NA
DA127	DA127	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/002/ERR2505862/ERR2505862.fastq.gz	NA	NA
DA128	DA128	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/003/ERR2505863/ERR2505863.fastq.gz	NA	NA
DA129	DA129	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/004/ERR2505864/ERR2505864.fastq.gz	NA	NA
DA13	DA13	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2505868/ERR2505868.fastq.gz	NA	NA
DA130	DA130	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/005/ERR2505865/ERR2505865.fastq.gz	NA	NA
DA134	DA134	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/006/ERR2505866/ERR2505866.fastq.gz	NA	NA
DA136	DA136	1	4	single	Homo sapiens	double	none	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR259/004/ERR2592344/ERR2592344.fastq.gz	NA	NA
