Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
0,0,0,0,0,0,0,0,0,0
1,2904,534,2266,0,269267780,25785672,15470239,11477083,263268344
2,8616,1071,5652,0,868513954,82164786,49295416,28650902,666373907
3,11239,1957,8445,0,1111998376,107925674,64750888,44687885,1015404935
4,14152,2509,8513,0,1751837683,187826394,112690153,51589412,1103792141
5,17061,3525,8603,0,2494899002,279557428,167727605,70360139,1348125458
6,20059,5004,8731,0,3254711929,373579454,224139631,95829702,1676768616
7,23019,7831,9310,0,4009061304,467062357,280228169,149179073,2384224328
8,26041,9270,9404,0,4740627464,557736839,334631637,174414314,2709531683
9,29084,12029,9609,0,5508643419,652748111,391637196,227244649,3389134245
10,32107,15512,9850,0,6251661651,744618227,446758046,290791359,4217593320
11,35013,16803,9935,0,6992574529,836416566,501835905,313919174,4512664646
12,37903,20189,10151,0,7730336363,927785413,556656050,379098546,5374548161
13,40745,23557,10388,0,8461107268,1018014203,610792199,444618915,6242312035
14,43493,26723,10596,0,9206162133,1109440944,665647138,503130770,7011867291
15,46274,28564,10707,0,9946956450,1200565148,720320556,541256279,7529316073
16,49028,31339,10837,0,10678772957,1290750285,774430537,589141183,8151892615
17,51735,34184,10987,0,11423899707,1382429366,829436905,640534661,8824471471
18,54438,36181,11140,0,12146292341,1471352295,882789559,676059318,9298956255
19,57227,37631,11201,0,12895193254,1563888218,938309992,700221484,9608621329
20,59990,43696,11521,0,13629264472,1654211459,992502854,813005613,11096809018
21,62834,46526,11659,0,14363572073,1744686427,1046786710,862225101,11740346535
22,65576,47958,11736,0,15096471507,1834961204,1100950468,890385758,12119566964
23,68422,53519,12040,0,15859235459,1928578391,1157119640,997783912,13537703730
24,71294,54792,12097,0,16594472707,2019132687,1211451056,1018498292,13805009799
25,74093,56013,12165,0,17308540285,2107104756,1264233179,1039374710,14077424144
26,76846,57763,12265,0,18044817528,2197674008,1318573630,1071046161,14491812336
27,79597,62764,12543,0,18812912275,2291970140,1375150228,1171140432,15849111607
