accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_000008085.1	0	98.72	0.38	Specific	73.13	0	149	k__Archaea (UID2)	107	0	462902	94.2994795114945	1	154921	31.559530236206	490885	GB_GCA_000008085.1	t	d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Nanobdellales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	type strain of species	LPSN	t	1	1	490885	490885	490885	1	2958	AE017199.1	490885	1	99	AE017199.1	2888	1592	0	77.424	APJZ01000002.49237.52085	Archaea;Nanoarchaeota;Nanoarchaeia;Nanoarchaeales;Nanopusillaceae;Candidatus Nanopusillus;Candidatus Nanopusillus sp. Nst1	490885	490885	f	f	t	490885	490885	Complete Genome	ASM808v1	na	PRJNA9599	SAMN02603208	none	none	none	2003-12-18	GCA_000008085.1	none	full	na	none	none	1	0	Nanoarchaeum equitans Kin4-M	536	na	17	1	1	490885	490885	490885	2003/12/18	0	160232	0	Kin4-M	DIVERSA	228908	d__Archaea;p__Nanoarchaeota;c__Candidatus Nanoarchaeia;o__Nanoarchaeales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans	d__Archaea;x__DPANN group;p__Nanoarchaeota;c__Candidatus Nanoarchaeia;o__Nanoarchaeales;f__Nanoarchaeaceae;g__Nanoarchaeum;s__Nanoarchaeum equitans;x__Nanoarchaeum equitans Kin4-M	0	490885	11	0	na	490885	0	na	583	1	490885	1	none	none	none	none	none	none	1499	AE017199.1	1499	2769	0	100	AJ318041.1.1500	Archaea;Nanoarchaeota;Nanoarchaeia;Nanoarchaeales;Nanoarchaeaceae;Nanoarchaeum;Nanoarchaeum equitans	0	18	39	0
GB_GCA_000016605.1	0				100	0	217	c__Thermoprotei (UID147)	168	0	1950859	89.0186569394625	1	1013036	46.2253315853813	2191517	GB_GCA_000016605.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	type strain of species	LPSN	t	1	1	2191517	2191517	2191517	1	3032	CP000682.1	none	0	none	none	3032	5600	0	100	CP008822.1706923.1709976	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	2191517	2191517	f	f	t	2191517	2191517	Complete Genome	ASM1660v1	na	PRJNA17447	SAMN02598389	none	none	none	2007-04-25	GCA_000016605.1	none	full	none	none	none	1	none	Metallosphaera sedula DSM 5348	none	na	none	1	1	2191517	2191517	2191517	2007/04/25	0	43687	none	DSM 5348	US DOE Joint Genome Institute	399549	d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula;x__Metallosphaera sedula DSM 5348	0	2191517	none	none	none	2191517	0	none	2391	1	2191517	1	none	none	none	none	none	none	1495	CP000682.1	1495	2761	0	100	CP012174.1705278.1706785	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	0	19	47	0
GB_GCA_009665115.1	0	94.27	0.99	Specific	98.71	2.43	145	k__Archaea (UID2)	103	33.33	1883256	74.1740446614354	521	997914	39.3039064281604	2538969	GB_GCA_009665115.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrosopolaris;s__Nitrosopolaris sp009665115	not type material	none	f	108	108	61905	61905	14434	1	2961	WJXE01000020.1	16420	1	110	WJXE01000015.1	2967	4159	0	92.08	JQ768092.27195.30160	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;uncultured archaeon	4873	4873	t	f	f	6780	6780	Contig	ASM966511v1	na	PRJNA548371	SAMN11973982	521	6780	Canada: Axel Heiberg Island; Nunavut	2019-11-17	GCA_009665115.1	derived from metagenome	full	AHI_AL_Thaum02	high Arctic active layer soil extracted from 5 cm from permafrost core after 12 months of incubation at 4.5C	79.4161 N 90.76295 W	0	0	Nitrosopumilales archaeon	none	na	3	none	none	none	none	none	2019/11/17	0	2026768	1	AHI_AL_Thaum02	Princeton University	2026768	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;x__unclassified Nitrosopumilales;s__Nitrosopumilales archaeon	0	2538969	11	36	na	2538969	0	WJXE00000000.1	3275	521	14434	1	none	none	none	none	none	none	1467	WJXE01000020.1	1437	2599	0	99.304	FJ468484.1.1439	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Incertae Sedis;uncultured crenarchaeote	0	19	36	0
GB_GCA_009777615.1	0	99.05	3.04	Specific	97.98	2.42	187	p__Euryarchaeota (UID3)	124	0	1457409	89.9783482833282	8	846448	52.2617160801243	1619733	GB_GCA_009777615.1	t	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma cognatum	type strain of species	LPSN	f	3	2	478883	648276	648276	1	2891	WRLM01000001.1	267672	1	114	WRLM01000002.1	2890	4761	0	96.436	CP010070.159804.162705	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;Candidatus Methanoplasma termitum	202454	231390	t	f	f	219639	267672	Scaffold	ASM977761v1	na	PRJNA560329	SAMN12582139	8	219639	Republic of the Congo: Pointe-Noire	2019-12-20	GCA_009777615.1	derived from metagenome	full	Th196P3_bin2	P3 gut compartment	4.42 S 11.4949 E	0	0	Candidatus Methanoplasma cognatum	none	na	3	7	2	267672	189613	102773	2019/12/20	1	3136098	1	Th196P3_bin2	Max Planck Institute for Terrestrial Microbiology	3136098	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanoplasma;s__Candidatus Methanoplasma cognatum	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanoplasma;s__Candidatus Methanoplasma cognatum	100	1619733	11	45	assembly from type material	1619633	0	WRLM00000000.1	1464	7	648276	1	none	none	none	none	none	none	1469	WRLM01000001.1	1469	2575	0	98.298	JX648297.1.1470	Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;uncultured Methanomassiliicoccales archaeon	100	19	46	0
GB_GCA_022749835.1	0	82.41	2.07	General	88.67	3.78	188	p__Euryarchaeota (UID3)	125	42.86	1558493	89.4920321012835	311	1193475	68.5319106419338	1741488	GB_GCA_022749835.1	t	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__UBA184;s__UBA184 sp022749835	not type material	none	f	78	78	38393	38393	3971	1	205	JAKIWY010000168.1	9513	1	117	JAKIWY010000044.1	103	89.8	1.12E-16	82.524	MIZB01000208.1.2612	Archaea;Thermoplasmatota;Thermoplasmata;Marine Group II;Incertae Sedis;Incertae Sedis;marine metagenome	5599	5599	f	f	t	7290	7290	Contig	ASM2274983v1	na	PRJNA795910	SAMN24802899	311	7290	United Kingdom: Scotland	2022-03-29	GCA_022749835.1	derived from metagenome	full	SubAcS9-61	acidic soil	57.44707 N 3.003299 W	0	0	Thermoplasmata archaeon	none	na	3	none	none	none	none	none	2022/03/29	0	1906666	1	SubAcS9-61	University of Aberdeen	1906666	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;x__unclassified Thermoplasmata;s__Thermoplasmata archaeon	0	1741488	11	35	na	1741488	0	JAKIWY000000000.1	1839	311	8521	1	none	none	none	none	none	none	1467	JAKIWY010000056.1	1435	2394	0	96.794	FJ468485.1.1442	Archaea;Thermoplasmatota;Thermoplasmata;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured crenarchaeote	0	17	35	0
GB_GCA_038878475.1	3	93.45	0.05	Specific	80.84	0	149	k__Archaea (UID2)	107	0	634152	91.6309285739056	45	315250	45.7296287377897	692072	GB_GCA_038878295.1	f	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__CABMGC01;g__JAVZDR01;s__JAVZDR01 sp038878295	not type material	none	f	10	9	59287	64281	none	0	none	none	17410	1	106	JAVZVN010000017.1	none	none	none	none	none	none	15319	18212	f	f	t	24981	25541	Scaffold	ASM3887847v1	na	PRJNA544494	SAMN36037578	45	24981	none	2024-04-30	GCA_038878475.1	derived from metagenome	full	DRTY-9_201705_bins_14	none	none	0	0	Candidatus Micrarchaeaceae archaeon	none	na	2	38	9	25541	19282	9229	2024/04/30	7	2953041	1	DRTY-9_201705_bins_14	The University of Texas at Austin	2953041	d__Archaea;p__Candidatus Micrarchaeota;c__Candidatus Micrarchaeia;o__Candidatus Micrarchaeales;f__Candidatus Micrarchaeaceae;g__;s__	d__Archaea;x__DPANN group;p__Candidatus Micrarchaeota;c__Candidatus Micrarchaeia;o__Candidatus Micrarchaeales;f__Candidatus Micrarchaeaceae;x__unclassified Candidatus Micrarchaeaceae;s__Candidatus Micrarchaeaceae archaeon	2691	692072	11	39	na	689381	0	JAVZVN000000000.1	755	38	25541	1	none	none	none	none	none	none	230	JAVZVN010000009.1	231	289	1.31E-76	89.61	MH463123.1.1413	Archaea;Micrarchaeota;Micrarchaeia;Micrarchaeales;Micrarchaeaceae;Candidatus Micrarchaeum;uncultured DPANN archaeon	2691	18	39	0
GB_GCA_001940665.2	0	98.22	0.38	General	96.26	1.4	149	k__Archaea (UID2)	107	0	1280518	90.2873855382865	1	538795	37.9896197406839	1418269	GB_GCA_001940665.2	t	d__Archaea;p__Asgardarchaeota;c__Odinarchaeia;o__Odinarchaeales;f__Odinarchaeaceae;g__Odinarchaeum;s__Odinarchaeum yellowstonii	type strain of species	LPSN	f	1	1	1418269	1418269	1418269	1	3069	CP091871.1	none	0	none	none	3067	5664	0	100	MDVT01000007.654100.657172	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Odinarchaeota archaeon LCB_4	1418269	1418269	f	f	t	1418269	1418269	Complete Genome	ASM194066v2	na	PRJNA319486	SAMN04924820	none	none	USA: Yellowstone National Park; Wyoming; lower Culex Basin hot spring	2023-03-23	GCA_001940665.2	derived from metagenome	full	LCB_4	lower Culex Basin hot spring	44 N 110 W	1	0	Candidatus Odinarchaeum yellowstonii	1584	na	2	1	1	1418269	1418269	1418269	2023/03/23	0	1841599	1	LCB_4	Uppsala University	1841599	d__Archaea;p__Candidatus Odinarchaeota;c__Candidatus Odinarchaeia;o__Candidatus Odinarchaeales;f__Candidatus Odinarchaeaceae;g__Candidatus Odinarchaeum;s__Candidatus Odinarchaeum yellowstonii	d__Archaea;x__Asgard group;p__Candidatus Odinarchaeota;c__Candidatus Odinarchaeia;o__Candidatus Odinarchaeales;f__Candidatus Odinarchaeaceae;g__Candidatus Odinarchaeum;s__Candidatus Odinarchaeum yellowstonii	0	1418269	11	47	assembly from type material	1418269	0	na	1504	1	1418269	1	none	none	none	none	none	none	1543	CP091871.1	1543	2850	0	100	MDVT01000007.652378.653923	Archaea;Asgardarchaeota;Lokiarchaeia;Odinarchaeales;Incertae Sedis;LCB-4;Candidatus Odinarchaeota archaeon LCB_4	0	20	46	0
GB_GCA_029240395.1	0	59.66	0.5	Specific	68.45	1.78	145	k__Archaea (UID2)	103	66.67	676329	84.9909395475554	88	332876	41.8308899852469	795766	GB_GCA_029240395.1	t	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__TH5893 sp029240395	not type material	none	f	22	22	30993	30993	none	0	none	none	20626	1	109	JAREAJ010000017.1	none	none	none	none	none	none	9042	9042	f	f	t	11165	11165	Contig	ASM2924039v1	na	PRJNA725542	SAMN20418646	88	11165	USA: Colorado; Fort Collins	2023-03-17	GCA_029240395.1	derived from metagenome	full	C_No_T5_bin.4	agricultural soil	40.6529 N 104.9995 W	0	0	Nitrososphaeraceae archaeon	none	na	0	none	none	none	none	none	2023/03/17	0	2169593	0	C_No_T5_bin.4	Colorado State University	2169593	d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__;s__	d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;x__unclassified Nitrososphaeraceae;s__Nitrososphaeraceae archaeon	0	795766	11	0	na	795766	0	JAREAJ000000000.1	907	88	5114	1	none	none	none	none	none	none	377	JAREAJ010000062.1	376	684	0	99.468	FN691539.1.905	Archaea;Thermoproteota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Candidatus Nitrososphaera;uncultured archaeon	0	15	25	0
GB_GCA_015521205.1	0	55.45	0	Specific	68.57	0	245	c__Thermoprotei (UID148)	158	0	698550	90.8599010692996	49	353241	45.9458053304996	768821	GB_GCA_015521205.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__S143-140;s__S143-140 sp015521205	not type material	none	f	10	10	102803	102803	none	0	none	none	38113	1	92	WAOQ01000004.1	none	none	none	none	none	none	15690	15690	f	f	t	25052	25052	Contig	ASM1552120v1	na	PRJNA546572	SAMN12837301	49	25052	Pacific Ocean	2020-11-16	GCA_015521205.1	derived from metagenome	full	S143_140_esom	deep-sea hydrothermal deposit	34.86107624 S 179.0576384 E	0	0	Desulfurococcales archaeon	none	na	2	none	none	none	none	none	2020/11/16	0	2480821	1	S143_140_esom	Portland State University	2480821	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__;g__;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;x__unclassified Desulfurococcales;s__Desulfurococcales archaeon	0	768821	11	27	na	768821	0	WAOQ00000000.1	860	49	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	15	27	0
RS_GCF_016757965.1	0	99.99	0.13	Specific	100	0	228	p__Euryarchaeota (UID49)	153	0	1965725	92.9057966014219	32	974308	46.0485881164141	2115826	RS_GCF_016757965.1	t	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus neptunius	type strain of species	LPSN	f	7	7	216750	216750	128314	1	2927	NZ_JAEKIW010000009.1	216750	1	114	NZ_JAEKIW010000001.1	2933	4807	0	96.352	LGEQ01000011.5173.8104	Archaea;Halobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus	66119	66119	t	f	f	138848	138848	Contig	ASM1675796v1	na	PRJNA224116	SAMN17126929	32	138848	Atlantic Ocean: Mid-Atlantic Ridge	2021-01-27	GCA_016757965.1	none	full	na	marine hydrothermal vent chimney ENVO:01000129	26.1369 N 44.8261 W	0	0	Archaeoglobus neptunius	none	representative genome	3	none	none	none	none	none	2021/01/27	0	2798580	1	SE56	Research Center of Biotechnology RAS	2798580	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus neptunius	d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Archaeoglobus;s__Archaeoglobus neptunius	0	2115826	11	47	assembly from type material	2115826	0	JAEKIW000000000.1	2446	32	128314	1	none	none	none	none	none	none	1492	NZ_JAEKIW010000009.1	1493	2645	0	98.66	AE000782.1788987.1790478	Archaea;Halobacteriota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;Archaeoglobus fulgidus DSM 4304	0	19	47	0
