accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_026414015.1	0	72.68	0.05	Specific	85.55	0	245	c__Thermoprotei (UID148)	158	0	1031763	86.55708081271608	17	495678	41.58742304265312	1192003	GB_GCA_025058535.1	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera sp025058535	not type material	none	f	2	1	570175	706013	281158	1	3068	JAOAJU010000002.1	none	0	none	none	3069	4331	0	92.212	CP002098.1280852.1283921	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignisphaeraceae;Ignisphaera;Ignisphaera aggregans DSM 17230	70111	79466	f	f	t	281158	706013	Scaffold	ASM2641401v1	na	PRJEB4990	SAMN30305257	17	281158	Malaysia: Sungkai; Perak	2022-11-27	GCA_026414015.1	derived from metagenome	full	SKW276	alkaline hot spring water	3.9966 N 101.3931 E	0	0	Ignisphaera sp.	none	na	2	15	1	706013	281158	191623	2022/11/27	2	2268142	0	SKW276	Universiti Teknologi Malaysia - Malaysia	2268142	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;x__unclassified Ignisphaera;s__Ignisphaera sp.	109	1192003	11	36	na	1191894	0	JAOAJU000000000.1	1213	15	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	109	18	36	0
GB_GCA_038835805.1	0	84.75	0.04	Specific	94.94	0	245	c__Thermoprotei (UID148)	158	0	1108145	86.12537062871843	35	450794	35.059172863154636	1286665	GB_GCA_038821645.1	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera sp038821645	not type material	none	f	9	7	111146	119802	60720	1	3299	JAWBHC010000010.1	none	0	none	none	2989	4316	0	92.84	CP002098.1280852.1283921	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignisphaeraceae;Ignisphaera;Ignisphaera aggregans DSM 17230	36737	49487	f	f	t	58783	69101	Scaffold	ASM3883580v1	na	PRJNA544494	SAMN36038872	35	58783	none	2024-04-30	GCA_038835805.1	derived from metagenome	full	GMQP_201912_bins_30	none	none	0	0	Ignisphaera sp.	none	na	3	26	7	69101	51891	35341	2024/04/30	9	2268142	1	GMQP_201912_bins_30	The University of Texas at Austin	2268142	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;x__unclassified Ignisphaera;s__Ignisphaera sp.	856	1286665	11	45	na	1285809	0	JAWBHC000000000.1	1335	26	60720	1	none	none	none	none	none	none	1504	JAWBHC010000010.1	1363	2499	0	99.78	EU530578.1.1365	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignisphaeraceae;Ignisphaera;uncultured Ignisphaera sp.	856	19	45	0
RS_GCF_038876035.1	0	99.99	0.74	Specific	100	0	217	c__Thermoprotei (UID147)	168	0	1942634	89.91711070543845	9	998102	46.20455415541568	2160472	RS_GCF_000016605.1	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	not type material	none	f	3	2	454150	675189	126908	2	2469	NZ_JAVYZH010000005.1	none	0	none	none	2469	4543	0	99.878	CP012175.1706975.1709877	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	240020	360078	f	f	t	352734	454150	Scaffold	ASM3887603v1	na	PRJNA224116	SAMN36037000	9	352734	none	2024-04-30	GCA_038876035.1	derived from metagenome	full	DRTY-3_201907_bins_8	none	none	0	0	Metallosphaera sp.	none	na	4	6	2	454150	336734	126908	2024/04/30	3	2020860	1	DRTY-3_201907_bins_8	The University of Texas at Austin	2020860	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;x__unclassified Metallosphaera;s__Metallosphaera sp.	291	2160472	11	45	na	2160181	0	JAVYZH000000000.1	2353	6	126908	1	none	none	none	none	none	none	1495	NZ_JAVYZH010000005.1	1495	2750	0	99.866	CP012175.1705280.1706787	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	291	18	46	0
GB_GCA_038820005.1	0	85.09	0.69	Specific	86.94	0	245	c__Thermoprotei (UID148)	158	0	1430355	84.10948690069958	43	639637	37.66272612668099	1700587	GB_GCA_038820005.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera sp038820005	not type material	none	f	7	3	167593	654561	43118	2	1186	JAWAXP010000011.1	none	0	none	none	1182	1546	0	90.44	CP002098.1280852.1283921	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignisphaeraceae;Ignisphaera;Ignisphaera aggregans DSM 17230	39496	85029	f	f	t	89166	112378	Scaffold	ASM3882000v1	na	PRJNA544494	SAMN36038477	43	89166	none	2024-04-30	GCA_038820005.1	derived from metagenome	full	ZZQ_201803_bins_118	none	none	0	0	Ignisphaera sp.	none	na	4	20	3	112378	76329	42020	2024/04/30	23	2268142	1	ZZQ_201803_bins_118	The University of Texas at Austin	2268142	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;x__unclassified Ignisphaera;s__Ignisphaera sp.	2258	1700587	11	40	na	1698329	0	JAWAXP000000000.1	1637	20	43118	1	none	none	none	none	none	none	1505	JAWAXP010000011.1	1510	2246	0	93.642	JF509453.1.1510	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignisphaeraceae;Ignisphaera;Desulfurococcaceae archaeon CSC-16S	2258	19	40	0
RS_GCF_001315825.1	0	75.56	1.69	Specific	95.34	0.6	217	c__Thermoprotei (UID147)	168	0	1937308	81.12996025389599	129	1034419	43.319065608501504	2387907	RS_GCF_003201675.2	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera hakonensis	type strain of species	LPSN	f	10	10	269819	269819	195068	1	3028	NZ_BBBA01000002.1	none	0	none	none	3028	5592	0	100	BBBA01000002.167854.170896	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera hakonensis JCM 8857	18510	18510	f	f	t	59396	59396	Contig	ASM131582v1	na	PRJNA224116	SAMD00000474	129	59396	none	2015-10-01	GCA_001315825.1	none	full	na	none	none	0	0	Metallosphaera hakonensis JCM 8857 = DSM 7519	none	na	3	none	none	none	none	none	2015/10/01	0	79601	1	JCM 8857	The University of Tokyo	1293036	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera hakonensis	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera hakonensis;x__Metallosphaera hakonensis JCM 8857 = DSM 7519	0	2387907	11	46	assembly from type material	2387907	0	BBBA00000000.1	3387	129	195068	1	none	none	none	none	none	none	1492	NZ_BBBA01000002.1	1495	2741	0	99.799	CP029287.1908939.1910446	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera hakonensis	0	19	45	0
RS_GCF_038876855.1	0	99.98	0.76	Specific	100	0	217	c__Thermoprotei (UID147)	168	0	1892992	90.30183743310815	29	968580	46.205939823225	2096294	RS_GCF_000016605.1	f	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	not type material	none	f	6	6	357390	357390	54974	1	347	NZ_JAVYXT010000014.1	none	0	none	none	347	636	0	99.712	CP008822.1706923.1709976	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	72283	95286	f	f	t	121476	123061	Scaffold	ASM3887685v1	na	PRJNA224116	SAMN36036960	29	121476	none	2024-04-30	GCA_038876855.1	derived from metagenome	full	DRTY-3_201803_bins_12	none	none	0	0	Metallosphaera sp.	none	na	3	22	6	123061	84425	52821	2024/04/30	7	2020860	1	DRTY-3_201803_bins_12	The University of Texas at Austin	2020860	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;x__unclassified Metallosphaera;s__Metallosphaera sp.	70	2096294	11	44	na	2096224	0	JAVYXT000000000.1	2311	22	123061	1	none	none	none	none	none	none	313	NZ_JAVYXT010000006.1	313	556	4.57e-157	98.722	D26491.822.2317	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	70	19	45	0
GB_GCA_038729375.1	0	78.64	0.14	Specific	84.62	0.85	187	p__Euryarchaeota (UID3)	124	100	1078855	90.43073951943725	137	540113	45.273208561887266	1193018	GB_GCA_038883835.1	f	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__UBA447;s__UBA447 sp038883835	not type material	none	f	33	33	48734	48734	11118	1	1011	JAVYSD010000033.1	none	0	none	none	1012	1168	0	87.648	ATMF01000013.26093.28997	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Incertae Sedis;Thermoplasmatales archaeon A-plasma	8708	8772	f	f	t	11118	11118	Scaffold	ASM3872937v1	na	PRJNA544494	SAMN36036814	137	11118	none	2024-04-29	GCA_038729375.1	derived from metagenome	full	DRTY-16_202007_bins_37	none	none	0	0	Thermoplasmataceae archaeon	none	na	3	136	33	11118	6853	4145	2024/04/29	1	2953047	1	DRTY-16_202007_bins_37	The University of Texas at Austin	2953047	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__;s__	d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;x__unclassified Thermoplasmataceae;s__Thermoplasmataceae archaeon	10	1193018	11	33	na	1193008	0	JAVYSD000000000.1	1306	136	4986	1	none	none	none	none	none	none	789	JAVYSD010000087.1	785	1406	0	98.981	AB600352.1.1343	Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;A-plasma;uncultured archaeon	10	16	33	0
GB_GCA_027046245.1	0	76.16	0.82	Specific	72.15	1.27	245	c__Thermoprotei (UID148)	158	50	1220968	88.42500153896849	77	775459	56.161954872515395	1380795	GB_GCA_027046245.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__Aeropyrum sp027046245	not type material	none	f	11	11	85595	85595	none	0	none	none	none	0	none	none	none	none	none	none	none	none	17931	18915	f	f	t	39998	39998	Scaffold	ASM2704624v1	na	PRJNA821212	SAMN27359080	77	39998	Pacific Ocean: Brothers volcano	2022-12-19	GCA_027046245.1	derived from metagenome	full	S141_metabat2_scaf2bin.130	marine hydrothermal vent	none	0	none	Acidilobaceae archaeon	none	na	none	73	11	39998	17905	7161	2022/12/19	4	2933264	none	S141_metabat2_scaf2bin.130	Portland State University	2933264	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;g__;s__	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;x__unclassified Acidilobaceae;s__Acidilobaceae archaeon	40	1380795	none	none	na	1380755	0	JALTZJ000000000.1	1462	73	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	40	18	44	0
RS_GCF_022064045.1	0	99.94	0.55	Specific	99.4	0.6	217	c__Thermoprotei (UID147)	168	0	1980026	88.41418734363063	87	1059262	47.299272289348146	2239489	RS_GCF_022064045.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera javensis	type strain of species	LPSN	f	7	7	276255	276255	156443	1	3033	NZ_JAKNCW010000005.1	none	0	none	none	3033	5424	0	98.945	CP008822.1706923.1709976	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	25741	25741	f	f	t	79995	79995	Contig	ASM2206404v1	na	PRJNA224116	SAMN25174631	87	79995	Indonesia	2022-02-08	GCA_022064045.1	none	full	na	hot pool at volcano site	none	0	0	Metallosphaera javensis (ex Hofmann et al. 2022)	none	na	3	none	none	none	none	none	2022/02/08	0	99938	1	J1	TU Bergakademie Freiberg	99938	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera javensis	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera javensis (ex Hofmann et al. 2022)	0	2239489	11	46	assembly from type material	2239489	0	JAKNCW000000000.1	2506	87	156443	1	none	none	none	none	none	none	1495	NZ_JAKNCW010000005.1	1495	2689	0	99.13	CP012175.1705280.1706787	Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula	0	19	46	0
RS_GCF_030186535.1	0	99.92	0.29	Specific	98.1	0	245	c__Thermoprotei (UID148)	158	0	1544036	88.54960956497004	14	630912	36.18245382222589	1743696	RS_GCF_030186535.1	t	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__Ignisphaera cupida	type strain of species	LPSN	f	2	2	626169	626169	339143	1	3061	NZ_JASNVW010000002.1	none	0	none	none	3068	4632	0	94.035	CP002098.1280852.1283921	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignisphaeraceae;Ignisphaera;Ignisphaera aggregans DSM 17230	124549	124549	f	f	t	339143	339143	Contig	ASM3018653v1	na	PRJNA224116	SAMN35529470	14	339143	Russia: Kamchatka; Uzon	2023-06-06	GCA_030186535.1	none	full	na	terrestrial hot spring	none	0	0	Ignisphaera cupida	none	representative genome	2	none	none	none	none	none	2023/06/06	0	3050454	1	4213-co	Research Center of Biotechnology RAS	3050454	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;s__Ignisphaera cupida	d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Ignisphaera;s__Ignisphaera cupida	0	1743696	11	46	assembly from type material	1743696	0	JASNVW000000000.1	1832	14	339143	1	none	none	none	none	none	none	1508	NZ_JASNVW010000002.1	1509	2542	0	97.084	JF509453.1.1510	Archaea;Thermoproteota;Thermoproteia;Desulfurococcales;Ignisphaeraceae;Ignisphaera;Desulfurococcaceae archaeon CSC-16S	0	19	46	0
