accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_003697205.1	0	99.96	0.55	Specific	98.03	0.34	1183	s__difficile (UID1169)	308	0	3335347	82.36278823976808	1	1163850	28.740017483294565	4049580	RS_GCF_001077535.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile	not type material	none	f	1	1	4049580	4049580	4049580	12	2894	NZ_CP033213.1	4049580	11	106	NZ_CP033213.1	2894	5345	0	100	MTVX01000001.1042891.1045786	Bacteria;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile	4049580	4049580	t	f	f	4049580	4049580	Complete Genome	ASM369720v1	na	PRJNA224116	SAMN10274208	none	none	China: Beijing	2018-10-30	GCA_003697205.1	none	full	na	stool	40 N 116 E	1	1	Clostridioides difficile	none	na	35	1	1	4049580	4049580	4049580	2018/10/30	0	1496	12	CD10010	BGI	1496	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile	0	4049580	11	90	na	4049580	0	na	3574	1	4049580	12	none	none	none	none	none	none	1501	NZ_CP033213.1	1501	2772	0	100	CP026614.30670.32177	Bacteria;Bacillota;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile	0	19	90	1
RS_GCF_004296515.1	0	83.05	0.09	Specific	81.88	0.62	136	k__Bacteria (UID2495)	80	100	205834	90.95665469135966	1	39376	17.399988510775565	226299	RS_GCF_004296515.1	t	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Enterobacteriaceae_A;g__Nardonella;s__Nardonella sp004296515	not type material	none	f	1	1	226299	226299	226299	2	2892	NZ_AP018160.1	none	0	none	none	2892	5341	0	100	AP018160.221162.224066	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;symbionts2;endosymbiont of Pachyrhynchus infernalis	226299	226299	f	f	t	226299	226299	Complete Genome	ASM429651v1	na	PRJNA224116	SAMD00080338	none	none	Japan: Okinawa	2017-10-21	GCA_004296515.1	none	full	NARPIN1	bacteriome	none	1	0	endosymbiont of Pachyrhynchus infernalis	none	representative genome	6	1	1	226299	226299	226299	2017/10/21	0	1971488	2	NARPIN1	The Open University of Japan	1971488	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__Candidatus Nardonella;s__	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;x__Gammaproteobacteria incertae sedis;g__Candidatus Nardonella;s__endosymbiont of Pachyrhynchus infernalis	0	226299	11	32	na	226299	0	na	213	1	226299	2	none	none	none	none	none	none	1552	NZ_AP018160.1	1552	2867	0	100	AP018160.219472.221029	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;endosymbionts;endosymbiont of Pachyrhynchus infernalis	0	19	32	0
GB_GCA_002688505.1	2	94.04	0.16	Specific	77.08	0	136	k__Bacteria (UID2495)	80	0	243051	89.62883746658062	1	41722	15.385750056237162	271175	GB_GCA_002688505.1	t	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Enterobacteriaceae_A;g__Stammera;s__Stammera capleta	type strain of species	LPSN	f	1	1	271175	271175	271175	1	2927	CP024013.1	271175	1	101	CP024013.1	2920	5393	0	100	CP024013.86157.89078	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Candidatus Purcelliella;Enterobacteriaceae bacterium NZ1215	271175	271175	f	f	t	271175	271175	Complete Genome	ASM268850v1	na	PRJNA413589	SAMN07758087	none	none	New Zealand	2017-10-24	GCA_002688505.1	derived from metagenome	full	NZ1215	bacteriocyte	none	1	none	Candidatus Stammera capleta	0	na	none	1	1	271175	271175	271175	2017/10/24	0	2608262	none	NZ1215	University of Luxembourg	2608262	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Candidatus Stammera;s__Candidatus Stammera capleta	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;x__Enterobacteriaceae incertae sedis;x__ant, tsetse, mealybug, aphid, etc. endosymbionts;g__Candidatus Stammera;s__Candidatus Stammera capleta	0	271175	none	none	na	271175	0	na	257	1	271175	1	none	none	none	none	none	none	1607	CP024013.1	1393	1583	0	87.437	AP018160.219472.221029	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;endosymbionts;endosymbiont of Pachyrhynchus infernalis	0	19	29	0
RS_GCF_004296555.1	0	100	0.53	Specific	99.41	0	675	o__Thiotrichales (UID4410)	243	0	1611687	88.69653510027076	101	586098	32.25493649151386	1817080	RS_GCF_000833475.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Francisellales;f__Francisellaceae;g__Francisella;s__Francisella tularensis	not type material	none	f	17	17	113051	113051	5559	1	2879	NZ_SGWP01000064.1	5559	2	111	NZ_SGWP01000064.1	2879	5317	0	100	GU073995.1.2992	Bacteria;Pseudomonadota;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella;Francisella tularensis subsp. mediasiatica FSC147	17990	17990	t	f	f	35350	35350	Contig	ASM429655v1	na	PRJNA224116	SAMN10924158	101	35350	none	2019-02-19	GCA_004296555.1	none	full	na	none	none	0	1	Francisella tularensis subsp. mediasiatica	none	na	4	none	none	none	none	none	2019/02/19	0	263	1	SCPM-O-B-7175(A-554)	SRCAMB	135248	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella;s__Francisella tularensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella;s__Francisella tularensis;sb__Francisella tularensis subsp. mediasiatica	0	1817080	11	34	na	1817080	0	SGWP00000000.1	2037	101	5559	1	none	none	none	none	none	none	1524	NZ_SGWP01000064.1	1523	2813	0	100	CP000915.1823129.1824652	Bacteria;Pseudomonadota;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella;Francisella tularensis subsp. mediasiatica FSC147	0	19	34	0
RS_GCF_004296535.1	0	80.68	0.12	Specific	73.33	0	136	k__Bacteria (UID2495)	80	0	201990	91.88004057477904	1	35526	16.159860990443093	219841	RS_GCF_004296535.1	t	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Enterobacteriaceae_A;g__Nardonella;s__Nardonella sp004296535	not type material	none	f	1	1	219841	219841	219841	1	2943	NZ_AP018159.1	none	0	none	none	2943	5435	0	100	AP018159.24685.27636	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Candidatus Purcelliella;endosymbiont of Euscepes postfasciatus	219841	219841	f	f	t	219841	219841	Complete Genome	ASM429653v1	na	PRJNA224116	SAMD00080337	none	none	Japan: Okinawa	2017-10-21	GCA_004296535.1	none	full	NAREPO1	bacteriome	none	1	0	endosymbiont of Euscepes postfasciatus	none	representative genome	3	1	1	219841	219841	219841	2017/10/21	0	650377	1	NAREPO1	The Open University of Japan	650377	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;x__unclassified Gammaproteobacteria;s__endosymbiont of Euscepes postfasciatus	0	219841	11	26	na	219841	0	na	215	1	219841	1	none	none	none	none	none	none	1574	NZ_AP018159.1	1574	2907	0	100	AP018159.27824.29401	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;endosymbionts;endosymbiont of Euscepes postfasciatus	0	18	26	0
RS_GCF_003697185.1	0	100	0.45	Specific	99.69	0	481	o__Rhizobiales (UID3654)	319	0	5401000	85.19495859108581	4	4407202	69.51996197793603	6339577	RS_GCF_020523825.1	f	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium brachiatum	not type material	none	f	1	1	5981925	5982025	5982025	5	2800	NZ_CP033231.1	5982025	5	89	NZ_CP033231.1	2800	5171	0	100	CP033231.1373079.1375899	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylobacterium;Methylobacterium brachiatum	1584869	1584894	t	f	f	5981925	5982025	Chromosome	ASM369718v1	na	PRJNA224116	SAMN10272780	4	5981925	South Korea:Seoul	2018-10-30	GCA_003697185.1	none	full	na	Automobile air-conditioning evaporator	none	4	1	Methylobacterium brachiatum	none	na	15	4	1	5982025	5982025	5982025	2018/10/30	1	269660	5	TX0642	Korea university	269660	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium brachiatum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Methylobacteriaceae;g__Methylobacterium;s__Methylobacterium brachiatum	100	6339577	11	55	na	6339477	0	na	6111	4	5982025	5	none	none	none	none	none	none	1480	NZ_CP033231.1-#5	1480	2734	0	100	CP033231.4355508.4357019	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylobacterium;Methylobacterium brachiatum	100	19	55	2
RS_GCF_003697165.2	0	100	1.26	Specific	99.97	0.39	1173	f__Enterobacteriaceae (UID5124)	336	0	4412779	87.64497498825185	2	2549864	50.64445024403982	5034834	RS_GCF_003697165.2	t	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	type strain of species	LPSN	t	1	1	4903501	4903501	4903501	7	2901	NZ_CP033092.2	4903501	7	356	NZ_CP033092.2-#7	2901	5358	0	100	CU928161.4445098.4448001	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli S88	2517417	2517417	t	f	f	4903501	4903501	Complete Genome	ASM369716v2	na	PRJNA224116	SAMN10252913	none	none	none	2018-12-20	GCA_003697165.2	none	full	na	none	none	2	2	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	none	na	22	2	1	4903501	4903501	4903501	2018/12/20	0	562	7	ATCC 11775	University of Arkansas for Medical Sciences	866789	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;x__Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0	5034834	11	87	assembly designated as neotype	5034834	0	na	4717	2	4903501	7	none	none	none	none	none	none	1538	NZ_CP033092.2	1538	2841	0	100	CU928161.4150181.4151722	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia coli S88	0	19	87	1
RS_GCF_004296495.1	0	73.01	0.13	Specific	64.89	0	136	k__Bacteria (UID2495)	80	0	186535	93.1203698156912	1	30680	15.315801034365704	200316	RS_GCF_017656055.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Enterobacteriaceae_A;g__Nardonella;s__Nardonella dryophthoridicola	not type material	none	f	1	1	200316	200316	200316	1	2928	NZ_AP018161.1	none	0	none	none	2928	5408	0	100	AP018161.195153.198095	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Candidatus Purcelliella;endosymbiont of Rhynchophorus ferrugineus	200316	200316	f	f	t	200316	200316	Complete Genome	ASM429649v1	na	PRJNA224116	SAMD00080335	none	none	Japan: Kagoshima	2017-10-21	GCA_004296495.1	none	full	NARRFE1	bacteriome	none	1	0	endosymbiont of Rhynchophorus ferrugineus	none	representative genome	3	1	1	200316	200316	200316	2017/10/21	0	1971485	1	NARRFE1	The Open University of Japan	1972133	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__Candidatus Nardonella;s__Candidatus Nardonella dryophthoridicola	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;x__Gammaproteobacteria incertae sedis;g__Candidatus Nardonella;s__Candidatus Nardonella dryophthoridicola;x__endosymbiont of Rhynchophorus ferrugineus	0	200316	11	28	na	200316	0	na	198	1	200316	1	none	none	none	none	none	none	1604	NZ_AP018161.1	1604	2963	0	100	AP018161.193362.194973	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;endosymbionts;endosymbiont of Rhynchophorus ferrugineus	0	19	28	0
RS_GCF_024582045.1	0	100	0.04	Specific	99.59	0.15	926	g__Campylobacter (UID3076)	174	0	1596853	94.0487626178	29	513585	30.24826565066591	1697899	RS_GCF_001457695.1	f	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	not type material	none	f	4	4	311741	311741	6040	1	2901	NZ_JAMZJV010000014.1	none	0	none	none	2901	5358	0	100	MOWD01000016.369.3290	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter jejuni	58548	58548	f	f	t	189912	189912	Contig	ASM2458204v1	na	PRJNA224116	SAMN29438679	29	189912	Croatia: Split	2022-08-06	GCA_024582045.1	none	full	na	stool	43.52 N 16.45 E	0	0	Campylobacter jejuni	none	na	6	none	none	none	none	none	2022/08/06	0	197	1	2021_ST_03	Croatian Veterinary Institute, Zagreb	197	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni	d__Bacteria;p__Campylobacterota;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni	0	1697899	11	40	na	1697899	0	JAMZJV000000000.1	1774	29	6040	1	none	none	none	none	none	none	1511	NZ_JAMZJV010000014.1	1511	2791	0	100	AINR01000054.430.1946	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter coli LMG 9853	0	19	40	1
RS_GCF_001983105.1	4584	99.77	2.28	Specific	100	0.82	302	o__Actinomycetales (UID1663)	182	50	7975058	84.51947293298137	174	6787652	71.97033669169711	9435764	RS_GCF_001983105.1	t	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Frankiaceae;g__Pseudofrankia;s__Pseudofrankia asymbiotica	type strain of species	LPSN	f	28	28	325017	325017	none	0	none	none	none	0	none	none	none	none	none	none	none	none	54228	54228	f	f	t	117461	117461	Contig	ASM198310v1	na	PRJNA224116	SAMN04851310	174	117461	USA	2017-02-01	GCA_001983105.1	none	full	na	root nodule	none	0	0	Pseudofrankia asymbiotica	7747	representative genome	3	none	none	none	none	none	2017/02/01	0	1834516	3	NRRL B-16386	University of Tunis El Manar, Faculty of Sciences of Tunis	1834516	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;g__Pseudofrankia;s__Pseudofrankia asymbiotica	d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;g__Pseudofrankia;s__Pseudofrankia asymbiotica	0	9435764	11	70	assembly from type material	9435764	0	MOMC00000000.1	7835	174	63204	3	331	608	5.24e-173	99.698	40609	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae;g__Frankia;s__	337	NZ_MOMC01000070.1	333	590	4.88e-167	98.498	FPLS01036105.11.1497	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Frankiaceae;Frankia;metagenome	0	19	69	0
