gene_id	GSM1841068	GSM1841069	GSM1841070	GSM1841071	GSM1841072	GSM1841073	GSM1841074	GSM1841075	GSM1841076	GSM1841077	GSM1841078	GSM1841079	GSM1841080	GSM1841081
100287102	3	3	1	4	1	2	2	3	3	5	3	2	3	1
653635	35	10	3	32	10	23	20	29	11	12	24	18	23	14
102466751	0	0	0	0	1	1	0	0	1	1	0	1	0	0
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	1	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	1	0	0	0	0	0	1	1	1	1	1
79501	0	0	0	0	0	1	1	0	0	0	1	0	0	0
100996442	8	8	4	4	1	5	2	9	4	7	8	5	7	4
729737	4	2	0	8	1	4	4	7	2	4	6	9	5	4
102725121	4	3	1	4	0	1	2	4	6	5	3	2	3	2
102723897	36	14	7	41	11	26	21	31	14	12	20	23	37	16
102465909	0	0	0	0	0	1	1	0	0	0	0	1	0	0
107985721	2	1	1	1	0	1	1	2	2	3	3	2	1	1
112268260	3	3	1	6	0	0	1	3	3	5	5	6	3	4
729759	1	0	0	0	0	0	0	1	1	0	1	0	0	0
100132287	3	3	1	5	1	6	3	5	4	6	6	7	3	3
105378947	0	0	0	0	0	0	0	0	0	0	0	1	0	0
101928626	0	1	0	0	0	0	0	0	1	2	0	1	1	0
113219467	442	785	989	279	155	330	217	390	184	393	353	194	322	147
81399	4	4	2	1	0	0	1	3	3	4	4	4	4	4
100133331	3	3	0	9	2	5	3	8	4	6	7	9	5	6
107984841	5	6	2	3	1	5	2	2	2	3	5	4	2	2
107984847	5	7	1	5	1	7	3	1	3	3	2	1	1	2
107984849	1	2	0	1	0	0	1	1	0	0	1	0	1	0
100288069	12	9	5	7	3	7	5	9	3	4	9	4	8	7
105378580	18	17	45	14	8	14	14	29	7	15	25	19	22	9
400728	4	2	4	7	0	2	1	3	3	4	6	1	5	7
79854	15	3	4	7	0	6	3	6	2	5	12	4	4	4
643837	221	181	142	130	40	112	86	185	65	118	170	103	103	86
107984850	1	0	0	0	0	0	0	0	2	0	1	2	1	0
284593	2	2	2	0	0	1	0	0	1	1	2	1	1	0
284600	0	1	0	2	0	2	1	0	0	0	0	2	1	2
100130417	0	0	0	0	0	1	0	0	0	0	0	0	0	1
107985728	2	0	0	0	0	0	0	0	1	0	0	3	1	2
148398	32	10	7	29	3	16	10	15	7	9	13	10	12	10
26155	1091	457	151	943	293	696	685	763	317	408	598	436	509	400
339451	18	3	1	20	8	13	10	16	0	2	5	5	11	6
84069	1	0	1	4	2	1	2	3	3	5	2	2	3	4
84808	0	0	1	2	0	1	1	1	1	1	1	0	1	1
57801	0	0	0	0	0	1	0	0	0	0	0	0	0	1
9636	2	0	0	4	2	1	3	0	8	4	3	6	13	8
375790	9	4	0	9	0	4	3	5	1	7	12	22	9	23
100288175	73	43	11	30	17	41	31	33	21	32	38	40	35	20
112267874	4	4	1	3	2	3	2	5	3	2	4	6	4	2
105378948	52	43	10	23	16	36	27	32	19	33	36	38	37	20
401934	0	0	0	0	0	0	0	1	1	1	0	2	2	0
54991	6	0	3	7	6	5	7	5	4	3	7	3	4	6
254099	1	1	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0	0	0	2	0	1	1
254173	0	4	2	3	0	1	1	0	0	0	4	3	1	4
8784	125	19	4	128	51	78	90	39	43	61	63	79	64	51
7293	186	27	16	296	88	162	150	68	95	48	192	140	196	78
51150	496	158	44	482	174	417	420	348	213	216	358	298	316	231
126792	249	128	137	97	57	93	99	121	84	106	166	63	134	59
388581	0	0	0	0	0	2	0	0	0	0	0	0	0	0
118424	216	171	105	154	31	144	103	148	64	108	146	91	138	80
101928895	0	0	0	1	0	0	1	1	1	1	2	0	0	1
6339	1	0	0	1	1	1	3	1	0	0	0	0	0	1
116983	31	20	3	60	14	33	26	37	9	25	18	25	12	25
102465434	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109623456	0	0	0	0	0	1	0	1	0	0	0	0	0	0
126789	38	10	2	37	9	19	24	17	5	10	10	16	12	8
54973	351	147	26	344	119	249	247	302	122	168	233	197	173	134
102465435	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80772	14	10	2	12	4	15	7	12	4	11	10	12	14	5
83756	6	1	2	4	1	1	2	2	1	4	2	2	2	1
1855	54	8	5	76	11	26	43	25	16	11	17	23	17	24
102466740	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54587	3	5	5	8	2	2	2	12	2	3	9	12	7	8
54998	123	29	5	118	38	58	82	72	26	27	46	67	60	58
81669	645	597	459	412	127	505	267	579	217	368	478	354	423	240
148413	242	163	143	140	58	127	83	167	55	99	142	91	108	81
55052	706	461	634	301	149	320	320	431	160	226	365	190	295	166
107984868	4	3	3	1	2	2	4	1	2	5	4	3	2	0
441869	1	0	0	0	0	0	0	0	0	0	0	2	0	0
105378585	0	0	0	0	0	0	0	0	0	1	0	0	2	0
643965	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724312	0	0	0	0	0	0	0	0	0	1	0	0	0	0
107985729	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64856	0	0	0	1	0	1	0	0	1	0	0	1	0	1
219293	17	5	3	16	1	10	4	7	3	9	6	7	8	4
83858	330	156	45	378	79	252	155	233	90	123	132	148	172	140
55210	157	36	3	189	30	80	103	57	38	28	20	57	44	48
339453	0	1	0	0	0	0	0	1	0	0	0	0	1	0
29101	347	194	239	163	77	174	175	222	107	104	242	127	187	97
643988	2	0	0	1	0	1	2	0	0	0	1	2	0	1
105378586	0	0	1	0	0	0	0	0	0	0	0	0	0	0
142678	15	11	18	14	3	12	14	16	8	6	23	15	9	5
8510	2	1	0	2	1	2	1	4	1	2	1	1	3	2
984	210	164	144	153	71	169	116	187	80	128	178	143	131	66
728661	136	99	117	86	40	141	82	147	86	133	149	136	150	74
8511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728642	150	123	155	113	47	118	86	142	71	91	118	94	134	63
9906	97	92	103	74	18	69	43	80	56	83	95	72	136	51
112268218	12	8	4	11	3	7	6	9	4	5	5	7	6	3
65220	340	149	111	230	68	212	170	210	88	122	171	161	191	133
2782	2143	1174	1798	1081	494	1144	1022	1448	738	965	1915	1135	1793	865
105378949	2	1	1	0	0	0	0	2	0	2	1	0	2	1
163688	2	2	0	2	2	2	0	4	2	0	2	0	0	1
339456	8	0	0	5	0	1	2	4	0	1	0	4	0	2
85452	0	0	0	1	1	0	2	0	0	0	3	0	0	1
107984872	1	0	0	0	0	0	0	0	2	1	2	0	1	1
105378589	1	1	0	4	0	2	2	0	0	2	2	2	1	0
2563	0	1	0	0	0	0	0	0	0	0	0	1	1	0
105378590	0	0	0	0	0	0	0	2	0	1	0	1	0	0
105378591	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5590	71	35	24	65	22	37	31	47	25	35	33	19	20	21
100506504	2	3	1	2	2	4	3	0	1	3	3	0	0	2
199990	51	9	17	18	9	18	22	27	20	20	19	10	21	8
112268219	15	6	8	3	5	2	4	9	6	10	4	5	16	5
105378593	0	0	0	1	0	0	1	0	1	1	0	0	0	0
6497	95	124	110	199	26	174	69	158	51	146	148	164	116	104
79906	10	6	2	10	0	9	3	4	3	4	8	6	6	6
100129534	0	4	0	1	0	1	0	0	0	0	0	1	1	3
11079	740	508	689	385	126	408	309	549	228	309	615	326	457	253
5192	43	32	34	39	11	31	23	31	17	22	27	25	19	17
9651	9	5	1	7	2	4	2	4	3	8	1	3	2	4
55229	114	66	41	89	23	71	57	93	45	60	75	65	83	51
388585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115110	19	10	6	12	1	10	10	6	10	19	14	19	25	8
8764	119	52	10	120	38	71	100	84	52	45	82	54	121	35
100996583	9	2	6	0	0	0	3	5	2	3	6	2	1	1
127281	80	68	48	76	19	30	42	75	31	33	29	31	29	24
79258	9	4	2	2	1	4	2	5	3	2	2	4	2	2
105378597	0	0	0	0	0	0	0	0	0	1	4	1	0	1
100287898	2	3	5	5	2	6	3	1	1	3	3	2	3	4
105378603	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105378602	1	0	0	0	0	0	0	0	0	0	0	0	0	0
105378601	1	0	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	1	1	0	1	1	1	1	0	1
105378600	1	0	0	0	0	0	0	0	0	0	0	0	0	0
105378598	1	0	0	1	1	1	0	0	1	1	1	4	2	2
107984904	0	0	0	0	0	1	1	0	1	1	1	1	0	1
105378599	1	0	0	0	1	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440556	0	0	0	0	0	0	0	1	1	0	1	4	1	0
63976	2	0	0	2	0	1	1	0	0	0	1	0	1	0
100422968	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378606	1	0	0	0	0	2	0	0	0	3	2	1	0	0
107984909	0	0	0	2	0	0	0	1	0	0	2	0	0	1
105378605	0	0	0	0	0	0	0	1	2	1	0	3	1	1
105378604	3	4	0	0	0	2	1	3	3	3	7	6	3	1
27237	0	1	0	1	0	0	0	0	0	2	0	2	1	1
1953	10	5	6	8	1	5	2	7	3	20	10	4	7	3
105378608	0	0	0	0	0	0	0	1	0	0	0	0	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	1	1	0	0
127262	105	75	61	59	28	54	39	69	24	42	72	71	58	34
49856	168	46	17	78	40	78	65	74	44	43	99	77	95	47
7161	3	4	2	2	2	3	2	2	0	1	3	5	2	2
105378610	4	0	1	1	0	0	1	0	1	3	5	1	5	2
105378609	0	0	0	0	0	0	0	0	1	1	0	0	0	1
57212	111	58	44	70	26	28	43	70	35	41	56	57	85	42
148870	0	0	0	0	0	0	0	2	1	0	0	3	1	3
388588	0	1	0	0	0	0	0	0	1	0	0	0	0	0
57470	310	205	207	222	83	208	121	295	99	130	198	134	166	96
9731	386	352	363	283	86	258	179	365	150	230	238	189	230	123
1677	102	23	93	18	25	29	48	40	29	16	62	25	53	19
107984910	1	1	4	4	0	0	1	4	4	2	3	3	5	3
339448	340	213	291	179	93	183	172	213	115	133	230	123	163	114
100133612	2	0	0	0	0	1	0	1	2	2	0	1	3	1
728716	0	0	0	0	0	0	0	0	0	0	2	0	1	0
105376672	0	0	1	1	0	2	0	1	0	1	1	0	1	2
105376673	0	0	1	0	0	0	0	1	0	4	1	0	0	2
284661	0	1	0	0	0	0	0	0	2	4	0	0	0	0
105376674	0	0	0	0	0	0	1	3	0	2	4	2	2	0
105376679	2	0	1	0	0	0	0	0	0	0	0	1	0	0
107985376	0	1	0	0	0	0	0	0	1	0	0	0	0	1
55966	2	4	1	1	0	0	0	4	2	5	3	3	4	3
105376680	0	0	0	0	0	0	1	0	2	3	1	1	2	0
102724429	0	0	0	0	1	0	0	0	0	0	2	0	0	1
105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	1	0	0	0
107984911	0	0	0	2	0	0	0	2	1	5	1	3	3	0
105376686	0	1	0	3	0	0	1	1	0	1	7	0	1	2
100616421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
