Y74C9A.6	NR_001477	chrI	-	3746	3909	3909	3909	1	3746,	3909,
homt-1	NM_058260	chrI	-	4220	10148	4220	10148	5	4220,5194,6036,9726,10094,	4358,5296,6327,9846,10148,
nlp-40	NM_058259	chrI	+	11640	16585	11640	16585	3	11640,14950,16472,	11689,15160,16585,
nlp-40	NM_001306277	chrI	+	15102	16585	15102	16585	2	15102,16472,	15160,16585,
rcor-1	NM_001306278	chrI	-	17910	26643	17910	26643	11	17910,18005,19014,20270,20847,21012,24650,24928,25272,26370,26589,	17958,18115,19241,20478,20964,21139,24845,25090,25472,26524,26643,
rcor-1	NM_001306279	chrI	-	17910	21127	17910	21127	6	17910,18005,19014,20270,20847,21012,	17958,18115,19241,20478,20964,21127,
rcor-1	NM_058262	chrI	-	17910	26778	17910	26778	12	17910,18005,19014,20270,20847,21012,24650,24928,25272,26370,26589,26732,	17958,18115,19241,20478,20964,21139,24845,25090,25472,26524,26681,26778,
rcor-1	NM_058261	chrI	-	17910	26778	17910	26778	12	17910,18005,19014,20270,20847,21012,24650,24928,25272,26370,26589,26732,	17958,18115,19241,20478,20964,21139,24845,25090,25472,26524,26690,26778,
sesn-1	NM_058263	chrI	-	28279	32482	28279	32482	5	28279,29099,29768,31768,32411,	28405,29367,30424,32072,32482,
21ur-13439	NR_049898	chrI	+	32414	32435	32435	32435	1	32414,	32435,
Y74C9A.1	NM_058264	chrI	+	43732	44677	43732	44677	5	43732,44029,44280,44371,44520,	43961,44234,44324,44468,44677,
Y48G1C.12	NM_001026606	chrI	+	47471	49416	47471	49416	4	47471,47695,48347,49250,	47610,47858,48530,49416,
pgs-1	NM_058265	chrI	+	49920	54360	49920	54360	7	49920,50814,52282,52465,53265,53390,53943,	50016,51030,52410,52572,53337,53695,54360,
pgs-1	NM_001306235	chrI	+	52369	54360	52369	54360	5	52369,52465,53265,53390,53943,	52410,52572,53337,53695,54360,
Y48G1C.5	NM_058267	chrI	-	55336	63972	55336	63972	11	55336,55889,56123,56536,56871,57256,59044,61235,62773,63796,63903,	55450,56047,56293,56687,57053,57625,60236,62051,62974,63856,63972,
csk-1	NM_001306233	chrI	+	71424	80344	71424	80344	13	71424,71846,72510,72646,72940,73604,74624,75170,75950,76948,77712,79312,80305,	71511,71932,72590,72897,73017,73766,74808,75490,76112,77153,77799,79447,80344,
