NT_187605.1	chr15_KI270849v1_alt
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	chr19_KI270917v1_alt
GL383553.2	chr12_GL383553v2_alt
HG1320_PATCH	NW_021160021.1
KI270330.1	chrUn_KI270330v1
HSCHR7_2_CTG7	chr7_KI270807v1_alt
HSCHR19KIR_502960008-1_CTG3_1	KV575253.1
KI270596.1	NT_187297.1
GL383518.1	NW_003315905.1
GL383519.1	NW_003315906.1
HG2030_PATCH	KN196479.1
HG2577_PATCH	MU273336.1
KI270386.1	NT_187480.1
HSCHR13_1_CTG4	NT_187595.1
CM000664.2	NC_000002.12
KI270404.1	NT_187211.1
GJ211972.2	NT_187235.1
NT_187420.1	chrUn_KI270442v1
KI270825.1	NT_187580.1
KI270480.1	NT_187246.1
GJ212006.2	NT_187249.1
HG2072_PATCH	NW_013171802.1
HG151_NOVEL_TEST	JH159137.1
GL000040.2	NT_022794.11
NT_187577.1	chr8_KI270822v1_alt
KI270312.1	NT_187405.1
GJ212069.1	KI270549.1
GJ211930.1	NT_187215.1
HG401_PATCH	MU273376.1
KI270751.1	NT_187506.1
GL000209.2	NT_113949.2
ML143344.1	NW_021159990.1
KI270726.1	NT_187381.1
KI270659.1	NT_187336.1
HG2521_PATCH	MU273392.1
MT	chrM
KI270877.1	NT_187631.1
HSCHR19LRC_LRC_T_CTG3_1	NW_003571059.2
KI270663.1	NT_187340.1
KN538372.1	NW_011332699.1
KV880767.1	NW_017852932.1
GL877876.1	chr12_GL877876v1_alt
HSCHR1_5_CTG31	MU273331.1
KI270879.1	NT_187633.1
HSCHR8_5_CTG1	NT_187654.1
HSCHR3_5_CTG1	NW_021159989.1
HSCHR15_5_CTG8	KI270850.1
HG2509_PATCH	NW_021160012.1
HSCHR17_10_CTG4	NT_187661.1
GL383527.1	HSCHR4_1_CTG12
GJ212203.1	KI866533.1
KI270551.1	NT_187280.1
KI270794.1	chr5_KI270794v1_alt
CM000680.2	NC_000018.10
HG1535_PATCH	NW_018654726.1
KI270510.1	NT_187427.1
KI270410.1	NT_187217.1
GL383569.1	chr18_GL383569v1_alt
GL383556.1	chr16_GL383556v1_alt
KI270429.1	NT_187419.1
NT_187398.1	chrUn_KI270303v1
HSCHR15_3_CTG3	chr15_KI270851v1_alt
12	NC_000012.12
KI270419.1	NT_187411.1
GL383532.1	NW_003315920.1
GJ211998.2	NT_187243.1
HSCHR10_1_CTG3	NT_187579.1
KI270790.1	NT_187540.1
NW_003315914.1	chr4_GL383527v1_alt
GL582966.2	chr2_GL582966v2_alt
KI270792.1	chr5_KI270792v1_alt
HG2062_PATCH	KN196487.1
HSCHR19KIR_G248_A_HAP_CTG3_1	KI270885.1
KZ208905.1	NW_018654707.1
HSCHR6_8_CTG1	KI270758.1
CM000671.2	NC_000009.12
HSCHR15_2_CTG3	NT_187659.1
