geneID	TFCP2L1(MA0145.2)	ARID5A(MA0602.1)	ATF3(MA0605.1)	ESRRG(MA0643.1)	GLI2(MA0734.3)	NPAS2(MA0626.1)	NR5A2(MA0505.2)	SOX17(MA0078.2)	STAT4(MA0518.1)	TWIST2(MA0633.2)	NumPeaks	AvgPeakDistance	AvgPeakSize
ENSMUSG00000104378.1	0.0000000574	0.0009071408	0.0000031120	0.0000000124	0.0000004791	0.0000010229	0.0000000381	0.0000001408	0.0000000106	0.0000000619	2.0000000000	20891.5000000000	303.0000000000
ENSMUSG00000099471.1	0.0000007110	0.0112384663	0.0000385543	0.0000001541	0.0000059358	0.0000126728	0.0000004719	0.0000017448	0.0000001314	0.0000007665	2.0000000000	8307.5000000000	303.0000000000
ENSMUSG00000106307.1	0.0000075643	0.0000615868	0.0000145917	0.0001592442	0.0000020318	0.0008331641	0.0000562115	0.0004223732	0.0000550484	0.0000002228	1.0000000000	6739.0000000000	652.0000000000
ENSMUSG00000106489.1	0.0000075658	0.0000615991	0.0000145947	0.0001592760	0.0000020322	0.0008333307	0.0000562228	0.0004224577	0.0000550594	0.0000002229	1.0000000000	6738.0000000000	652.0000000000
ENSMUSG00000103390.1	0.0000000528	0.0000232358	0.0000049355	0.0000003689	0.0000000097	0.0000000019	0.0000094005	0.0000000718	0.0000005256	0.0000001226	1.0000000000	6205.0000000000	166.0000000000
ENSMUSG00000102014.1	0.0246970997	0.0015491685	0.0009311183	0.0240839324	0.0001259962	0.0003621229	0.0060041447	0.0000608484	0.0001609837	0.0328583620	2.0000000000	5367.5000000000	1041.5000000000
ENSMUSG00000026349.14	0.0246991806	0.0015510403	0.0009311197	0.0240839324	0.0001259963	0.0003621229	0.0060041448	0.0000608514	0.0001630415	0.0328583620	2.0000000000	5331.5000000000	1041.5000000000
ENSMUSG00000051590.9	0.0001223525	0.0009636712	0.0005863134	0.0000071376	0.0000681266	0.0001242632	0.0000108115	0.0003194523	0.0000874008	0.0022867435	3.0000000000	5781.3334960938	661.0000000000
ENSMUSG00000036104.11	0.0001976543	0.0113582494	0.0008099615	0.0000771039	0.0008926833	0.0000451061	0.0001216640	0.0001382145	0.0001738962	0.0328584105	3.0000000000	7691.0000000000	661.0000000000
ENSMUSG00000036086.16	0.0104896801	0.0059397263	0.0010644487	0.0141100034	0.0000765358	0.0005220701	0.0396178460	0.0012712518	0.0011860200	0.0659424401	4.0000000000	3922.7500000000	903.7500000000
