##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCA_000011125.1	PRJNA211	SAMD00061092	na	reference genome	272557	56636	Aeropyrum pernix K1	strain=K1	na	latest	Complete Genome	Major	Full	2006-10-11	ASM1112v1	NITE	GCF_000011125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1/	na	assembly from type material	na	haploid	archaea	1669696	1669696	56.500000	1	1	1	NITE	Annotation submitted by NITE	2016-10-08	1752	1700	52	10382966;16455681;16769697
GCA_000016605.1	PRJNA17447	SAMN02598389	na	na	399549	43687	Metallosphaera sedula DSM 5348	strain=DSM 5348	na	latest	Complete Genome	Major	Full	2007-04-25	ASM1660v1	US DOE Joint Genome Institute	GCF_000016605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/605/GCA_000016605.1_ASM1660v1/	na	assembly from type material	na	haploid	archaea	2191517	2191517	46.000000	1	1	1	US DOE Joint Genome Institute	Annotation submitted by US DOE Joint Genome Institute	2014-01-28	2341	2256	42	18083856
GCA_000145985.1	PRJNA33361	SAMN00016987	na	na	583356	334771	Ignisphaera aggregans DSM 17230	strain=DSM 17230	na	latest	Complete Genome	Major	Full	2010-08-24	ASM14598v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000145985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/985/GCA_000145985.1_ASM14598v1/	missing rRNA genes	assembly from type material	na	haploid	archaea	1875953	1875953	35.500000	1	1	1	US DOE Joint Genome Institute (JGI-PGF)	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	2014-01-02	2039	1930	47	21304693
GCA_000204925.1	PRJNA65497	SAMN02603221	na	reference genome	1006006	1006005	Metallosphaera cuprina Ar-4	strain=Ar-4	na	latest	Complete Genome	Major	Full	2011-04-19	ASM20492v1	Environmental Microbiology Research Center (EMRC)	GCF_000204925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/925/GCA_000204925.1_ASM20492v1/	na	assembly from type material	na	haploid	archaea	1840348	1840348	42.000000	1	1	1	Environmental Microbiology Research Center (EMRC)	Annotation submitted by Environmental Microbiology Research Center (EMRC)	2014-01-30	2077	2029	48	21551305
GCA_000243315.1	PRJNA64481	SAMN02261413	AHKJ00000000.1	reference genome	671065	1111107	Metallosphaera yellowstonensis MK1	strain=MK1	na	latest	Scaffold	Major	Full	2012-01-23	ASM24331v1	JGI	GCF_000243315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/315/GCA_000243315.1_ASM24331v1/	na	na	na	haploid	archaea	2817452	2807552	47.500000	0	21	120	JGI	Annotation submitted by JGI	2013-08-08	3411	3356	55	na
GCA_000591035.1	PRJDB107	SAMD00061006	na	reference genome	1198449	229980	Aeropyrum camini SY1 = JCM 12091	strain=SY1	na	latest	Complete Genome	Major	Full	2013-09-27	ASM59103v1	Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University	GCF_000591035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/591/035/GCA_000591035.1_ASM59103v1/	na	assembly from type material	na	haploid	archaea	1595994	1595994	56.500000	1	1	1	Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University	Annotation submitted by Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University	2016-10-07	1695	1645	50	23872576
GCA_000747605.1	PRJNA253049	SAMN02866348	na	na	43687	43687	Metallosphaera sedula	strain=CuR1	na	latest	Chromosome	Major	Full	2014-09-04	ASM74760v1	University of Nebraska-Lincoln	GCF_000747605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/747/605/GCA_000747605.1_ASM74760v1/	na	na	na	haploid	archaea	2191492	2189588	46.000000	1	1	13	University of Nebraska-Lincoln	Annotation submitted by University of Nebraska-Lincoln	2014-10-02	2341	2252	42	25092032
GCA_001316065.1	PRJDB807	SAMD00000424	BBBZ00000000.1	na	1198449	229980	Aeropyrum camini SY1 = JCM 12091	strain=JCM 12091	na	latest	Contig	Major	Full	2015-10-01	ASM131606v1	The University of Tokyo	GCF_001316065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/065/GCA_001316065.1_ASM131606v1/	na	assembly from type material	na	haploid	archaea	1591049	1591049	56.500000	0	41	41	na	na		0	0	0	na
GCA_001441135.1	na	na	na	na	1032473	3703085	Aeropyrum pernix spindle-shaped virus 1	na	na	latest	Complete Genome	Major	Full	2012-01-11	ViralProj301256	to the INSDC. Mochizuki T., Microbiologie, Institut Pasteur, 75724, Paris, FRANCE	GCF_001441135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/441/135/GCA_001441135.1_ViralProj301256/	na	ICTV species exemplar	na	haploid	viral	38049	38049	56.500000	1	1	1	to the INSDC. Mochizuki T., Microbiologie, Institut Pasteur, 75724, Paris, FRANCE	Annotation submitted by to the INSDC. Mochizuki T., Microbiologie, Institut Pasteur, 75724, Paris, FRANCE	2012-01-11	na	na	na	21784945
GCA_002890195.1	na	na	na	na	1932713	1932713	Aeropyrum globular virus 1	na	na	latest	Complete Genome	Major	Full	2017-12-28	ASM289019v1	Contact:Takashi Yoshida Graduate school of Agriculture, Kyoto University; Kitashirakawa Oiwake, Sakyo, Kyoto 606-8502, Japan	GCF_002890195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/890/195/GCA_002890195.1_ASM289019v1/	na	na	na	haploid	viral	18222	18222	56.000000	1	1	1	Contact:Takashi Yoshida Graduate school of Agriculture, Kyoto University; Kitashirakawa Oiwake, Sakyo, Kyoto 606-8502, Japan	Annotation submitted by Contact:Takashi Yoshida Graduate school of Agriculture, Kyoto University; Kitashirakawa Oiwake, Sakyo, Kyoto 606-8502, Japan	2017-12-28	na	na	na	na
