gene	lof.pLI
A1BG	1.7706e-16
A1BG	1.7706e-16
A1BG	1.8365e-07
A1CF	7.6560e-10
A1CF	7.7044e-11
A1CF	5.4044e-12
A1CF	7.6560e-10
A1CF	1.0877e-08
A1CF	7.6560e-10
A1CF	1.0877e-08
A1CF	5.4044e-12
A1CF	1.0877e-08
A1CF	7.7044e-11
A1CF	1.0496e-09
A1CF	1.3448e-07
A1CF	7.6560e-10
A1CF	1.0877e-08
A1CF	5.4044e-12
A1CF	7.6560e-10
A1CF	7.6560e-10
A1CF	7.7044e-11
A1CF	5.4044e-12
A1CF	6.7444e-03
A2M	9.7568e-20
A2M	9.7568e-20
A2M	1.9078e-19
A2M	1.4320e-18
A2M	5.4647e-20
A2M	9.7568e-20
A2M	7.4430e-02
A2ML1	4.5073e-26
A2ML1	1.7127e-40
A2ML1	3.0333e-40
A2ML1	3.0333e-40
A2ML1	1.5017e-40
A2ML1	1.5017e-40
A2ML1	1.7127e-40
A2ML1	1.7127e-40
A2ML1	1.9917e-02
A2ML1	4.5073e-26
A2ML1	3.9627e-27
A2ML1	2.0029e-01
A3GALT2	1.0169e-06
A3GALT2	1.0169e-06
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GALT	7.5507e-02
A4GNT	1.9136e-02
A4GNT	1.9136e-02
A4GNT	1.9136e-02
A4GNT	1.9136e-02
AAAS	8.7657e-16
AAAS	8.9231e-16
AAAS	1.0013e-15
AAAS	9.8466e-16
AAAS	8.9231e-16
AAAS	8.7657e-16
AAAS	8.1933e-05
AAAS	6.4745e-10
AAAS	8.0727e-10
AACS	1.9163e-18
AACS	6.1106e-18
AACS	8.8541e-18
AACS	2.8733e-14
AACS	8.8541e-18
AADAC	6.3501e-05
AADAC	1.3628e-05
AADAC	6.3501e-05
AADAC	8.1150e-03
AADACL2	6.9637e-08
AADACL2	1.9439e-06
AADACL2	6.9637e-08
AADACL3	1.7704e-03
AADACL3	1.7704e-03
AADACL4	1.1751e-02
AADACL4	6.3893e-02
AADACL4	3.1851e-01
AADACL4	1.1751e-02
AADAT	2.3967e-01
AADAT	4.6289e-01
AADAT	4.6289e-01
AADAT	4.6289e-01
AADAT	3.1683e-01
AADAT	6.1793e-02
AADAT	4.6289e-01
AADAT	4.6289e-01
AADAT	4.6289e-01
AADAT	8.6329e-01
AADAT	8.0176e-01
AADAT	2.3967e-01
AADAT	5.8617e-01
AADAT	4.6289e-01
AAGAB	4.3781e-07
AAGAB	4.3781e-07
AAGAB	1.5706e-08
AAGAB	4.3781e-07
AAGAB	4.2035e-05
AAGAB	4.2035e-05
AAGAB	1.5706e-08
AAGAB	4.3781e-07
AAGAB	9.6981e-04
AAGAB	4.3781e-07
AAK1	9.9999e-01
AAK1	1.0000e+00
AAK1	9.9999e-01
AAK1	1.0000e+00
AAK1	1.0000e+00
AAK1	9.9999e-01
AAK1	9.9861e-01
AAK1	2.3700e-02
AAK1	6.5513e-02
AAMDC	5.1153e-05
AAMDC	5.1153e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	5.1153e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	1.0899e-05
AAMDC	5.1153e-05
AAMDC	1.0899e-05
AAMDC	3.2217e-05
AAMDC	5.1153e-05
AAMDC	1.0899e-05
AAMDC	6.8819e-06
AAMDC	1.0752e-04
AAMDC	1.0899e-05
AAMDC	5.1153e-05
AAMDC	5.1153e-05
AAMDC	1.0899e-05
AAMDC	5.1153e-05
AAMP	9.9998e-01
AAMP	9.9998e-01
AAMP	9.9995e-01
AAMP	9.9998e-01
AAMP	9.9996e-01
AAMP	9.8032e-01
AAMP	9.9998e-01
AAMP	9.9201e-01
AANAT	6.8842e-04
AANAT	4.6893e-03
AANAT	5.2707e-04
AANAT	4.6893e-03
AANAT	6.8842e-04
AANAT	5.5980e-03
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	4.9779e-10
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AAR2	5.4204e-12
AARD	4.2882e-04
AARD	4.2882e-04
AARS1	4.0400e-14
AARS1	4.0400e-14
AARS1	4.0400e-14
AARS1	1.2026e-14
AARS1	4.0400e-14
AARS1	4.0400e-14
AARS1	5.7839e-14
AARS1	3.3934e-15
AARS1	4.0400e-14
AARS1	3.7441e-12
AARS1	4.9543e-14
AARS1	1.7614e-15
AARS2	1.8233e-15
AARS2	1.7769e-12
AARS2	6.7298e-15
AARS2	1.5204e-09
AARS2	1.8233e-15
AARSD1	2.3928e-14
AARSD1	2.3928e-14
AARSD1	6.5307e-07
AASDH	3.0380e-15
AASDH	1.9315e-14
AASDH	1.7421e-06
AASDH	4.6923e-18
AASDH	2.0969e-14
AASDH	3.2904e-18
AASDH	1.4653e-17
AASDH	8.7345e-14
AASDH	3.7488e-10
AASDH	3.2904e-18
AASDH	7.3879e-18
AASDH	1.9315e-14
AASDH	1.9315e-14
AASDH	8.7674e-18
AASDH	8.7809e-10
AASDH	3.2904e-18
AASDH	4.6923e-18
AASDH	2.0969e-14
AASDH	3.0380e-15
AASDH	1.9315e-14
AASDHPPT	2.1762e-02
AASDHPPT	1.9394e-02
AASDHPPT	2.1762e-02
AASDHPPT	1.7960e-01
AASDHPPT	1.9137e-01
AASS	4.5131e-21
AASS	2.7635e-21
AASS	4.5131e-21
AASS	4.5131e-21
AASS	3.2874e-08
AASS	3.2874e-08
AASS	4.5131e-21
AASS	3.2874e-08
AATF	2.9704e-13
AATF	5.5464e-13
AATF	8.9260e-06
AATF	2.3019e-12
AATF	2.9704e-13
AATF	1.0312e-12
AATF	3.7453e-12
AATF	5.5464e-13
AATF	1.9219e-12
AATF	1.0312e-12
AATK	5.3635e-39
AATK	1.9755e-35
AATK	5.3635e-39
AATK	1.9755e-35
AATK	7.1786e-02
AATK	2.2089e-03
AATK	9.7197e-09
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	2.5423e-10
ABAT	1.8320e-09
ABAT	1.8320e-09
ABAT	2.7240e-11
ABAT	9.4133e-13
ABAT	1.0337e-09
ABAT	1.7341e-10
ABAT	2.7033e-09
ABAT	2.7033e-09
ABAT	2.5206e-06
ABAT	1.2448e-10
ABAT	1.5906e-13
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.1757e-10
ABAT	1.6580e-02
ABAT	1.2621e-08
ABAT	3.7418e-05
ABAT	7.1450e-14
ABAT	1.8478e-01
ABAT	1.5906e-13
ABCA1	2.3118e-12
ABCA1	6.4916e-03
ABCA1	2.3118e-12
ABCA1	2.2493e-04
ABCA1	3.0464e-14
ABCA10	8.7244e-43
ABCA10	8.7244e-43
ABCA10	8.7244e-43
ABCA10	1.3871e-02
ABCA10	1.3871e-02
ABCA10	8.7244e-43
ABCA12	4.7015e-11
ABCA12	4.8142e-17
ABCA12	1.6964e-16
ABCA12	4.8142e-17
ABCA12	4.7015e-11
ABCA12	5.3189e-01
ABCA13	3.0027e-140
ABCA13	7.0077e-139
ABCA13	1.1963e-137
ABCA13	5.8656e-138
ABCA13	2.6425e-136
ABCA13	2.5075e-137
ABCA13	1.5456e-129
ABCA13	3.0270e-128
ABCA13	6.2200e-124
ABCA13	8.5060e-124
ABCA13	1.8928e-119
ABCA13	1.5843e-118
ABCA13	2.3097e-110
ABCA13	2.1101e-110
ABCA13	4.0905e-98
ABCA13	4.0024e-95
ABCA13	3.2124e-80
ABCA13	2.1398e-80
ABCA13	9.5105e-81
ABCA13	2.9183e-122
ABCA13	1.9577e-122
ABCA13	1.3733e-76
ABCA13	8.5874e-22
ABCA13	1.7679e-04
ABCA13	3.0027e-140
ABCA13	4.4962e-74
ABCA2	9.9999e-01
ABCA2	9.9999e-01
ABCA2	9.9999e-01
ABCA2	9.9999e-01
ABCA2	9.9999e-01
ABCA2	6.9815e-03
ABCA2	9.9999e-01
ABCA3	1.0831e-10
ABCA3	1.0831e-10
ABCA3	5.8495e-10
ABCA3	2.6960e-02
ABCA4	3.4822e-43
ABCA4	3.4822e-43
ABCA4	1.6270e-21
ABCA5	1.7677e-24
ABCA5	1.7677e-24
ABCA5	1.7677e-24
ABCA5	5.9856e-11
ABCA5	1.7677e-24
ABCA5	6.1003e-02
ABCA5	1.3804e-01
ABCA5	1.9635e-12
ABCA6	2.9592e-33
ABCA6	6.4429e-29
ABCA6	5.1165e-33
ABCA6	7.7375e-34
ABCA6	3.2187e-30
ABCA6	3.2187e-30
ABCA6	9.5349e-21
ABCA6	1.8867e-26
ABCA6	2.9592e-33
ABCA6	3.4117e-04
ABCA7	7.9220e-103
ABCA7	5.2882e-102
ABCA7	6.8332e-90
ABCA7	3.5430e-90
ABCA7	6.6557e-86
ABCA7	6.6557e-86
ABCA7	6.6557e-86
ABCA7	3.8603e-104
ABCA7	3.8603e-104
ABCA7	5.0646e-109
ABCA7	2.5768e-103
ABCA7	2.6508e-101
ABCA7	4.3392e-100
ABCA7	2.1725e-99
ABCA7	5.7780e-97
ABCA7	7.2072e-101
ABCA7	5.5661e-60
ABCA7	5.5661e-60
ABCA7	7.9220e-103
ABCA7	1.6661e-07
ABCA7	6.9165e-15
ABCA7	5.8824e-06
ABCA7	2.1000e-06
ABCA8	9.1537e-44
ABCA8	8.7271e-44
ABCA8	2.9766e-42
ABCA8	1.5976e-27
ABCA8	2.0272e-42
ABCA8	1.0268e-33
ABCA8	2.0272e-42
ABCA8	8.7271e-44
ABCA8	3.3419e-05
ABCA8	9.1537e-44
ABCA9	1.1383e-40
ABCA9	4.8065e-42
ABCA9	1.7135e-39
ABCA9	1.7135e-39
ABCA9	3.6220e-36
ABCA9	7.8950e-41
ABCA9	1.7135e-39
ABCA9	3.8805e-27
ABCA9	1.1383e-40
ABCA9	6.3642e-39
ABCA9	3.8479e-06
ABCA9	3.8260e-02
ABCB1	1.8910e-05
ABCB1	1.8910e-05
ABCB1	3.3523e-06
ABCB1	1.8910e-05
ABCB1	1.8910e-05
ABCB1	1.4541e-01
ABCB1	4.8591e-05
ABCB1	1.8910e-05
ABCB10	3.0297e-17
ABCB10	1.5868e-12
ABCB10	3.1539e-10
ABCB10	3.0297e-17
ABCB11	9.5597e-15
ABCB11	9.7168e-14
ABCB11	9.7168e-14
ABCB11	9.7168e-14
ABCB11	3.4554e-11
ABCB11	3.2051e-07
ABCB11	3.5113e-13
ABCB11	5.0548e-11
ABCB11	1.0087e-07
ABCB11	2.7806e-02
ABCB11	3.2051e-07
ABCB11	9.5597e-15
ABCB4	1.7893e-08
ABCB4	6.1364e-09
ABCB4	3.5091e-08
ABCB4	2.0662e-08
ABCB4	6.0250e-08
ABCB4	9.0171e-09
ABCB4	3.9712e-08
ABCB4	4.0521e-08
ABCB4	5.7684e-09
ABCB4	2.4502e-05
ABCB4	1.2569e-07
ABCB4	6.1364e-09
ABCB4	1.7893e-08
ABCB4	8.6732e-02
ABCB4	1.3109e-02
ABCB4	3.5091e-08
ABCB4	1.7893e-08
ABCB5	2.1065e-45
ABCB5	5.1261e-06
ABCB5	2.9288e-05
