region_id	window_size	region	masked	alignment_offset	zero_point
ENSG00000025772	100	20:44960283-44960383(-)	na	0	50
ENSG00000053438	100	20:37521281-37521381(+)	na	0	50
ENSG00000054803	100	20:56004121-56004221(-)	na	0	50
ENSG00000077984	100	20:24949455-24949555(+)	na	0	50
ENSG00000078804	100	20:34708690-34708789(+)	na	1	50
ENSG00000078898	100	20:33007744-33007760^33008540-33008624(+)	na	0	50
ENSG00000087586	100	20:56386525-56386533^56388155-56388202(-)	na	45	50
ENSG00000088298	100	20:35147208-35147308(-)	na	0	50
ENSG00000088320	100	20:31476395-31476495(+)	na	0	50
ENSG00000088325	100	20:31757426-31757526(+)	na	0	50
ENSG00000088356	100	20:31951911-31952011(-)	na	0	50
ENSG00000088782	100	20:157494-157593^158773-158774(+)	na	0	50
ENSG00000088812	100	20:3471107-3471157(+)	na	50	50
ENSG00000088882	100	20:2800522-2800622(-)	na	0	50
ENSG00000088899	100	20:3167113-3167181(-)	na	32	50
ENSG00000088930	100	20:21303348-21303448(+)	na	0	50
ENSG00000089048	100	20:13783090-13783183(-)	na	7	50
ENSG00000100985	100	20:46008907-46008976(+)	na	31	50
ENSG00000100991	100	20:35092731-35092807(-)	na	24	50
ENSG00000101057	100	20:43667233-43667303^43673805-43673835(+)	na	0	50
ENSG00000101074	100	20:44337107-44337207(+)	na	0	50
ENSG00000101082	100	20:36641285-36641378^36645836-36645843(-)	na	0	50
ENSG00000101098	100	20:44810221-44810271(-)	na	50	50
ENSG00000101152	100	20:63928334-63928395(+)	na	39	50
ENSG00000101161	100	20:63981195-63981295(+)	na	0	50
ENSG00000101162	100	20:59019472-59019572(+)	na	0	50
ENSG00000101180	100	20:62219920-62220020(-)	na	0	50
ENSG00000101189	100	20:62796473-62796573(+)	na	0	50
ENSG00000101191	100	20:62911562-62911614^62914209-62914257(-)	na	0	50
ENSG00000101200	100	20:3084624-3084724(-)	na	0	50
ENSG00000101213	100	20:63537264-63537364(-)	na	0	50
ENSG00000101230	100	20:13221726-13221826(+)	na	0	50
ENSG00000101280	100	20:916164-916264(-)	na	0	50
ENSG00000101282	100	20:1002114-1002214(-)	na	0	50
ENSG00000101323	100	20:7940372-7940458(-)	na	14	50
ENSG00000101327	100	20:1983034-1983100(-)	na	34	50
ENSG00000101331	100	20:32010449-32010484^32014903-32014923(+)	na	45	50
ENSG00000101335	100	20:36541537-36541561^36544858-36544934(+)	na	0	50
ENSG00000101349	100	20:9644278-9644339^9711285-9711324(-)	na	0	50
ENSG00000101350	100	20:32309727-32309827(+)	na	0	50
ENSG00000101363	100	20:37301213-37301313(+)	na	0	50
ENSG00000101367	100	20:32819981-32820028^32825924-32825977(+)	na	0	50
ENSG00000101400	100	20:33443570-33443670(-)	na	0	50
ENSG00000101405	100	20:3071619-3071705(+)	na	14	50
ENSG00000101412	100	20:33686214-33686314(-)	na	0	50
ENSG00000101417	100	20:33720157-33720257(-)	na	0	50
ENSG00000101421	100	20:33811418-33811518(+)	na	0	50
ENSG00000101435	100	20:23568400-23568484(-)	na	16	50
ENSG00000101438	100	20:38724674-38724774(+)	na	0	50
ENSG00000101439	100	20:23637812-23637912(-)	na	0	50
ENSG00000101440	100	20:34260364-34260424(+)	na	40	50
ENSG00000101441	100	20:23688919-23689019(-)	na	0	50
ENSG00000101442	100	20:38748459-38748528(+)	na	31	50
ENSG00000101446	100	20:45515558-45515622(-)	na	36	50
ENSG00000101898	100	20:31547453-31547553(+)	na	0	50
ENSG00000118702	100	20:37256839-37256908^37261742-37261773(-)	na	0	50
ENSG00000124089	100	20:56248793-56248893(+)	na	0	50
ENSG00000124091	100	20:56497192-56497292(-)	na	0	50
ENSG00000124097	100	20:57488977-57489077(-)	na	0	50
ENSG00000124102	100	20:45174901-45174972(+)	na	29	50
ENSG00000124107	100	20:45254493-45254564(-)	na	29	50
ENSG00000124134	100	20:45099186-45099239(-)	na	47	50
ENSG00000124145	100	20:45348334-45348424(-)	na	10	50
ENSG00000124157	100	20:45221372-45221439(+)	na	33	50
ENSG00000124159	100	20:45305532-45305591(-)	na	41	50
ENSG00000124171	100	20:50731736-50731836(+)	na	0	50
ENSG00000124172	100	20:59030411-59030429^59032219-59032292(-)	na	9	50
ENSG00000124196	100	20:43726644-43726697(-)	na	47	50
ENSG00000124208	100	20:50153587-50153637(-)	na	50	50
ENSG00000124216	100	20:49983009-49983109(+)	na	0	50
ENSG00000124217	100	20:50958817-50958892(+)	na	25	50
ENSG00000124227	100	20:58228603-58228653(-)	na	50	50
ENSG00000124233	100	20:45207032-45207103(+)	na	29	50
ENSG00000124237	100	20:58150914-58151014(+)	na	0	50
