geneID	TFCP2L1	ARID5A	ATF3	ESRRG	GLI2	NPAS2	NR5A2	SOX17	STAT4	TWIST2	NumPeaks	AvgPeakDistance	AvgPeakSize
ENSMUSG00000004451.14	0.0093758383	0.0036370765	0.0040410200	0.0454041270	0.0009035922	0.0048490966	0.0474593979	0.0002259598	0.0005654669	0.0735782436	5.0000000000	7889.2001953125	1619.0000000000
ENSMUSG00000101437.1	0.0046989230	0.0028330808	0.0099037075	0.0224606825	0.0006869466	0.0024392514	0.0262108041	0.0003810564	0.0013097305	0.0886049012	4.0000000000	4392.2500000000	1649.7500000000
ENSMUSG00000098447.2	0.0108546471	0.0006052786	0.0001489792	0.0008410316	0.0000223349	0.0381207983	0.0009165899	0.0000289646	0.0014260129	0.0016925796	3.0000000000	12785.0000000000	1553.3333740234
ENSMUSG00000098923.1	0.0108601158	0.0006072836	0.0001502219	0.0008682480	0.0000228253	0.0381233056	0.0009462961	0.0000290477	0.0014262408	0.0017544627	3.0000000000	12652.3330078125	1553.3333740234
ENSMUSG00000101731.1	0.0015821150	0.0000823234	0.0003538440	0.0000251910	0.0000015138	0.0056155457	0.0000272916	0.0000042772	0.0002095795	0.0000248583	2.0000000000	15611.0000000000	831.5000000000
ENSMUSG00000084505.1	0.0052657117	0.0002926827	0.0000716226	0.0003931049	0.0000105686	0.0185021088	0.0004283966	0.0000140130	0.0006920475	0.0007871742	3.0000000000	16557.6660156250	1553.3333740234
ENSMUSG00000026383.14	0.0001790815	0.0016991205	0.0001845604	0.0003250053	0.0005276133	0.0000768995	0.0005054805	0.0000175045	0.0012056755	0.0001142359	1.0000000000	0.0000000000	1405.0000000000
ENSMUSG00000102687.1	0.0000067764	0.0000642940	0.0000069837	0.0000122981	0.0000199647	0.0000029098	0.0000191272	0.0000006624	0.0000456222	0.0000043226	1.0000000000	16372.0000000000	1405.0000000000
ENSMUSG00000026384.13	0.0000748763	0.0011629079	0.0247326975	0.0000934008	0.0000282700	0.0000345864	0.0002386216	0.0027341690	0.0200353375	0.0002091978	1.0000000000	168.0000000000	1746.0000000000
ENSMUSG00000090277.1	0.0000021426	0.0000332774	0.0007077433	0.0000026727	0.0000008090	0.0000009897	0.0000068283	0.0000782401	0.0005733251	0.0000059863	1.0000000000	17937.0000000000	1746.0000000000
ENSMUSG00000100042.1	0.0076805287	0.0037688545	0.0000879099	0.0000022434	0.0000068050	0.0001277103	0.0000330332	0.0151248038	0.0134294369	0.0167499931	2.0000000000	8578.5000000000	983.5000000000
ENSMUSG00000100636.1	0.0003622518	0.0019218358	0.0000360703	0.0008901320	0.0000003755	0.0000002666	0.0000425438	0.0000019957	0.0000001826	0.0000049724	1.0000000000	15168.0000000000	1024.0000000000
ENSMUSG00000101224.1	0.0011256766	0.0059719940	0.0001120865	0.0027660339	0.0000011667	0.0000008283	0.0001322023	0.0000062014	0.0000005675	0.0000154514	1.0000000000	9499.0000000000	1024.0000000000
ENSMUSG00000036975.5	0.0075246502	0.0399201365	0.0007492484	0.0184897122	0.0000077990	0.0000055369	0.0008837142	0.0000414539	0.0000037937	0.0001032855	1.0000000000	0.0000000000	1024.0000000000
ENSMUSG00000050777.7	0.0091750062	0.0016637500	0.0293526195	0.0237301712	0.0005002450	0.0020272763	0.0041245910	0.0002637353	0.0008010748	0.0013372001	2.0000000000	8141.0000000000	2831.0000000000
ENSMUSG00000026385.16	0.0202473861	0.0234900378	0.0575007736	0.0489875022	0.0095593927	0.0472142363	0.0503950276	0.0015714368	0.0164792799	0.1031906195	3.0000000000	11933.0000000000	5762.6665039062
