Desc	HOG	Mycoplasmoides_fastidiosum	Mycoplasmoides_gallisepticum	Mycoplasmoides_genitalium	Mycoplasmoides_pneumoniae
n/a	N0.HOG0000003	0	4	3	16
n/a	N0.HOG0000005	2	1	2	11
n/a	N0.HOG0000007	0	2	13	0
n/a	N0.HOG0000009	12	1	0	0
n/a	N0.HOG0000012	1	7	2	2
n/a	N0.HOG0000014	0	0	1	10
n/a	N0.HOG0000015	4	2	2	2
n/a	N0.HOG0000021	2	1	2	3
n/a	N0.HOG0000022	3	3	1	1
n/a	N0.HOG0000026	1	1	2	3
n/a	N0.HOG0000028	2	5	0	0
n/a	N0.HOG0000029	1	2	2	2
n/a	N0.HOG0000031	2	1	2	2
n/a	N0.HOG0000033	0	0	1	6
n/a	N0.HOG0000036	1	3	1	1
n/a	N0.HOG0000037	1	3	1	1
n/a	N0.HOG0000040	5	1	0	0
n/a	N0.HOG0000041	1	3	1	1
n/a	N0.HOG0000042	1	1	0	0
n/a	N0.HOG0000043	1	1	1	1
n/a	N0.HOG0000044	1	3	1	1
n/a	N0.HOG0000045	1	2	1	2
n/a	N0.HOG0000048	0	0	1	5
n/a	N0.HOG0000050	2	1	1	1
n/a	N0.HOG0000051	2	1	1	1
n/a	N0.HOG0000052	1	1	1	2
n/a	N0.HOG0000054	1	1	1	2
n/a	N0.HOG0000055	2	1	1	1
n/a	N0.HOG0000057	1	2	1	1
n/a	N0.HOG0000058	2	1	1	1
n/a	N0.HOG0000059	1	1	1	2
n/a	N0.HOG0000060	1	1	1	2
n/a	N0.HOG0000061	2	1	1	1
n/a	N0.HOG0000062	2	3	0	0
n/a	N0.HOG0000063	1	1	1	2
n/a	N0.HOG0000064	2	1	1	1
n/a	N0.HOG0000065	2	1	1	1
n/a	N0.HOG0000066	1	1	1	2
n/a	N0.HOG0000067	1	1	1	2
n/a	N0.HOG0000068	1	1	1	2
n/a	N0.HOG0000069	1	1	1	2
n/a	N0.HOG0000070	1	1	1	2
n/a	N0.HOG0000071	2	1	1	1
n/a	N0.HOG0000072	1	1	1	2
n/a	N0.HOG0000073	1	1	1	2
n/a	N0.HOG0000074	1	1	1	2
n/a	N0.HOG0000075	1	1	1	2
n/a	N0.HOG0000076	1	2	1	1
n/a	N0.HOG0000077	1	1	1	2
n/a	N0.HOG0000078	1	1	1	2
n/a	N0.HOG0000079	2	1	1	1
n/a	N0.HOG0000080	2	1	1	1
n/a	N0.HOG0000081	0	1	2	2
n/a	N0.HOG0000082	0	1	2	2
n/a	N0.HOG0000084	0	0	1	4
n/a	N0.HOG0000087	1	1	1	1
n/a	N0.HOG0000088	1	1	1	1
n/a	N0.HOG0000089	1	1	1	1
