sampleID	hgncSymbol	seqnames	start	end	width	strand	type	pValue	padjust	psiValue	deltaPsi	counts	totalCounts	meanCounts	meanTotalCounts	nonsplitCounts	nonsplitProportion	nonsplitProportion_99quantile	annotatedJunction	pValueGene	padjustGene	pValueGene_Sample_specific_genes	pValueGene_Test_subset	padjustGene_Sample_specific_genes	padjustGene_Test_subset	HPO_label_overlap	HPO_id_overlap	Ngenes_per_pheno	Nphenos_gene	potentialImpact	causesFrameshift	UTR_overlap	blacklist
HG00096	AP000295.1	chr21	34614283	34615977	1695	+	jaccard	0.053245	1	0.84	-0.09	77	92	97.9	105.3	15	0.16	0.16	both	0.69218	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00096	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.10795	1	0.23	-0.31	7	30	37.2	57.4	23	0.77	0.75	both	0.10795	1	NA	0.10795	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00096	AP000317.2	chr21	35446046	35497640	51595	+	jaccard	0.05258	1	0.85	0.11	142	167	122.2	161.7	8	0.05	0.11	both	0.10516	1	0.10516	0.10516	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00096	APP	chr21	27328070	27347382	19313	-	jaccard	0.10447	1	0.96	0.05	104	108	104.7	114.5	4	0.04	0.14	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00096	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.10795	1	0.23	-0.31	7	30	37.2	57.4	23	0.77	0.75	both	0.10795	1	NA	0.10795	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00096	CLDN14	chr21	37898826	37914862	16037	-	jaccard	0.58064	1	0.44	-0.08	12	27	11.5	20.1	6	0.22	0.33	both	0.58064	1	NA	0.58064	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00096	FP565260.2	chr21	45560225	45563086	2862	+	jaccard	0.39893	1	0.68	0.06	121	179	121	188.3	42	0.23	0.46	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00096	GATD3A	chr21	45560225	45563086	2862	+	jaccard	0.39893	1	0.68	0.06	121	179	121	188.3	42	0.23	0.46	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00096	GATD3B	chr21	45560225	45563086	2862	+	jaccard	0.39893	1	0.68	0.06	121	179	121	188.3	42	0.23	0.46	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00096	HSPA13	chr21	15750734	15753523	2790	-	jaccard	0.25396	1	0.95	0.08	36	38	33.2	37	2	0.05	0.27	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00096	IFNAR2	chr21	34614283	34615977	1695	+	jaccard	0.053245	1	0.84	-0.09	77	92	97.9	105.3	15	0.16	0.16	both	0.42596	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00096	IL10RB	chr21	34640823	34648900	8078	+	jaccard	0.23379	1	0.86	-0.06	48	56	85.9	93.2	3	0.05	0.07	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00096	MCM3AP	chr21	47679006	47680706	1701	-	jaccard	0.17259	1	0.91	-0.05	42	46	40.3	41.6	4	0.09	0.08	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00096	MRPS6	chr21	35446046	35497640	51595	+	jaccard	0.05258	1	0.85	0.11	142	167	122.2	161.7	8	0.05	0.11	both	0.10516	1	0.10516	0.10516	0.87634	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00096	PIGP	chr21	38441925	38444733	2809	-	jaccard	0.1288	1	0.58	-0.12	56	96	65.5	92.8	6	0.06	0.12	both	0.51519	1	0.51519	NA	1	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00096	PKNOX1	chr21	44441542	44444980	3439	+	jaccard	0.11814	1	0.92	-0.07	22	24	19.3	19.9	2	0.08	0.11	both	0.47255	1	NA	0.47255	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00096	POFUT2	chr21	46697058	46698017	960	-	jaccard	0.15243	1	0.71	-0.18	10	14	14.6	17.9	3	0.21	0.31	both	0.45728	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00096	PRMT2	chr21	48064401	48068369	3969	+	jaccard	0.28711	1	0.88	-0.05	68	77	106	114.2	9	0.12	0.18	both	1	1	1	1	1	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00096	SLC5A3	chr21	35446046	35497640	51595	+	jaccard	0.05258	1	0.85	0.11	142	167	122.2	161.7	8	0.05	0.11	both	0.05258	1	0.05258	0.05258	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00096	SPATC1L	chr21	47581982	47588221	6240	-	jaccard	0.41549	1	0.9	-0.05	36	40	24.9	26.6	1	0.03	0.13	both	0.83098	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00096	TEKT4P2	chr21	9908433	9909046	614	-	jaccard	0.37102	1	0.22	-0.09	20	89	15.4	44.7	65	0.73	0.73	both	1	1	1	NA	1	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
