##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000011125.1	PRJNA224116	SAMD00061092	na	reference genome	272557	56636	Aeropyrum pernix K1	strain=K1	na	latest	Complete Genome	Major	Full	2006-10-11	ASM1112v1	NITE	GCA_000011125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/125/GCF_000011125.1_ASM1112v1/	na	assembly from type material	na	haploid	archaea	1669696	1669696	56.500000	1	1	1	NCBI RefSeq	GCF_000011125.1-RS_2024_12_09	2024-12-09	1763	1704	51	10382966;16455681;16769697
GCF_000016605.1	PRJNA224116	SAMN02598389	na	na	399549	43687	Metallosphaera sedula DSM 5348	strain=DSM 5348	na	latest	Complete Genome	Major	Full	2007-04-25	ASM1660v1	US DOE Joint Genome Institute	GCA_000016605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/605/GCF_000016605.1_ASM1660v1/	na	assembly from type material	na	haploid	archaea	2191517	2191517	46.000000	1	1	1	NCBI RefSeq	GCF_000016605.1-RS_2025_11_23	2025-11-23	2410	2335	51	18083856
GCF_000204925.1	PRJNA224116	SAMN02603221	na	reference genome	1006006	1006005	Metallosphaera cuprina Ar-4	strain=Ar-4	na	latest	Complete Genome	Major	Full	2011-04-19	ASM20492v1	Environmental Microbiology Research Center (EMRC)	GCA_000204925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/925/GCF_000204925.1_ASM20492v1/	na	assembly from type material	na	haploid	archaea	1840348	1840348	42.000000	1	1	1	NCBI RefSeq	GCF_000204925.1-RS_2026_08_18	2026-08-18	1978	1911	51	21551305
GCF_000243315.1	PRJNA224116	SAMN02261413	AHKJ00000000.1	reference genome	671065	1111107	Metallosphaera yellowstonensis MK1	strain=MK1	na	latest	Scaffold	Major	Full	2012-01-23	ASM24331v1	JGI	GCA_000243315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/315/GCF_000243315.1_ASM24331v1/	na	na	na	haploid	archaea	2817452	2807552	47.500000	0	21	120	NCBI RefSeq	GCF_000243315.1-RS_2026_05_01	2026-05-01	3292	2833	53	na
GCF_000591035.1	PRJNA224116	SAMD00061006	na	reference genome	1198449	229980	Aeropyrum camini SY1 = JCM 12091	strain=SY1	na	latest	Complete Genome	Major	Full	2013-09-27	ASM59103v1	Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University	GCA_000591035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/591/035/GCF_000591035.1_ASM59103v1/	na	assembly from type material	na	haploid	archaea	1595994	1595994	56.500000	1	1	1	NCBI RefSeq	GCF_000591035.1-RS_2026_03_30	2026-03-30	1685	1628	50	23872576
GCF_000747605.1	PRJNA224116	SAMN02866348	na	na	43687	43687	Metallosphaera sedula	strain=CuR1	na	latest	Chromosome	Major	Full	2014-09-04	ASM74760v1	University of Nebraska-Lincoln	GCA_000747605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/605/GCF_000747605.1_ASM74760v1/	na	na	na	haploid	archaea	2191492	2189588	46.000000	1	1	13	NCBI RefSeq	GCF_000747605.1-RS_2026_05_03	2026-05-03	2414	2335	51	25092032
GCF_001316065.1	PRJNA224116	SAMD00000424	BBBZ00000000.1	na	1198449	229980	Aeropyrum camini SY1 = JCM 12091	strain=JCM 12091	na	latest	Contig	Major	Full	2015-10-01	ASM131606v1	The University of Tokyo	GCA_001316065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/316/065/GCF_001316065.1_ASM131606v1/	na	assembly from type material	na	haploid	archaea	1591049	1591049	56.500000	0	41	41	NCBI RefSeq	GCF_001316065.1-RS_2026_08_08	2026-08-08	2036	1841	48	na
GCF_001441135.1	PRJNA485481	na	na	na	1032473	3703085	Aeropyrum pernix spindle-shaped virus 1	na	na	latest	Complete Genome	Major	Full	2012-01-11	ViralProj301256	to the INSDC. Mochizuki T., Microbiologie, Institut Pasteur, 75724, Paris, FRANCE	GCA_001441135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/441/135/GCF_001441135.1_ViralProj301256/	na	ICTV species exemplar	na	haploid	viral	38049	38049	56.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-11	53	53	0	21784945
GCF_002890195.1	PRJNA485481	na	na	na	1932713	1932713	Aeropyrum globular virus 1	na	na	latest	Complete Genome	Major	Full	2017-12-28	ASM289019v1	Contact:Takashi Yoshida Graduate school of Agriculture, Kyoto University; Kitashirakawa Oiwake, Sakyo, Kyoto 606-8502, Japan	GCA_002890195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/890/195/GCF_002890195.1_ASM289019v1/	na	na	na	haploid	viral	18222	18222	56.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-01-13	34	33	1	na
GCF_022064045.1	PRJNA224116	SAMN25174631	JAKNCW000000000.1	na	99938	99938	Metallosphaera javensis (ex Hofmann et al. 2022)	strain=J1	na	latest	Contig	Major	Full	2022-02-08	ASM2206404v1	TU Bergakademie Freiberg	GCA_022064045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/064/045/GCF_022064045.1_ASM2206404v1/	na	assembly from type material	na	haploid	archaea	2239489	2239489	47.500000	0	87	87	NCBI RefSeq	GCF_022064045.1-RS_2025_05_18	2025-05-18	2512	2405	51	36251741
