CONTIG_NAME	PLOIDY_PRIOR_0	PLOIDY_PRIOR_1	PLOIDY_PRIOR_2	PLOIDY_PRIOR_3
chr1	0.01	0.01	0.97	0.01
chr2	0.01	0.01	0.97	0.01
chr3	0.01	0.01	0.97	0.01
chr4	0.01	0.01	0.97	0.01
chr5	0.01	0.01	0.97	0.01
chr6	0.01	0.01	0.97	0.01
chr7	0.01	0.01	0.97	0.01
chr8	0.01	0.01	0.97	0.01
chr9	0.01	0.01	0.97	0.01
chr10	0.01	0.01	0.97	0.01
chr11	0.01	0.01	0.97	0.01
chr12	0.01	0.01	0.97	0.01
chr13	0.01	0.01	0.97	0.01
chr14	0.01	0.01	0.97	0.01
chr15	0.01	0.01	0.97	0.01
chr16	0.01	0.01	0.97	0.01
chr17	0.01	0.01	0.97	0.01
chr18	0.01	0.01	0.97	0.01
chr19	0.01	0.01	0.97	0.01
chr20	0.01	0.01	0.97	0.01
chr21	0.01	0.01	0.97	0.01
chr22	0.01	0.01	0.97	0.01
X	0.01	0.49	0.49	0.01
Y	0.50	0.50	0.00	0.00
